,https://roic.ai/company/BZYR,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,21366,620,46805,1062,3000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,6602903,4763803,4132854,4356433,4903196,4197298,4175174,4665124,4434538,4132689,4365074,4894255,4480497,4780072,6925519,6047676,3963418,2708597,1847345,1324961,1280470,1145934,1203203,1022951
6,General and Administrative Exp.,310501,72890,147020,165705,238621,- -,- -,- -,- -,- -,- -,- -,349208,- -,- -,- -,- -,- -,- -,179072,332631,491783,431779,278820
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",310501,72890,147020,165705,238621,- -,- -,- -,- -,- -,- -,- -,349208,- -,- -,- -,- -,- -,- -,179072,332631,491783,431779,278820
9,Other Expenses,211833,179002,135245,69737,36874,- -,- -,- -,- -,170017,157023,232763,905,251170,232143,451380,308367,183518,157755,684,- -,- -,- -,- -
10,Operating Expenses,7125237,5015695,4415119,4591875,5178691,- -,- -,- -,- -,4302706,4522097,5127018,4830610,5031242,7157662,6499056,4271785,2892115,2005100,1504717,1613101,1637717,1634982,1301771
