,https://roic.ai/company/VBIX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,252000,208000,96000,41000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,75000,2000,5000,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,177000,206000,91000,41000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7024,0.9904,0.9479,1.0000
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,740200,1644870,354810,258000,233000,108000,64000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,52808,42488,50504,- -,40500,41200,28125,7296798,3749867,911581,623164,717000,432000,304000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,257000,8000,2000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,52808,42488,50504,- -,40500,41200,28125,7296798,3749867,911581,623164,974000,440000,306000
9,Other Expenses,- -,- -,- -,8737,60719,40354,- -,- -,- -,40430,- -,- -,- -,-3,-2,-1,1683088,3000,5000,25000
10,Operating Expenses,- -,- -,- -,8737,60719,40354,52808,42488,50504,40430,40500,41200,28125,8036995,5394735,1266390,2564252,1210000,553000,395000
11,COGS and Expenses,- -,- -,404,10000,60000,40000,50000,40000,40000,40000,40000,40000,116930,8721520,5394740,1266390,830000,1212000,558000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12000,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,1050,4200,6400,10200,10200,20745,30604,414190,307516,1040838,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70,6494,12422,17513,14290,1000,5000,- -
15,EBITDA,- -,- -,-404,-10000,-60000,-40000,-50000,-40000,-40000,-60000,-60000,-39800,-116860,-8715030,-5382320,-1248880,495128,-1101000,-436000,-384000
16,EBITDA ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,1.9648,-5.2933,-4.5417,-9.3659
17,Operating Income,- -,- -,-404,-8737,-60719,-40354,- -,- -,-50504,-40430,-40500,-41200,-28125,-8036995,-5394735,-1266390,-2464252,-1004000,-454000,-354000
18,Operating Income ratio,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-9.7788,-4.8269,-4.7292,-8.6341
