,https://roic.ai/company/TMBR,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,40000,- -,64000,100000,73000,57000,- -,886532
2,COGS,- -,- -,- -,237000,516000,250000,83000,- -,- -
3,Gross Profit,- -,40000,- -,-173000,-416000,-177000,-26000,- -,- -
4,Gross Profit Ratio,- -,1.0000,- -,-2.7031,-4.1600,-2.4247,-0.4561,- -,- -
5,Research and Development Exp.,- -,2519000,- -,5702000,10158000,9140000,9079000,15104358,6149586
6,General and Administrative Exp.,- -,654000,- -,4174000,4654000,5144000,5244000,- -,- -
7,Selling and Marketing Exp.,- -,2299000,- -,5109000,3198000,2415000,2157000,- -,- -
8,"Selling, General and Administrative Exp.",- -,2953000,- -,9283000,7852000,7559000,7401000,- -,5387164
9,Other Expenses,- -,2299000,- -,- -,-0,- -,- -,3606376,- -
10,Operating Expenses,- -,7771000,- -,14985000,18010000,16699000,16480000,18710734,11536750
11,COGS and Expenses,- -,7771000,- -,15222000,18526000,16949000,16563000,18710734,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,816657,- -
13,Interest Expense (Gain),- -,- -,- -,- -,163000,364000,28000,4416746,15551
14,Depreciation and Amortization,- -,25000,- -,86000,260000,52000,62000,116938,271455
15,EBITDA,- -,-7782000,- -,-15508000,-17981000,-23884000,-17166000,-17777139,-10512374
16,EBITDA ratio,- -,-194.5500,- -,-242.3125,-179.8100,-327.1781,-301.1579,-Infinity,-11.8579
17,Operating Income,- -,-7771000,- -,-15158000,-18426000,-16876000,-16506000,-20211867,-10650218
18,Operating Income ratio,- -,-194.2750,- -,-236.8438,-184.2600,-231.1781,-289.5789,-Infinity,-12.0133
19,Total Other Income Expenses (Gains),- -,-36000,- -,-436000,22000,238000,-750000,5132095,-19170
20,Income Before Tax,- -,-7807000,- -,-15594000,-18404000,-16638000,-17256000,-15079772,-10669388
21,Income Before Tax Ratio,- -,-195.1750,- -,-243.6563,-184.0400,-227.9178,-302.7368,-Infinity,-12.0350
22,Income Tax expense (Gain),- -,- -,- -,4000,2000,-7660000,2000,37842,-30242
23,Net Income,- -,-7807000,- -,-15598000,-18406000,-16640000,-17258000,-15117614,-10769138
24,Net Income ratio,- -,-195.1750,- -,-243.7188,-184.0600,-227.9452,-302.7719,-Infinity,-12.1475
25,EPS,- -,-0.76,- -,-260.71,-154.22,-58.12,-26.80,-0.97,-0.69
26,EPS Diluted,- -,-0.76,- -,-260.71,-154.22,-58.12,-26.80,-0.97,-0.69
27,Weighted Average Shares Outstanding,- -,10217000,10217000,59830,119350,286320,643900,15699869,15699869
28,Weighted Average Shares Outstanding Diluted,- -,10217000,10217000,59830,119350,286320,643900,15699869,15699869
29,SEC Link,undefined,https://www.sec.gov/Archives/edgar/data/1504167/000110465915028748/0001104659-15-028748-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000110465915028748/0001104659-15-028748-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000104746916012794/0001047469-16-012794-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837017002791/0001558370-17-002791-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837018003341/0001558370-18-003341-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837019002016/0001558370-19-002016-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000110465921068199/0001104659-21-068199-index.htm,https://www.sec.gov/Archives/edgar/data/1504167/000155837022004943/0001558370-22-004943-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,2111000,1305000,4039000,6501000,7576000,57073,10348693,16808539
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2111000,1305000,4039000,6501000,7576000,57073,10348693,16808539
34,Net Receivables,- -,2000,1000,7000,4000,7000,- -,- -,- -
35,Inventory,- -,138000,160000,100000,38000,10000,- -,- -,- -
36,Other Current Assets,- -,269000,239000,285000,284000,388000,32820,377290,310238
37,Total Current Assets,- -,2520000,1705000,4431000,6827000,7981000,89893,10725983,17118777
38,PP&E,- -,235000,234000,216000,120000,109000,- -,787432,655163
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,150000,149000,119000,- -,- -,- -,- -,- -
41,Intangible Assets,- -,150000,149000,119000,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
