,https://roic.ai/company/MRVI,2018,2019,2020,2021
0,INCOME STATEMENT, , , , 
1,Revenue,123833000,143140000,284098000,799240000
2,COGS,60765000,66849000,79649000,140561000
3,Gross Profit,63068000,76291000,204449000,658679000
4,Gross Profit Ratio,0.5093,0.5330,0.7196,0.8241
5,Research and Development Exp.,4499000,3627000,9304000,15219000
6,General and Administrative Exp.,41194000,48354000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",41194000,48354000,- -,100064000
9,Other Expenses,939000,322000,94245000,- -
10,Operating Expenses,46632000,52303000,103549000,115283000
11,COGS and Expenses,107397000,119152000,183198000,255844000
12,Interest Income ,- -,- -,- -,- -
13,Interest Expense (Gain),27399000,29959000,30740000,30260000
14,Depreciation and Amortization,22347000,24084000,25837000,24752000
15,EBITDA,45691000,48921000,136345000,298564000
16,EBITDA ratio,0.3690,0.3418,0.4799,0.3736
17,Operating Income,16436000,23988000,119902000,554645000
18,Operating Income ratio,0.1327,0.1676,0.4220,0.6940
19,Total Other Income Expenses (Gains),-32934000,-29841000,-38206000,-23880000
20,Income Before Tax,-16498000,-5853000,81696000,530765000
21,Income Before Tax Ratio,-0.1332,-0.0409,0.2876,0.6641
22,Income Tax expense (Gain),417000,-652000,2880000,61515000
23,Net Income,-4472000,-4470000,76888000,182037000
24,Net Income ratio,-0.0361,-0.0312,0.2706,0.2278
25,EPS,-0.20,-0.05,7.43,1.59
26,EPS Diluted,-0.20,-0.05,2.36,1.56
27,Weighted Average Shares Outstanding,88965664,88965664,10351137,114791000
28,Weighted Average Shares Outstanding Diluted,88965664,88965664,28907979,257803000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1823239/000182323921000006/0001823239-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1823239/000182323922000012/0001823239-22-000012-index.htm
30,BALANCE SHEET, , , , 
31,Cash and Cash Equivalents,21866000,24700000,236184000,551272000
32,Short-Term Investments,- -,- -,- -,- -
33,Cash and Short-Term Investments,21866000,24700000,236184000,551272000
34,Net Receivables,15991000,18030000,51018000,117512000
35,Inventory,14308000,14202000,33301000,51557000
36,Other Current Assets,1637000,3620000,11095000,19698000
37,Total Current Assets,53802000,60552000,331598000,740039000
38,PP&E,42578000,94311000,101305000,46332000
39,Goodwill,224275000,224275000,224275000,152766000
40,Intangible Assets,218127000,197853000,177656000,117571000
41,Intangible Assets,442402000,422128000,401931000,270337000
42,Investments,- -,- -,- -,- -
43,Tax Assets,- -,- -,431699000,808117000
44,Other Non-Current Assets,894000,805000,4158000,53451000
45,Total Non-Current Assets,485874000,517244000,939093000,1178237000
46,Other Assets,- -,- -,- -,- -
47,Total Assets,539676000,577796000,1270691000,1918276000
48,Accounts Payable,3604000,7478000,8171000,8154000
49,Short-Term Debt,2500000,2500000,6000000,9722000
50,Tax Payable,- -,- -,- -,1398000
51,Deferred Revenue,1087000,841000,78061000,10211000
52,Other Current Liabilities,28728000,18743000,38546000,65690000
53,Total Current Liabilities,35919000,29562000,130778000,93777000
54,Long-Term Debt,335550000,334783000,528614000,524591000
55,Deferred Revenue,- -,- -,- -,- -
56,Deferred Tax Liabilities,15856000,14697000,8609000,- -
57,Other Non-Current Liabilities,4335000,54127000,447944000,754547000
58,Total Non-Current Liabilities,355741000,403607000,985167000,1279138000
59,Other Liabilities,- -,- -,- -,- -
60,Capital Lease Obligations,1839000,52919000,56167000,3722000
61,Total Liabilities,391660000,433169000,1115945000,1372915000
62,Preferred Stock,- -,- -,- -,- -
63,Common Stock,182809000,183910000,2576000,2552000
64,Retained Earnings,-38237000,-42381000,854000,184561000
65,Other Comprehensive Income/Loss,-4289000,-8099000,-44000,- -
66,Other Total Stockholders Equity,4122000,7966000,85125000,128386000
67,Total Stockholders Equity,144405000,141396000,88511000,315499000
68,Total Liabilities And Stockholders Equity,536065000,574565000,1204456000,1688414000
69,Minority Interest,3611000,3231000,66235000,229862000
70,Total Liabilities & Equity,539676000,577796000,1270691000,1918276000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1823239/000182323921000006/0001823239-21-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1823239/000182323922000012/0001823239-22-000012-index.htm
72,CASH FLOW STATEMENT, , , , 
73,Net Income,-4472000,-4470000,76888000,182037000
74,Depreciation and Amortization,22347000,24084000,25837000,24752000
75,Deferred Income Tax,317000,-1159000,-5464000,46904000
76,Stock Based Compensation,2121000,1679000,24629000,10458000
77,Change in Working Capital,-15841000,13107000,169830000,-176631000
78,Accounts Receivable,-4146000,-1888000,-33144000,-70391000
79,Inventory,2311000,106000,-19099000,-21574000
80,Accounts Payable,-871000,2470000,1176000,676000
81,Other Working Capital,17883000,30990000,200820000,-67851000
82,Other Non-Cash Items,-4658000,-9126000,-139533000,281050000
83,Cash Provided by Operating Activities,-186000,24115000,152187000,368570000
84,CAPEX,-3611000,-17148000,-25408000,-14850000
85,Acquisitions Net,- -,- -,- -,119957000
86,Purchases of Investments,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -
88,Other Investing Activites,160000,- -,31476000,548000
