,https://roic.ai/company/REAL,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,137521000,207376000,318037000,299949000,467692000
2,COGS,49879000,70458000,114831000,112382000,194215000
3,Gross Profit,87642000,136918000,203206000,187567000,273477000
4,Gross Profit Ratio,0.6373,0.6602,0.6389,0.6253,0.5847
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,44035000,63728000,110663000,141762000,412247000
7,Selling and Marketing Exp.,36711000,42165000,47734000,54813000,62749000
8,"Selling, General and Administrative Exp.",80746000,105893000,158397000,196575000,474996000
9,Other Expenses,58680000,104929000,143231000,163808000,- -
10,Operating Expenses,139426000,210822000,301628000,360383000,474996000
11,COGS and Expenses,189305000,281280000,416459000,472765000,669211000
12,Interest Income ,355000,1046000,4593000,2518000,365000
13,Interest Expense (Gain),762000,1152000,616000,5264000,21531000
14,Depreciation and Amortization,5634000,9290000,13408000,34907000,23531000
15,EBITDA,-45855000,-65224000,-82523000,-135560000,-190989000
16,EBITDA ratio,-0.3334,-0.3145,-0.2595,-0.4519,-0.4084
17,Operating Income,-51784000,-73904000,-98422000,-172816000,-214908000
18,Operating Income ratio,-0.3766,-0.3564,-0.3095,-0.5762,-0.4595
19,Total Other Income Expenses (Gains),-467000,-1762000,1875000,-2915000,-21143000
20,Income Before Tax,-52251000,-75666000,-96547000,-175731000,-236051000
21,Income Before Tax Ratio,-0.3799,-0.3649,-0.3036,-0.5859,-0.5047
22,Income Tax expense (Gain),57000,99000,199000,101000,56000
23,Net Income,-52308000,-75765000,-96746000,-175832000,-236107000
24,Net Income ratio,-0.3804,-0.3654,-0.3042,-0.5862,-0.5048
25,EPS,-0.88,-1.34,-2.11,-2.03,-2.57
26,EPS Diluted,-0.88,-1.34,-2.11,-2.03,-2.57
27,Weighted Average Shares Outstanding,62532173,56402048,47478544,87587409,91859603
28,Weighted Average Shares Outstanding Diluted,62532173,56402048,47478544,87587409,91859603
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1573221/000156459020010131/0001564590-20-010131-index.htm,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/0001564590-21-009884-index.htm,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/0001573221-22-000041-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,16486000,34393000,154446000,350846000,418171000
32,Short-Term Investments,12421000,27131000,208811000,4017000,- -
33,Cash and Short-Term Investments,28907000,61524000,363257000,354863000,418171000
34,Net Receivables,6998000,7571000,7779000,7213000,7767000
35,Inventory,6614000,10355000,23599000,42321000,71015000
36,Other Current Assets,4358000,9696000,13804000,17072000,20859000
37,Total Current Assets,46877000,89146000,408439000,421469000,517812000
38,PP&E,23422000,33286000,55831000,181590000,234597000
39,Goodwill,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,5666000,12985000,2660000,2050000,2535000
45,Total Non-Current Assets,29088000,46271000,58491000,183640000,237132000
46,Other Assets,- -,- -,- -,- -,- -
47,Total Assets,75965000,135417000,466930000,605109000,754944000
48,Accounts Payable,7566000,5149000,11159000,14346000,4503000
49,Short-Term Debt,- -,- -,- -,5990000,18253000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,2133000,3184000,4767000,1617000,- -
52,Other Current Liabilities,55672000,80021000,102620000,126307000,165230000
53,Total Current Liabilities,65371000,88354000,118546000,148260000,187986000
54,Long-Term Debt,10745000,3249000,- -,149188000,491539000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,176835000,301504000,9456000,116368000,2291000
58,Total Non-Current Liabilities,187580000,304753000,9456000,265556000,493830000
59,Other Liabilities,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,130083000,161412000
61,Total Liabilities,252951000,393107000,128002000,413816000,681816000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,1000,1000
64,Retained Earnings,-181571000,-257665000,-354506000,-532021000,-768128000
65,Other Comprehensive Income/Loss,-10379000,-19479000,-32793000,11000,- -
66,Other Total Stockholders Equity,14964000,19454000,726226000,723302000,- -
67,Total Stockholders Equity,-176986000,-257690000,338928000,191293000,73128000
68,Total Liabilities And Stockholders Equity,75965000,135417000,466930000,605109000,754944000
69,Minority Interest,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,75965000,135417000,466930000,605109000,754944000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1573221/000156459020010131/0001564590-20-010131-index.htm,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/0001564590-21-009884-index.htm,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/0001573221-22-000041-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,-52308000,-75765000,-96746000,-175832000,-236107000
74,Depreciation and Amortization,5634000,9290000,13408000,34907000,23531000
75,Deferred Income Tax,- -,- -,- -,- -,- -
76,Stock Based Compensation,1853000,3758000,8530000,24322000,48802000
77,Change in Working Capital,5244000,19286000,289101000,-16684000,-14345000
78,Accounts Receivable,-4206000,-1572000,-1579000,-337000,-1588000
79,Inventory,-3913000,-3741000,-13244000,-20405000,-28694000
80,Accounts Payable,-88000,-2576000,6010000,2800000,-9989000
81,Other Working Capital,-18494000,792000,289893000,273209000,- -
82,Other Non-Cash Items,1003000,-3764000,-268783000,-1132000,35968000
83,Cash Provided by Operating Activities,-38574000,-47195000,-54490000,-134419000,-142151000
84,CAPEX,-14120000,-19116000,-34028000,-26931000,-47437000
85,Acquisitions Net,- -,- -,- -,- -,- -
86,Purchases of Investments,-27521000,-31454000,-220609000,-73280000,- -
87,Sales/Maturities of Investments,30338000,16647000,39281000,278215000,4000000
88,Other Investing Activites,-2521000,-5724000,-9267000,-8678000,-9967000
89,Cash Used for Investing Activites,-11303000,-33923000,-215356000,178004000,-43437000
90,Debt Repayment,-1250000,-4500000,-9250000,-748000,- -
91,Common Stock Issued,- -,- -,315541000,8859000,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -
94,Other Financing Activites,47969000,110585000,72374000,144704000,252913000
95,Cash Used/Provided by Financing Activities,46719000,106085000,378665000,152815000,252913000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -
97,Net Change In Cash,-3158000,24967000,108819000,196400000,67325000
98,Cash at the End of Period,20660000,45627000,154446000,350846000,418171000
99,Cash at the Beginning of Period,23818000,20660000,45627000,154446000,350846000
100,Free Cash Flow,-52694000,-66311000,-88518000,-161350000,-189588000
