,https://roic.ai/company/JD,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,21128959000,41380521000,69339812000,115002317000,181286955000,260121645000,362331754000,462019759000,576888484000,745801886000,951592154000
2,COGS,19976528000,37898387000,62495538000,101631443000,157008329000,220698727000,311516831000,396066126000,492467391000,636693551000,822525462000
3,Gross Profit,1152431000,3482134000,6844274000,13370874000,24278626000,39422918000,50814923000,65953633000,84421093000,109108335000,129066692000
4,Gross Profit Ratio,0.0545,0.0841,0.0987,0.1163,0.1339,0.1516,0.1402,0.1428,0.1463,0.1463,0.1356
5,Research and Development Exp.,239923000,636346000,963653000,1835919000,3453804000,5380907000,6652374000,12144383000,14618677000,16148948000,16332036000
6,General and Administrative Exp.,1837226000,3700121000,4869277000,13327112000,16797977000,25613884000,30079918000,37169324000,42458200000,55109342000,70617658000
7,Selling and Marketing Exp.,479325000,1096765000,1590171000,4010280000,7736172000,10573024000,14918107000,19236740000,22234045000,27155972000,38743040000
8,"Selling, General and Administrative Exp.",2316551000,4796886000,6459448000,17337392000,24534149000,36186908000,44998025000,56406064000,64692245000,82265314000,109360698000
9,Other Expenses,-25560000,-41690000,-120301000,-214623000,-392022000,-740567000,-843447000,-614658000,-2222223000,-2545008000,- -
10,Operating Expenses,2530914000,5391542000,7302800000,18958688000,27595931000,40827248000,50806952000,67935789000,77088699000,95869254000,125692734000
11,COGS and Expenses,22507442000,43289929000,69798338000,120590131000,184604260000,261525975000,362323783000,464001915000,569556090000,732562805000,948218196000
12,Interest Income ,56098000,175751000,343770000,637641000,414999000,481618000,2530490000,2117921000,1785572000,2753360000,- -
13,Interest Expense (Gain),- -,8324000,8437000,28825000,82507000,259657000,963742000,854538000,725010000,1125181000,1213455000
14,Depreciation and Amortization,73946000,185730000,293141000,1650533000,2619061000,3633346000,4192716000,5560034000,5828055000,6067654000,- -
15,EBITDA,-1209799000,-1529292000,251639000,-3297676000,-6690710000,710370000,5424815000,4352303000,20542760000,58079703000,-459564000
16,EBITDA ratio,-0.0573,-0.0370,0.0036,-0.0287,-0.0369,0.0027,0.0150,0.0094,0.0356,0.0779,-0.0005
17,Operating Income,-1404043000,-1951098000,-578827000,-5802437000,-6459456000,-2144897000,-835476000,-2619131000,8994880000,12342820000,4140950000
18,Operating Income ratio,-0.0665,-0.0472,-0.0083,-0.0505,-0.0356,-0.0082,-0.0023,-0.0057,0.0156,0.0165,0.0044
19,Total Other Income Expenses (Gains),120298000,227752000,528888000,825403000,-2942388000,-1089327000,956436000,245453000,4697652000,38476071000,-6721700000
20,Income Before Tax,-1283745000,-1723346000,-49939000,-4977034000,-9401844000,-3234224000,120960000,-2373678000,13692532000,50818891000,-2580750000
21,Income Before Tax Ratio,-0.0608,-0.0416,-0.0007,-0.0433,-0.0519,-0.0124,0.0003,-0.0051,0.0237,0.0681,-0.0027
22,Income Tax expense (Gain),- -,6127000,-40000,19324000,-14262000,179500000,139593000,426872000,1802440000,1481645000,1886535000
23,Net Income,-1283745000,-1729473000,-49899000,-4996358000,-9378016000,-3362133000,128764000,-2489141000,12187255000,49405223000,-3559554000
24,Net Income ratio,-0.0608,-0.0418,-0.0007,-0.0434,-0.0517,-0.0129,0.0004,-0.0054,0.0211,0.0662,-0.0037
25,EPS,-2.88,-2.27,-3.86,-10.70,-6.86,-2.72,-0.10,-1.74,8.36,32.70,-2.36
26,EPS Diluted,-2.88,-2.27,-3.86,-10.70,-6.86,-2.72,-0.10,-1.74,8.22,31.68,-2.36
27,Weighted Average Shares Outstanding,1023086842,1463342500,1023086842,1209834000,1367517000,1402384000,1422413000,1438951500,1456318500,1510904500,1510904500
28,Weighted Average Shares Outstanding Diluted,1023086842,1499393000,1023086842,1209834000,1367517000,1402384000,1455731000,1438951500,1483661000,1554512000,1510904500
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1549802/000110465915028403/a15-5694_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465916111984/a16-3659_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465917028187/a17-4445_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465918027777/a18-5116_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000110465919021236/a18-42062_120f.htm,https://www.sec.gov/Archives/edgar/data/1549802/000119312520108084/d875897d20f.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,6288777000,7177294000,10812339000,16914651000,17863868000,19771695000,25688327000,34262445000,36971420000,86084857000,70766531000
32,Short-Term Investments,- -,1080000000,1903224000,12161643000,2780482000,7897075000,8587852000,2035575000,24602777000,60577110000,114564218000
33,Cash and Short-Term Investments,6288777000,8257294000,12715563000,29076294000,20644350000,27668770000,34276179000,36298020000,61574197000,146661967000,185330749000
34,Net Receivables,315586000,612295000,663675000,4228245000,13670525000,31572373000,32288406000,16962728000,11976114000,14462467000,17399634000
35,Inventory,2763587000,4753829000,6386155000,12190843000,20539543000,28909438000,41700379000,44030084000,57932156000,58932519000,75601327000
36,Other Current Assets,516560000,2130838000,2847600000,4446315000,3653578000,18781517000,6763688000,7564947000,7612091000,14744305000,21339907000
37,Total Current Assets,9884510000,15754256000,22612993000,49941697000,58507996000,106932098000,115028652000,104855779000,139094558000,234801258000,299671617000
38,PP&E,489041000,1529248000,2882925000,5501501000,9488809000,11836663000,22821503000,38112208000,45995718000,45987058000,58748766000
39,Goodwill,- -,14649000,14649000,2622470000,29050000,6541668000,6650570000,6643669000,6643669000,10904409000,12433068000
40,Intangible Assets,2381000,229793000,215802000,6877947000,5263983000,8454297000,6692717000,5011706000,4110034000,17587801000,20164485000
41,Intangible Assets,2381000,244442000,230451000,9500417000,5293033000,14995965000,13343287000,11655375000,10753703000,28492210000,32597553000
42,Investments,840000,2840000,36502000,1021077000,9870080000,16295652000,28579132000,47258189000,56992911000,97586479000,82310521000
43,Tax Assets,- -,- -,- -,- -,- -,- -,158250000,103158000,80556000,532746000,1110891000
44,Other Non-Current Assets,202197000,355268000,246941000,528480000,2006251000,10313140000,4124142000,7180148000,6806258000,14888043000,22067369000
45,Total Non-Current Assets,694459000,2131798000,3396819000,16551475000,26658173000,53441420000,69026314000,104309078000,120629146000,187486536000,196835100000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10578969000,17886054000,26009812000,66493172000,85166169000,160373518000,184054966000,209164857000,259723704000,422287794000,496506717000
48,Accounts Payable,3636101000,8096753000,11018865000,16363671000,29819341000,43988087000,74337708000,79985018000,90428382000,106818425000,140484105000
49,Short-Term Debt,- -,867399000,932826000,1890771000,3620052000,17722530000,12884881000,4544934000,3193480000,8773416000,11032514000
50,Tax Payable,88874000,165305000,278256000,236160000,103211000,575848000,658220000,825677000,2015788000,3029416000,2567686000
51,Deferred Revenue,347292000,1002149000,2264152000,4823740000,8202235000,12854631000,15197630000,14998092000,19405213000,24415314000,32563674000
52,Other Current Liabilities,661742000,1517195000,2554141000,5916923000,7387230000,30174987000,15830402000,21333971000,26989946000,34009507000,37555257000
53,Total Current Liabilities,4645135000,11483496000,16769984000,28995105000,49028858000,104740235000,118250621000,120862015000,140017021000,174016662000,221635550000
54,Long-Term Debt,- -,- -,- -,- -,2753699000,10908639000,10922595000,9874583000,15574946000,22780718000,23106756000
55,Deferred Revenue,- -,- -,- -,- -,2705164000,2156835000,1273545000,463153000,1942635000,1617844000,1296758000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,907356000,882248000,828473000,1338988000,1921831000,1897164000
57,Other Non-Current Liabilities,3150443000,4737897000,- -,- -,- -,7497591000,337254000,16269773000,16190267000,17464831000,2998265000
58,Total Non-Current Liabilities,3150443000,4737897000,- -,- -,5458863000,21470421000,13415642000,27435982000,35046836000,43785224000,29298943000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,8716644000,15763491000,20385636000
61,Total Liabilities,7795578000,16221393000,16769984000,28995105000,54487721000,126210656000,131666263000,148297997000,175063857000,217801886000,250934493000
62,Preferred Stock,382267000,382267000,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,163000,182000,261000,358000,358000,377000,377000,380000,381000,404000,- -
64,Retained Earnings,-2481604000,-4212915000,-4301195000,-9272343000,-18690910000,-21860345000,-22234609000,-24038081000,-11912679000,37418433000,- -
65,Other Comprehensive Income/Loss,-146375000,-152083000,-265970000,-361116000,838044000,1676331000,2478047000,4759508000,5622312000,-2014792000,- -
66,Other Total Stockholders Equity,5028940000,5647210000,13806732000,47131168000,48393123000,54076537000,71796999000,79049166000,88145956000,152139250000,- -
67,Total Stockholders Equity,2783391000,1664661000,9239828000,37498067000,30540615000,33892900000,52040814000,59770973000,81855970000,187543295000,208911653000
68,Total Liabilities And Stockholders Equity,10578969000,17886054000,26009812000,66493172000,85028336000,160103556000,183707077000,208068970000,256919827000,405345181000,459846146000
