,https://roic.ai/company/IRTC,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,21749000,36140000,64072000,98509000,147293000,214552000,265166000,322825000
2,COGS,10591000,14700000,20883000,27708000,38579000,52485000,70277000,109258000
3,Gross Profit,11158000,21440000,43189000,70801000,108714000,162067000,194889000,213567000
4,Gross Profit Ratio,0.5130,0.5932,0.6741,0.7187,0.7381,0.7554,0.7350,0.6616
5,Research and Development Exp.,5698000,6349000,7150000,13335000,20750000,37299000,41329000,38671000
6,General and Administrative Exp.,- -,- -,51621000,84737000,131582000,179523000,197233000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,51621000,84737000,131582000,179523000,197233000,274839000
9,Other Expenses,20225000,36722000,- -,- -,- -,- -,- -,- -
10,Operating Expenses,25923000,43071000,58771000,98072000,152332000,216822000,238562000,313510000
11,COGS and Expenses,36514000,57771000,79654000,125780000,190911000,269307000,308839000,422768000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),774000,1059000,3248000,3386000,3115000,1643000,1519000,1169000
14,Depreciation and Amortization,242000,492000,568000,1597000,2269000,3445000,6900000,9842000
15,EBITDA,-14816000,-21248000,-17087000,-24437000,-42852000,-49415000,-35182000,-89983000
16,EBITDA ratio,-0.6812,-0.5879,-0.2667,-0.2481,-0.2909,-0.2303,-0.1327,-0.2787
17,Operating Income,-14765000,-21631000,-15582000,-27271000,-43618000,-54755000,-43673000,-99943000
18,Operating Income ratio,-0.6789,-0.5985,-0.2432,-0.2768,-0.2961,-0.2552,-0.1647,-0.3096
19,Total Other Income Expenses (Gains),-1067000,-1168000,-5321000,-2149000,-4618000,252000,72000,-1051000
20,Income Before Tax,-15832000,-22799000,-20903000,-29420000,-48236000,-54503000,-43601000,-100994000
21,Income Before Tax Ratio,-0.7279,-0.6309,-0.3262,-0.2987,-0.3275,-0.2540,-0.1644,-0.3128
22,Income Tax expense (Gain),- -,- -,- -,- -,44000,65000,229000,367000
