,https://roic.ai/company/CAMT,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23892000,53100000,44100000,22600000,31100000,67400000,63000000,100100000,71000000,75500000,53500000,87800000,107000000,84500000,85400000,88313000,69387000,79228000,93485000,123174000,134019000,155859000,269659000
2,COGS,11685000,24200000,22700000,14600000,16800000,31400000,32800000,48400000,41900000,47600000,36000000,49400000,59600000,47500000,51000000,47294000,36508000,41807000,47966000,62378000,69235000,82628000,132315000
3,Gross Profit,12207000,28900000,21400000,8000000,14300000,36000000,30200000,51700000,29100000,27900000,17500000,38400000,47400000,37000000,34400000,41019000,32879000,37421000,45519000,60796000,64784000,73231000,137344000
4,Gross Profit Ratio,0.5109,0.5443,0.4853,0.3540,0.4598,0.5341,0.4794,0.5165,0.4099,0.3695,0.3271,0.4374,0.4430,0.4379,0.4028,0.4645,0.4738,0.4723,0.4869,0.4936,0.4834,0.4699,0.5093
5,Research and Development Exp.,2419000,5000000,9000000,7200000,5900000,7300000,8500000,11800000,12100000,12800000,10300000,12900000,14100000,12900000,14400000,14406000,11421000,12630000,13534000,14581000,16331000,19575000,23473000
6,General and Administrative Exp.,7827000,12300000,13200000,10100000,10000000,16000000,18800000,27900000,24100000,24800000,17700000,20700000,24300000,21100000,22400000,21417000,19255000,21900000,22022000,26182000,26481000,8063000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22969000,- -
8,"Selling, General and Administrative Exp.",7827000,12310000,14178000,11057000,10041000,15953000,18760000,27850000,24119000,24834000,17667000,20662000,24341000,21138000,22362000,21417000,23587000,25501000,22022000,26182000,26481000,31032000,42973000
9,Other Expenses,474000,-49000,3651000,-6000,-45000,1150000,-31000,31000,11000,1000,19000,6000,-23000,16000,-30000,- -,3439000,3266000,- -,0,- -,- -,- -
10,Operating Expenses,10720000,17261000,26829000,18251000,15896000,24403000,27229000,39681000,36230000,37635000,27986000,33568000,38418000,34054000,36732000,35823000,38447000,41397000,35556000,40763000,42812000,50607000,66446000
11,COGS and Expenses,22405000,41400000,49000000,33700000,32700000,55800000,60000000,88100000,78200000,85300000,64600000,83600000,99300000,83500000,85100000,83435000,82963000,77209000,96522000,103141000,112047000,133235000,198761000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,181000,17000,14000,32000,38000,90000,77000,88000,74000,77000,594000,1412000,1281000,- -
13,Interest Expense (Gain),- -,-300000,1400000,-200000,-200000,-300000,-100000,400000,- -,1100000,-300000,-800000,-1600000,-800000,-900000,-962000,-1091000,-717000,23000,820000,1060000,- -,- -
14,Depreciation and Amortization,474000,522000,846000,890000,884000,875000,785000,1560000,1307000,1949000,2140000,2262000,2366000,2125000,2587000,2171000,2060000,2139000,2122000,1966000,2134000,2234000,2811000
15,EBITDA,1099000,11922000,-1254000,-10110000,-764000,11824000,3385000,13560000,-5993000,-5751000,-9560000,4862000,6866000,3130000,2890000,3967000,-7321000,5268000,20982000,21214000,27130000,25633000,74739000
16,EBITDA ratio,0.0460,0.2245,-0.0284,-0.4473,-0.0246,0.1754,0.0537,0.1355,-0.0844,-0.0762,-0.1787,0.0554,0.0642,0.0370,0.0338,0.0449,-0.1055,0.0665,0.2244,0.1722,0.2024,0.1645,0.2772
17,Operating Income,1487000,11708000,-4959000,-11104000,-1579000,11655000,3022000,11932000,-7201000,-9787000,-10504000,4851000,9022000,-20000,1136000,5136000,-10059000,6616000,-3037000,20033000,21972000,22624000,70898000
18,Operating Income ratio,0.0622,0.2205,-0.1124,-0.4913,-0.0508,0.1729,0.0480,0.1192,-0.1014,-0.1296,-0.1963,0.0553,0.0843,-0.0002,0.0133,0.0582,-0.1450,0.0835,-0.0325,0.1626,0.1639,0.1452,0.2629
19,Total Other Income Expenses (Gains),- -,-8000,1359000,304000,279000,-355000,-322000,-332000,-99000,987000,-996000,-1451000,-2922000,220000,-1736000,-1220000,-4829000,-5444000,-150000,728000,801000,775000,1030000
20,Income Before Tax,- -,11700000,-3600000,-10800000,-1300000,11300000,2700000,11600000,-7300000,-8800000,-11500000,3400000,6100000,200000,-600000,3916000,-14888000,1172000,-3187000,20761000,22773000,23399000,71928000
21,Income Before Tax Ratio,- -,0.2203,-0.0816,-0.4779,-0.0418,0.1677,0.0429,0.1159,-0.1028,-0.1166,-0.2150,0.0387,0.0570,0.0024,-0.0070,0.0443,-0.2146,0.0148,-0.0341,0.1686,0.1699,0.1501,0.2667
22,Income Tax expense (Gain),- -,800000,200000,500000,152000,449000,- -,- -,400000,800000,400000,600000,700000,200000,-600000,-579000,1823000,-888000,4875000,-303000,1950000,1621000,11651000
23,Net Income,625000,10900000,-3700000,-11300000,-1600000,10800000,2700000,11600000,-7700000,-9600000,-11800000,2800000,5400000,- -,- -,3337000,-10113000,4734000,13962000,18731000,21986000,21778000,60277000
24,Net Income ratio,0.0262,0.2053,-0.0839,-0.5000,-0.0514,0.1602,0.0429,0.1159,-0.1085,-0.1272,-0.2206,0.0319,0.0505,- -,- -,0.0378,-0.1457,0.0598,0.1494,0.1521,0.1641,0.1397,0.2235
25,EPS,0.04,0.58,-0.17,-0.47,-0.06,0.40,0.10,0.40,-0.25,-0.32,-0.40,0.10,0.18,0.00,0.00,0.11,-0.30,0.13,0.40,0.52,0.57,0.55,1.38
26,EPS Diluted,0.04,0.57,-0.17,-0.47,-0.06,0.39,0.10,0.39,-0.25,-0.32,-0.40,0.09,0.18,0.00,0.00,0.11,-0.30,0.13,0.39,0.51,0.57,0.54,1.34
27,Weighted Average Shares Outstanding,15226000,18692000,22043000,24166000,27053000,27114000,27253000,29176000,30145000,29916000,29218000,29259000,29599000,29849000,30040000,30464000,33352000,35348000,35441000,36190000,38649979,39383000,43644000
28,Weighted Average Shares Outstanding Diluted,16422000,19202000,22043000,24166000,27053000,27800000,27586000,29553000,30145000,29916000,29218000,30360000,30007000,30013000,30094000,30545000,33352000,35376000,35964000,36747000,38649979,40372000,45035000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109138/000104746904021998/a2139243z20-f.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891305000882/zk51575.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891306001201/zk62576.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891307001299/zk73815.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891308001672/zk85325.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891309000883/zk96642.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891310001545/zk1008400.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891311001051/zk1109724.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891312001044/zk1211265.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891313001068/zk1312874.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891314000808/zk1414507.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891315000920/zk1516415.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891316004756/0001178913-16-004756-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891317000784/0001178913-17-000784-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891318000847/0001178913-18-000847-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891319000918/0001178913-19-000918-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891320000959/0001178913-20-000959-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,538000,9793000,7029000,2898000,12837000,9141000,8714000,23358000,18601000,15949000,15802000,9577000,22185000,18777000,16405000,18130000,30743000,19740000,43744000,54935000,38047000,105815000,241943000
32,Short-Term Investments,- -,26592000,13908000,10912000,- -,- -,2101000,2099000,1395000,- -,- -,- -,- -,7160000,6000000,8607000,- -,- -,- -,- -,51500000,72000000,156000000
33,Cash and Short-Term Investments,538000,36385000,20937000,13810000,12837000,9141000,10815000,25457000,19996000,15949000,15802000,9577000,22185000,25937000,22405000,26737000,30743000,19740000,43744000,54935000,89547000,177815000,397943000
34,Net Receivables,6588000,11131000,14192000,11104000,15969000,22557000,26412000,29614000,23751000,19305000,19613000,29201000,27581000,24113000,27705000,23855000,27744000,37818000,24563000,33672000,33667000,43477000,57825000
35,Inventory,6574000,10700000,12039000,12028000,13687000,24892000,24942000,41414000,34243000,9792000,14176000,24034000,24355000,18335000,17911000,24650000,27599000,25448000,21336000,30109000,23803000,39736000,58759000
36,Other Current Assets,1161000,3169000,2555000,1497000,1794000,2093000,3107000,2437000,2740000,1233000,1202000,2468000,5825000,2021000,2517000,2317000,9672000,1900000,1805000,585000,685000,890000,5653000
37,Total Current Assets,14861000,61385000,49723000,38439000,44287000,58683000,65276000,98922000,80730000,46279000,50793000,65280000,79946000,70406000,70538000,77559000,95758000,84906000,91448000,119301000,147702000,261918000,520180000
38,PP&E,2555000,3818000,11225000,10509000,9899000,9960000,9963000,10729000,15325000,15648000,15394000,15077000,14577000,15822000,14481000,13025000,13531000,14109000,15503000,17117000,18526000,20398000,25400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3653000,3653000,3653000,1579000,1555000,1555000,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,255000,76000,- -,- -,- -,- -,- -,112000,- -,575000,4356000,4163000,4191000,2971000,1008000,928000,795000,865000,482000,476000,491000,609000,- -
41,Intangible Assets,255000,76000,- -,- -,- -,- -,- -,112000,- -,575000,8009000,7816000,7844000,4550000,2563000,2483000,795000,865000,482000,476000,491000,609000,610000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000
43,Tax Assets,- -,448000,306000,- -,- -,- -,- -,369000,612000,127000,98000,152000,132000,107000,975000,891000,3955000,3283000,4067000,2366000,746000,482000,227000
44,Other Non-Current Assets,942000,- -,- -,- -,- -,- -,- -,674000,798000,22106000,5121000,7946000,2258000,8123000,3293000,2553000,2227000,2377000,1536000,2287000,2904000,4501000,5340000
45,Total Non-Current Assets,3752000,4342000,11531000,10509000,9899000,9960000,9963000,11884000,17735000,38456000,28622000,30991000,24811000,28602000,21312000,18952000,20508000,20634000,21588000,22246000,22667000,25990000,63577000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,18613000,65727000,61254000,48948000,54186000,68643000,75239000,110806000,98465000,84735000,79415000,96271000,104757000,99008000,91850000,96511000,116266000,105540000,113036000,141547000,170369000,287908000,583757000
48,Accounts Payable,2211000,6377000,2857000,3007000,6985000,8215000,8678000,11801000,7960000,5534000,4494000,9761000,6773000,7610000,7753000,9490000,11812000,12983000,10502000,15541000,11334000,27180000,33550000
49,Short-Term Debt,6794000,931000,4816000,39000,2300000,2335000,- -,- -,1667000,3167000,1666000,1842000,4700000,5752000,- -,- -,- -,- -,- -,- -,826000,736000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,305000,442000,536000,400000,864000,992000,1084000,737000,874000,748000,597000,700000,752000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,2603000,1701000,1837000,2186000,1843000,1985000,1416000,1961000,2290000,3589000,4031000,2004000,6155000,- -
52,Other Current Liabilities,6160000,8585000,7198000,5196000,5638000,8095000,8721000,13645000,12331000,8779000,11244000,19571000,19382000,12007000,13600000,14863000,28751000,16032000,13806000,19148000,17442000,23313000,56137000
53,Total Current Liabilities,15165000,15893000,14871000,8242000,14923000,18645000,17399000,25446000,21958000,20083000,19105000,33011000,33041000,27212000,23338000,25769000,42524000,31305000,27897000,38720000,31606000,57384000,89687000
54,Long-Term Debt,- -,- -,55000,12000,- -,- -,5000000,5000000,3333000,1666000,- -,758000,2092000,500000,- -,- -,- -,- -,- -,- -,- -,- -,194643000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1342000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,59000,64000,307000,378000,412000,222000,222000,222000,268000,271000,9289000,8510000,9691000,10959000,6616000,5010000,5540000,870000,838000,1420000,2461000,1918000,5800000
58,Total Non-Current Liabilities,59000,64000,362000,390000,412000,222000,5222000,5222000,3601000,1937000,9289000,9268000,11783000,11459000,6616000,5010000,5540000,870000,838000,1420000,2461000,3260000,200443000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,826000,1415000,- -
61,Total Liabilities,15224000,15957000,15233000,8632000,15335000,18867000,22621000,30668000,25559000,22020000,28394000,42279000,44824000,38671000,29954000,30779000,48064000,32175000,28735000,40140000,34067000,60644000,290130000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,98000,112000,112000,125000,125000,125000,125000,132000,132000,132000,132000,132000,133000,133000,134000,134000,148000,148000,149000,151000,157000,171000,172000
64,Retained Earnings,2159000,13050000,9339000,-1953000,-3522000,7275000,9977000,21580000,13889000,4332000,-7510000,-4694000,684000,687000,694000,4031000,-6082000,-1348000,7613000,21281000,36716000,58494000,118771000
65,Other Comprehensive Income/Loss,-865000,-1060000,-1602000,-129000,-560000,-363000,-223000,-1000,-6307000,-7976000,-9870000,-11408000,-12003000,-13008000,-10012000,-10993000,-11794000,-10790000,-10581000,-10892000,-13387000,- -,- -
66,Other Total Stockholders Equity,1997000,37668000,38172000,42273000,42808000,42739000,42739000,58427000,65192000,66227000,68269000,69962000,71119000,72525000,71080000,72560000,85930000,85355000,87120000,90867000,112816000,168599000,174684000
67,Total Stockholders Equity,3389000,49770000,46021000,40316000,38851000,49776000,52618000,80138000,72906000,62715000,51021000,53992000,59933000,60337000,61896000,65732000,68202000,73365000,84301000,101407000,136302000,227264000,293627000
68,Total Liabilities And Stockholders Equity,18613000,65727000,61254000,48948000,54186000,68643000,75239000,110806000,98465000,84735000,79415000,96271000,104757000,99008000,91850000,96511000,116266000,105540000,113036000,141547000,170369000,287908000,583757000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,18613000,65727000,61254000,48948000,54186000,68643000,75239000,110806000,98465000,84735000,79415000,96271000,104757000,99008000,91850000,96511000,116266000,105540000,113036000,141547000,170369000,287908000,583757000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1109138/000104746904021998/a2139243z20-f.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891305000882/zk51575.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891306001201/zk62576.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891307001299/zk73815.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891308001672/zk85325.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891309000883/zk96642.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891310001545/zk1008400.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891311001051/zk1109724.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891312001044/zk1211265.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891313001068/zk1312874.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891314000808/zk1414507.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891315000920/zk1516415.htm,https://www.sec.gov/Archives/edgar/data/1109138/000117891316004756/0001178913-16-004756-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891317000784/0001178913-17-000784-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891318000847/0001178913-18-000847-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891319000918/0001178913-19-000918-index.html,https://www.sec.gov/Archives/edgar/data/1109138/000117891320000959/0001178913-20-000959-index.html,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,625000,10900000,-3700000,-11300000,-1600000,10800000,2700000,11600000,-7700000,-9600000,-11800000,2800000,5400000,- -,- -,3337000,-10113000,4734000,13962000,18731000,21986000,21778000,60277000
74,Depreciation and Amortization,474000,522000,846000,890000,884000,875000,785000,1560000,1307000,1949000,2140000,2262000,2366000,2125000,2587000,2171000,2060000,2139000,2122000,1966000,2134000,2234000,2811000
75,Deferred Income Tax,- -,121000,89000,550000,- -,- -,- -,- -,-59000,570000,- -,-40000,-36000,-232000,-1439000,164000,-2383000,-45000,6000,1701000,1526000,476000,255000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,271000,148000,155000,417000,401000,380000,308000,270000,429000,634000,1681000,2892000,4235000,5815000
77,Change in Working Capital,-1578000,-1609000,-10371000,2130000,-2367000,-13283000,-3830000,-13077000,4217000,3142000,12227000,-6894000,-330000,-959000,4190000,-729000,10945000,-19660000,-3842000,-7612000,-2784000,-2884000,-8286000
78,Accounts Receivable,- -,- -,- -,3200000,- -,- -,- -,- -,- -,4407000,-1049000,-10651000,3451000,2270000,-3827000,5173000,-4531000,-8787000,-484000,-8456000,156000,-9696000,-17338000
79,Inventory,-3142000,-4126000,-286000,- -,-1659000,-11205000,-50000,-16472000,4522000,1576000,13516000,-7360000,-318000,34000,5454000,-5908000,-4021000,813000,-5323000,-10824000,4798000,-19330000,-21702000
80,Accounts Payable,- -,- -,- -,-100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,837000,143000,1737000,2322000,1171000,198000,4778000,-4100000,15661000,6190000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,46000,3000,88000,139000,-765000,1205000,410000,-476000,15282000,-15559000,-207000,36000,-119000,-277000,- -
82,Other Non-Cash Items,88000,24000,3712000,70000,34000,-197000,-4000,668000,953000,768000,1226000,1678000,1980000,2615000,-1065000,702000,750000,-4945000,-11247000,324000,-1128000,-87000,85000
83,Cash Provided by Operating Activities,-391000,9958000,-9424000,-7660000,-3049000,-1805000,-349000,751000,-1282000,-2900000,3941000,-39000,9797000,3950000,4653000,5953000,1529000,-17348000,1635000,16791000,24626000,25752000,60957000
