,https://roic.ai/company/TAUG,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,10000,- -,120000,1130000,200000,150000,- -,- -,- -,- -,- -,- -,96160,- -,- -,- -,57130,234390,285319
2,COGS,- -,10000,- -,140000,1670000,1060000,50000,- -,- -,- -,- -,- -,- -,41800,- -,- -,- -,37130,197180,162627
3,Gross Profit,- -,- -,- -,-20000,-540000,-860000,100000,- -,- -,- -,- -,- -,- -,54360,- -,- -,- -,20000,37210,122692
4,Gross Profit Ratio,- -,- -,- -,-0.1667,-0.4779,-4.3000,0.6667,- -,- -,- -,- -,- -,- -,0.5653,- -,- -,- -,0.3501,0.1588,0.4300
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,520000,470000,820000,- -,- -,- -,- -,108940,10070,13920,6920,273385
6,General and Administrative Exp.,10000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1944195,1083980,1880256,2963739
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,188129000,273305
8,"Selling, General and Administrative Exp.",9000,26168,223410,1577256,1877467,599833,620216,513587,2346680,1763076,5016621,8374216,6142174,3882347,2027633,1432653,1960907,1088180,190009256,3237044
9,Other Expenses,- -,4855,- -,52504,119973,98407,74787,- -,-3239,4669,5629,43919,111304,11286,9832,7036,2166,968,-187939954,1737
10,Operating Expenses,9000,31023,223410,1629760,1997440,698240,695003,513587,2863441,2237745,5842250,8418135,6253478,3893633,2037465,1548629,1973143,1103068,2076222,3512166
11,COGS and Expenses,10000,40000,220000,1770000,3770000,1760000,740000,510000,2860000,2240000,6180000,11130000,7930000,4210540,1715240,1454110,-469600,1188180,2154990,3674793
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,72390,573793,66793,10506,572571,186693,83456,721408,291610,280587,902228,1093071
14,Depreciation and Amortization,- -,4855,- -,52504,119973,98407,74787,- -,1482,3596,5465,43919,111304,11286,9832,7034,796,964,914,1737
15,EBITDA,-10000,-35145,-220000,-1597496,-2150027,-1461593,-685213,-340000,-3010000,-3380000,-6170000,-11090000,-7820000,-4890981,-1705410,-1447080,470400,-815889,-2130148,-2531638
16,EBITDA ratio,-Infinity,-3.5145,-Infinity,-13.3125,-1.9027,-7.3080,-4.5681,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-50.8629,-Infinity,-Infinity,Infinity,-14.2813,-9.0880,-8.8730
17,Operating Income,-9000,-24551,-223410,-1646436,-2539165,-1565404,-594738,- -,- -,- -,-5842250,-11132185,-7609466,-4114374,-2037465,-1548629,-1972670,-1083062,-2039010,-3389474
18,Operating Income ratio,-Infinity,-2.4551,-Infinity,-13.7203,-2.2470,-7.8270,-3.9649,- -,- -,- -,-Infinity,-Infinity,-Infinity,-42.7868,-Infinity,-Infinity,-Infinity,-18.9579,-8.6992,-11.8796
19,Total Other Income Expenses (Gains),-1000,-5449,3410,-3564,-70835,5404,-165262,- -,-80000,-570000,-407750,-17815,-2370534,-974586,-435725,-722671,1975180,-12178,-994280,-236972
20,Income Before Tax,-10000,-30000,-220000,-1650000,-2610000,-1560000,-760000,-510000,-2940000,-2810000,-6250000,-11150000,-9980000,-5088960,-2473190,-2271300,2510,-1095240,-3033290,-3626446
21,Income Before Tax Ratio,-Infinity,-3.0000,-Infinity,-13.7500,-2.3097,-7.8000,-5.0667,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-52.9218,-Infinity,-Infinity,Infinity,-19.1710,-12.9412,-12.7101
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-10000,-40000,-220000,-1650000,-2270000,-1560000,-760000,-340000,-2940000,-2810000,-6250000,-11150000,-9980000,-5088960,-2569150,-2271300,-36130,-1097440,-3033290,-3626446
24,Net Income ratio,-Infinity,-4.0000,-Infinity,-13.7500,-2.0088,-7.8000,-5.0667,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-52.9218,-Infinity,-Infinity,-Infinity,-19.2095,-12.9412,-12.7101
25,EPS,-1.89,-8.45,-1.34,-12.50,-18.75,-12.50,-6.25,-1.50,-10.50,-5.25,-6.75,-4.50,-2.25,-0.75,-0.20,-0.12,-0.01,-0.02,-0.04,-0.02
26,EPS Diluted,-1.89,-8.45,-256.26,-12.50,-18.75,-12.50,-6.25,-1.50,-10.50,-5.25,-6.75,-4.81,-2.25,-0.75,-0.20,-0.12,-0.01,-0.02,-0.04,-0.02
27,Weighted Average Shares Outstanding,4811,5052,166496,149068,137761,138114,147452,188758,280643,552436,973840,2317336,4655186,10485114,12867408,19037116,52258669,55767119,80949849,193622141
28,Weighted Average Shares Outstanding Diluted,4811,5052,166496,149068,137761,138114,147452,188758,280643,552436,973840,2317336,4655186,10485114,12867408,19037116,52258669,55767119,80949849,193622141
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142790/000142488408000136/awin10-k.htm,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1142790/000135448812003551/0001354488-12-003551-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000135448813003886/0001354488-13-003886-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315214002162/0001493152-14-002162-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315216010145/0001493152-16-010145-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315216010145/0001493152-16-010145-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315217007635/0001493152-17-007635-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315218009295/0001493152-18-009295-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315219009783/0001493152-19-009783-index.html,https://www.sec.gov/Archives/edgar/data/1142790/000149315220012174/0001493152-20-012174-index.htm,https://www.sec.gov/Archives/edgar/data/1142790/000149315221015598/0001493152-21-015598-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,100000,80000,- -,- -,- -,50000,10000,620000,140000,810000,209100,- -,20,12290,385940,5350,49826
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,60000,4060,750,630,632760,422900,279300,1558531
33,Cash and Short-Term Investments,- -,- -,- -,100000,80000,- -,- -,- -,50000,10000,620000,140000,870000,213160,750,650,645050,808840,284650,1608357
34,Net Receivables,- -,- -,- -,90000,510000,40000,70000,- -,- -,- -,- -,10000,- -,- -,- -,- -,580,- -,42580,32227
35,Inventory,- -,- -,- -,1540000,320000,140000,170000,- -,- -,- -,- -,- -,- -,90990,- -,- -,- -,10870,128710,647013
36,Other Current Assets,- -,10000,- -,40000,10000,- -,- -,- -,10000,- -,10000,20000,30000,29210,2500,2180,40720,128110,151950,108970
37,Total Current Assets,- -,10000,- -,1770000,920000,180000,240000,- -,60000,10000,630000,170000,900000,333360,3250,2830,686350,947820,607890,2396567
38,PP&E,- -,- -,- -,2760000,2950000,2440000,2230000,- -,10000,10000,40000,30000,20000,25290,6910,960,2490,13010,35570,92136
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -,1790000,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,40000,- -,- -,- -,- -,- -,- -,- -,- -,1790000,- -,- -,- -,- -,- -,- -,- -
