,https://roic.ai/company/NAHD,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,363767,317418,200986,106535,- -,- -,- -,34328,1848,76,- -,- -
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,363767,317418,200986,106535,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,275097,459330,353914,248094,99286,84966,962602,218524,182455,145824,180002,190154
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",275097,459330,353914,248094,99286,84966,962602,218524,182455,145824,180002,190154
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,275097,459330,353914,248094,99286,84966,962602,218524,182455,145824,180002,190154
11,COGS and Expenses,275097,459330,353914,248094,99286,84966,962602,218524,182455,145824,180002,190154
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1709,1171,487,300,300,128,- -,- -,- -,- -,- -,- -
15,EBITDA,-10102,-218144,-201181,-166481,-98986,-84838,7768038,-1520156,1035662,-145748,-180002,-190154
16,EBITDA ratio,-0.0278,-0.6872,-1.0010,-1.5627,-Infinity,-Infinity,Infinity,-44.2833,560.4232,-1917.7368,-Infinity,-Infinity
17,Operating Income,88670,-141912,-152928,-141559,-99286,-59966,-8134622,-184196,-180607,-145748,-180002,-190154
18,Operating Income ratio,0.2438,-0.4471,-0.7609,-1.3288,-Infinity,-Infinity,-Infinity,-5.3658,-97.7311,-1917.7368,-Infinity,-Infinity
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,37924,2,-1558620,-1335960,1216269,- -,- -,- -
20,Income Before Tax,- -,- -,-152928,-141559,-61362,-59964,-9693242,-1520156,1035662,-145748,-180002,-190154
21,Income Before Tax Ratio,- -,- -,-0.7609,-1.3288,-Infinity,-Infinity,-Infinity,-44.2833,560.4232,-1917.7368,-Infinity,-Infinity
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-11811,-219315,-201668,-166781,-61720,-59964,-9693242,-1520156,1035662,-145748,-180002,-190154
24,Net Income ratio,-0.0325,-0.6909,-1.0034,-1.5655,-Infinity,-Infinity,-Infinity,-44.2833,560.4232,-1917.7368,-Infinity,-Infinity
25,EPS,-0.01,-0.17,-0.15,-0.11,-0.04,-0.03,-0.16,-0.02,0.01,-0.00,-0.00,-0.00
26,EPS Diluted,-0.01,-0.17,-0.15,-0.11,-0.04,-0.03,-0.16,-0.02,0.01,-0.00,-0.00,-0.00
27,Weighted Average Shares Outstanding,1235826,1276208,1303382,1461428,1525083,1790702,60109061,68948767,69131775,72288767,72288667,73029104
28,Weighted Average Shares Outstanding Diluted,1235826,1276208,1303382,1461428,1525083,1790702,60109061,68948767,69131775,72288767,72288667,73029104
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1485029/000144586612000130/0001445866-12-000130-index.html,https://www.sec.gov/Archives/edgar/data/1485029/000144586613000218/0001445866-13-000218-index.html,https://www.sec.gov/Archives/edgar/data/1485029/000144586614000288/0001445866-14-000288-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586615000453/0001445866-15-000453-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586616001948/0001445866-16-001948-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586617000478/0001445866-17-000478-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586618000397/0001445866-18-000397-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586619000434/0001445866-19-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586620000414/0001445866-20-000414-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000109690621000755/0001096906-21-000755-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,36729,2714,26089,34762,10589,- -,105385,72308,58263,28617,23874,200378
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,36729,2714,26089,34762,10589,- -,105385,72308,58263,28617,23874,200378
34,Net Receivables,59708,39248,15835,1541,- -,- -,885,1333,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,21454,15656,10656,- -,- -,- -,15103,12084,12079,13225,11000,11000
37,Total Current Assets,117891,57618,52580,36303,10589,- -,121373,85725,70342,41842,34874,211378
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,1304,1215,728,428,128,- -,790,1115,1115,195,195,195
45,Total Non-Current Assets,1304,1215,728,428,128,- -,790,1115,1115,195,195,195
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,119195,58833,53308,36731,10717,- -,122163,86840,71457,42037,35069,211573
48,Accounts Payable,28527,54969,45320,50302,47074,- -,4205,1205,3150,17297,91858,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,465954,632550,711539,836452,955149
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,28092,56608,176077,296077,301653,- -,5974990,6995881,2397,26402,- -,119470
53,Total Current Liabilities,56619,111577,221397,346379,348727,- -,5979195,7463040,638097,755238,928310,1074619
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,26592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,26592,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,56619,138169,221397,346379,348727,- -,5979195,7463040,638097,755238,928310,1074619
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,239908,239938,282721,273339,1558,1822,68949,68949,72289,72289,72289,75289
64,Retained Earnings,-935096,-1154411,-1356079,-1522860,-1584580,-1622970,-11337785,-12857941,-11822279,-11968027,-12148029,-12338183
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-214,135
66,Other Total Stockholders Equity,611601,611571,632963,642345,1245012,1271148,5411804,5412792,11183350,11182537,11182713,11399713
67,Total Stockholders Equity,-83587,-302902,-440395,-607176,-338010,-350000,-5857032,-7376200,-566640,-713201,-893241,-863046
68,Total Liabilities And Stockholders Equity,-26968,-164733,-218998,-260797,10717,- -,122163,86840,71457,42037,35069,211573
69,Minority Interest,146163,223566,272306,297528,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,119195,58833,53308,36731,10717,- -,122163,86840,71457,42037,35069,211573
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1485029/000144586612000130/0001445866-12-000130-index.html,https://www.sec.gov/Archives/edgar/data/1485029/000144586613000218/0001445866-13-000218-index.html,https://www.sec.gov/Archives/edgar/data/1485029/000144586614000288/0001445866-14-000288-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586615000453/0001445866-15-000453-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586616001948/0001445866-16-001948-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586617000478/0001445866-17-000478-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586618000397/0001445866-18-000397-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586619000434/0001445866-19-000434-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000144586620000414/0001445866-20-000414-index.htm,https://www.sec.gov/Archives/edgar/data/1485029/000109690621000755/0001096906-21-000755-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , 
73,Net Income,-11811,-219315,-201668,-166781,-61720,-59964,-9693242,-1520156,1035662,-145748,-180002,-190154
74,Depreciation and Amortization,1709,1171,487,300,300,128,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,10040,- -,64175,- -,33000,26400,800000,- -,- -,- -,- -,- -
77,Change in Working Capital,-68884,-115231,-114858,-141259,-28062,338138,-5857822,-1519493,6809560,-145641,50384,66309
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-1333,1333,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,-44462,26442,-9649,4982,-3228,-47073,4205,-3000,-2705,14147,- -,- -
81,Other Working Capital,61272,-53959,-168817,-310076,-338138,- -,-5857822,-7377315,-567755,-713396,- -,- -
82,Other Non-Cash Items,100481,265334,310362,316413,32309,-686864,14546726,2856163,-8026263,183567,- -,- -
83,Cash Provided by Operating Activities,31535,-68041,58498,8673,-24173,-382162,-204338,-183486,-181041,-107822,-129618,-123845
84,CAPEX,-2607,-1082,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,-6059,149421,- -,- -,- -,- -
89,Cash Used for Investing Activites,-2607,-1082,- -,- -,- -,- -,-6059,149421,- -,- -,- -,- -
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000
