,https://roic.ai/company/TSCO,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,279200000,330000000,383900000,449000000,509100000,600700000,- -,759000000,849800000,1210000000,1472900000,1738800000,2067979000,2369600000,2703200000,3007900000,3206900000,3638300000,4232743000,4664120000,5164800000,5711715000,6226507000,6779579000,7256382000,7911046000,8351931000,10620352000,12731105000
2,COGS,207500000,241800000,285200000,332400000,377500000,446000000,- -,558600000,621500000,867800000,1024000000,1214200000,1428428000,1617400000,1845300000,2052900000,2165000000,2434700000,2825871000,3098066000,3411200000,3761300000,4083333000,4454377000,4764417000,5208518000,5480161000,6858803000,8253952000
3,Gross Profit,71700000,88200000,98700000,116600000,131600000,154700000,- -,200400000,228300000,342200000,448900000,524600000,639551000,752200000,857900000,955000000,1041900000,1203600000,1406872000,1566054000,1753600000,1950415000,2143174000,2325202000,2491965000,2702528000,2871770000,3761549000,4477153000
4,Gross Profit Ratio,0.2568,0.2673,0.2571,0.2597,0.2585,0.2575,- -,0.2640,0.2687,0.2828,0.3048,0.3017,0.3093,0.3174,0.3174,0.3175,0.3249,0.3308,0.3324,0.3358,0.3395,0.3415,0.3442,0.3430,0.3434,0.3416,0.3438,0.3542,0.3517
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,88800000,104700000,120700000,- -,156500000,178200000,259700000,331600000,396000000,469087000,555800000,641600000,716000000,784100000,867600000,- -,- -,1138900000,- -,- -,1488164000,1639749000,1823440000,1932572000,2478524000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",54800000,65800000,73600000,88800000,104700000,120700000,- -,156535000,178243000,260290000,332215000,395955000,469087000,561051000,641603000,715961000,784066000,867644000,973822000,1040287000,1138934000,1246308000,1369097000,1488164000,1639749000,1823440000,1932572000,2478524000,2900297000
9,Other Expenses,1700000,1800000,2500000,3400000,4500000,5400000,- -,9965000,9057000,17410000,20985000,27145000,34020000,37049000,50997000,60739000,66334000,69756000,80347000,88975000,99966000,114635000,123569000,142958000,165834000,177351000,195978000,217124000,270158000
10,Operating Expenses,56500000,67600000,76100000,92200000,109200000,126100000,- -,166500000,187300000,277700000,353200000,423100000,503107000,598100000,692600000,776700000,850400000,937400000,1054169000,1129262000,1238900000,1360943000,1492666000,1631122000,1805583000,2000791000,2128550000,2695648000,3170455000
11,COGS and Expenses,264000000,309400000,361300000,424600000,486700000,572100000,- -,725100000,808800000,1145500000,1377200000,1637300000,1931535000,2215500000,2537900000,2829600000,3015400000,3372100000,3880040000,4227328000,4650100000,5122243000,5575999000,6085499000,6570000000,7209309000,7608711000,9554451000,11424407000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2133000,1644000,1284000,- -,1055000,557000,1885000,2891000,5810000,13859000,18352000,19843000,28781000,26610000
14,Depreciation and Amortization,1700000,1800000,2500000,3400000,4500000,5300000,- -,9889000,11254000,16457000,19758000,27186000,34020000,42292000,51064000,60731000,66258000,69797000,80347000,88975000,100025000,114635000,123569000,142958000,165834000,177351000,195978000,217124000,270158000
15,EBITDA,13100000,20600000,23300000,25400000,24500000,30600000,- -,37489000,47854000,76620000,110058000,127286000,168832000,193692000,209327000,222370000,255125000,336081000,430963000,525767000,614682000,704107000,774077000,837038000,852216000,879088000,939198000,1214052000,1576856000
16,EBITDA ratio,0.0469,0.0624,0.0607,0.0566,0.0481,0.0509,- -,0.0494,0.0563,0.0633,0.0747,0.0732,0.0816,0.0817,0.0774,0.0739,0.0796,0.0924,0.1018,0.1127,0.1190,0.1233,0.1243,0.1235,0.1174,0.1111,0.1125,0.1143,0.1239
17,Operating Income,15200000,20600000,22600000,24400000,22400000,28700000,- -,33983000,38847000,65440000,96927000,101546000,136444000,148020000,160041000,135569000,184633000,266224000,352703000,436792000,514650000,589472000,650508000,694080000,686382000,701737000,743220000,996928000,1306698000
18,Operating Income ratio,0.0544,0.0624,0.0589,0.0543,0.0440,0.0478,- -,0.0448,0.0457,0.0541,0.0658,0.0584,0.0660,0.0625,0.0592,0.0451,0.0576,0.0732,0.0833,0.0936,0.0996,0.1032,0.1045,0.1024,0.0946,0.0887,0.0890,0.0939,0.1026
19,Total Other Income Expenses (Gains),-3800000,-1800000,-1800000,-2300000,-2500000,-3400000,- -,-6383000,-2347000,-5640000,-4727000,-1446000,-1632000,3380000,159000,40631000,5267000,-1324000,-2087000,-1055000,-550000,-1885000,-2891000,-5810000,-13859000,-18352000,-19843000,-28781000,-26610000
20,Income Before Tax,11400000,18800000,20800000,22100000,19900000,25300000,- -,27600000,36500000,59800000,92200000,100100000,134812000,151400000,160200000,176200000,189900000,264900000,350616000,435737000,514100000,587587000,647617000,688270000,672523000,683385000,723377000,968147000,1280088000
21,Income Before Tax Ratio,0.0408,0.0570,0.0542,0.0492,0.0391,0.0421,- -,0.0364,0.0430,0.0494,0.0626,0.0576,0.0652,0.0639,0.0593,0.0586,0.0592,0.0728,0.0828,0.0934,0.0995,0.1029,0.1040,0.1015,0.0927,0.0864,0.0866,0.0912,0.1005
22,Income Tax expense (Gain),4500000,7500000,8300000,8800000,8200000,10500000,- -,11200000,10800000,21963000,34600000,36000000,49143000,56700000,58763000,51506000,67523000,97000000,127876000,159280000,185900000,216702000,237222000,251150000,249924000,151028000,161023000,219189000,282974000
23,Net Income,6900000,11300000,12500000,13200000,11800000,14800000,- -,16400000,25800000,38200000,55700000,64100000,85669000,94700000,99500000,108000000,119700000,168000000,222740000,276457000,328200000,370885000,410395000,437120000,422599000,532357000,562354000,748958000,997114000
24,Net Income ratio,0.0247,0.0342,0.0326,0.0294,0.0232,0.0246,- -,0.0216,0.0304,0.0316,0.0378,0.0369,0.0414,0.0400,0.0368,0.0359,0.0373,0.0462,0.0526,0.0593,0.0635,0.0649,0.0659,0.0645,0.0582,0.0673,0.0673,0.0705,0.0783
25,EPS,0.02,0.02,0.02,0.09,0.08,0.11,- -,0.12,0.18,0.27,0.38,0.42,0.55,0.57,0.61,0.56,0.80,1.16,1.55,1.95,2.35,2.69,3.03,3.29,3.31,4.34,4.70,6.44,8.57
26,EPS Diluted,0.02,0.02,0.02,0.09,0.08,0.10,- -,0.12,0.18,0.25,0.35,0.39,0.52,0.56,0.60,0.55,0.79,1.13,1.50,1.90,2.32,2.66,3.00,3.27,3.30,4.31,4.66,6.38,8.49
27,Weighted Average Shares Outstanding,441081081,139488000,139488000,140800000,140895522,140118343,- -,140235294,141227397,144260465,148686842,152545238,156473059,160366520,157128163,147320000,143960000,145194000,143554000,142184000,139415000,137769000,135582000,132905000,127588000,122651000,119727000,116370000,116370000
28,Weighted Average Shares Outstanding Diluted,441081081,139488000,139488000,140800000,140895522,140952381,- -,140235294,144696140,157441624,161431429,163233121,163959809,163978378,160401667,149856000,146596000,149372000,147842000,145514000,141723000,139435000,136845000,133813000,128204000,123471000,120743000,117436000,117436000
29,SEC Link,- -,- -,- -,- -,- -,- -,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000095014403003161/0000950144-03-003161-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000136231008001146/0001362310-08-001146-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000136231009002757/0001362310-09-002757-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000095012310016345/0000950123-10-016345-index.htm,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/916365/000091636517000031/0000916365-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636518000031/0000916365-18-000031-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636519000035/0000916365-19-000035-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636520000050/0000916365-20-000050-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636521000052/0000916365-21-000052-index.htm,https://www.sec.gov/Archives/edgar/data/916365/000091636522000049/0000916365-22-000049-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,12900000,8500000,18200000,- -,9100000,8900000,13800000,20000000,28900000,21203000,26400000,13700000,37000000,172900000,257300000,176965000,138630000,142700000,51134000,63813000,53916000,109148000,86299000,84241000,1341756000,878030000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,12900000,8500000,18200000,- -,9100000,8900000,13800000,20000000,28900000,21203000,26400000,13700000,37000000,172900000,273200000,176965000,138630000,142700000,51134000,63813000,53916000,109148000,86299000,84241000,1341756000,878030000
34,Net Receivables,- -,- -,- -,4900000,5200000,5600000,- -,7700000,2200000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3763000,3680000,4760000,4111000,- -,- -,17100000
35,Inventory,- -,- -,- -,124100000,151700000,171700000,- -,222500000,222000000,289300000,324500000,385100000,460751000,594900000,636000000,603400000,676500000,736500000,830819000,908116000,979300000,1115450000,1284375000,1369656000,1453208000,1589542000,1602781000,1783270000,2191192000
36,Other Current Assets,- -,- -,- -,1700000,4200000,6300000,- -,7900000,18900000,29100000,38700000,44400000,49459000,48300000,42200000,43600000,30700000,34000000,82465000,83306000,87200000,107406000,133480000,90557000,88252000,114447000,100865000,133659000,164118000
37,Total Current Assets,- -,- -,- -,143600000,169600000,201800000,- -,247200000,252000000,332300000,383200000,458400000,531413000,669600000,691900000,684000000,880100000,1043700000,1090249000,1130052000,1209200000,1273990000,1485431000,1517809000,1655368000,1794399000,1787887000,3258685000,3250440000
38,PP&E,- -,- -,- -,49500000,52400000,59900000,- -,80500000,82000000,123500000,150800000,213600000,258475000,301600000,332900000,362000000,370200000,395800000,480855000,549998000,664900000,721000000,847576000,962308000,1044503000,1134464000,3352758000,3672841000,4403664000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10300000,10300000,10300000,10300000,10300000,10258000,10258000,10300000,10258000,10258000,- -,124492000,124492000,- -,32419000,32419000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12436000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124492000,23101000,23101000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12436000,10300000,10300000,10300000,10300000,10300000,10258000,10258000,10300000,10258000,10258000,125717000,124492000,124492000,124492000,55520000,55520000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1600000,6200000,5700000,7530000,- -,- -,- -,- -,- -,- -,- -,- -,8782000,9224000,45218000,- -,- -,153000,31586000,2437000
44,Other Non-Current Assets,- -,- -,- -,2500000,2100000,2900000,- -,4600000,4500000,1500000,-1900000,800000,4941000,16800000,22900000,19700000,16000000,13700000,13470000,16500000,19000000,20541000,18337000,23890000,44406000,31907000,23978000,30484000,55406000
45,Total Non-Current Assets,- -,- -,- -,52000000,54500000,62800000,- -,85100000,86500000,126600000,155100000,220100000,283382000,328700000,366100000,392000000,396500000,419800000,504583000,576756000,694200000,760581000,885395000,1157133000,1213401000,1290863000,3501381000,3790431000,4517027000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,195600000,224100000,264600000,- -,332300000,338500000,458900000,538300000,678500000,814795000,998300000,1058000000,1076000000,1276600000,1463500000,1594832000,1706808000,1903400000,2034571000,2370826000,2674942000,2868769000,3085262000,5289268000,7049116000,7767467000
48,Accounts Payable,- -,- -,- -,47600000,52700000,60900000,- -,70300000,81000000,114900000,131600000,148000000,185397000,229200000,258300000,286800000,261600000,247400000,266409000,320392000,316500000,370823000,427249000,519522000,576568000,619981000,643036000,976096000,1155630000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,2482000,- -,882000,1049000,1065000,847000,550000,392000,91000,33000,38000,42000,213000,878000,11294000,28545000,29896000,311135000,303250000,325182000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7605000,8269000,11874000,43359000,9424000,12436000,5449000,5482000,10772000,1768000,5984000,19938000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,7784000,- -,- -,- -,- -,277000,1676000,17909000,- -,- -,- -,- -,- -,- -,- -,18494000,6607000,153000,31586000,- -
52,Other Current Liabilities,- -,- -,- -,30100000,34000000,45400000,- -,43200000,48700000,63234000,70400000,90218000,104235000,123235000,120476000,111774000,124299000,179109000,194183000,240075000,215558000,232057000,243157000,246378000,225607000,281623000,293276000,432866000,584030000
53,Total Current Liabilities,- -,- -,- -,77700000,86700000,106300000,- -,113500000,129700000,188400000,202000000,239100000,290681000,353500000,379900000,400800000,404200000,426600000,460625000,560505000,532100000,603093000,671284000,777194000,849214000,938107000,1247600000,1743798000,2064842000
54,Long-Term Debt,- -,- -,- -,21200000,31100000,37100000,- -,63000000,23200000,39100000,21200000,34700000,8212000,2800000,57400000,1800000,1400000,1300000,1284000,1242000,1200000,4957000,166992000,263850000,433686000,410370000,396869000,984300000,3594130000
