,https://roic.ai/company/FSV,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,1549713000,1703222000,1986271000,2224171000,2305537000,2343634000,1132002000,1264077000,1482889000,1705456000,1931473000,2407410000,2772415000,3249072000
2,COGS,917827000,1062406000,1221323000,1436214000,1518034000,1509882000,800046000,883963000,1050087000,1189373000,1320252000,1634097000,1871798000,2202840000
3,Gross Profit,631886000,640816000,764948000,787957000,787503000,833752000,331956000,380114000,432802000,516083000,611221000,773313000,900617000,1046232000
4,Gross Profit Ratio,0.4077,0.3762,0.3851,0.3543,0.3416,0.3558,0.2932,0.3007,0.2919,0.3026,0.3165,0.3212,0.3248,0.3220
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,279235000,305222000,358238000,426377000,546257000,628523000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,279235000,305222000,358238000,426377000,546257000,628523000,733602000
9,Other Expenses,553764000,573052000,668287000,685247000,692780000,733020000,285152000,28984000,36969000,42049000,52772000,393936000,98382000,98965000
10,Operating Expenses,553764000,573052000,668287000,685247000,692780000,733020000,285152000,308219000,342191000,400287000,479149000,940193000,726905000,832567000
11,COGS and Expenses,1471591000,1635458000,1889610000,2121461000,2210814000,2242902000,1085198000,1192182000,1392278000,1589660000,1799401000,2574290000,2598703000,3035407000
12,Interest Income ,3472000,1417000,950000,1167000,1015000,1046000,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),16859000,13923000,18347000,17975000,20616000,22547000,6932000,9077000,9152000,9867000,12620000,32080000,24318000,16036000
14,Depreciation and Amortization,37673000,46383000,47886000,50926000,53502000,75352000,26474000,28984000,36969000,42049000,52772000,79557000,98382000,98965000
15,EBITDA,38664000,54518000,109025000,116204000,100272000,102484000,58618000,82868000,107105000,127601000,156179000,-112826000,245824000,303088000
16,EBITDA ratio,0.0249,0.0320,0.0549,0.0522,0.0435,0.0437,0.0518,0.0656,0.0722,0.0748,0.0809,-0.0469,0.0887,0.0933
17,Operating Income,- -,- -,- -,- -,78397000,90234000,45621000,70747000,90550000,107627000,127568000,-174419000,169412000,201642000
18,Operating Income ratio,- -,- -,- -,- -,0.0340,0.0385,0.0403,0.0560,0.0611,0.0631,0.0660,-0.0725,0.0611,0.0621
19,Total Other Income Expenses (Gains),-8737000,-35977000,-19533000,-27774000,-17160000,-19970000,-7187000,-9137000,-8920000,-8347000,-12366000,-26065000,-23957000,7363000
20,Income Before Tax,69385000,31787000,77128000,74936000,61237000,70264000,38434000,61610000,81630000,99280000,115202000,-200484000,145455000,209005000
21,Income Before Tax Ratio,0.0448,0.0187,0.0388,0.0337,0.0266,0.0300,0.0340,0.0487,0.0550,0.0582,0.0596,-0.0833,0.0525,0.0643
22,Income Tax expense (Gain),17108000,39066000,29228000,-26807000,20304000,22624000,12242000,23412000,27387000,22607000,24922000,27147000,35865000,52875000
23,Net Income,-32976000,-44854000,13564000,74110000,5850000,-18039000,12970000,21395000,33597000,53078000,65865000,-251610000,87259000,135212000
24,Net Income ratio,-0.0213,-0.0263,0.0068,0.0333,0.0025,-0.0077,0.0115,0.0169,0.0227,0.0311,0.0341,-0.1045,0.0315,0.0416
25,EPS,0.92,-1.87,0.12,2.13,-0.12,-0.64,0.36,0.59,0.93,1.48,1.83,-6.58,2.04,3.08
26,EPS Diluted,0.85,-1.87,0.11,2.03,-0.12,-0.64,0.36,0.59,0.92,1.45,1.80,-6.58,2.02,3.05
27,Weighted Average Shares Outstanding,29904656,29437575,30080618,30093611,30026419,32927713,35970605,36013000,35966000,35909000,35952000,38225000,42756000,43841000
28,Weighted Average Shares Outstanding Diluted,30546966,29516155,30366811,33301015,30375950,33262299,36362931,36425000,36366000,36559000,36571000,38662000,43184000,44401000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1637810/000117184316008064/0001171843-16-008064-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184317001014/0001171843-17-001014-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184318001343/0001171843-18-001343-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184319001047/0001171843-19-001047-index.html,https://www.sec.gov/Archives/edgar/data/1637810/000117184320001122/0001171843-20-001122-index.html,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,99778000,100359000,97799000,108684000,142704000,66790000,45560000,43384000,57187000,66340000,121198000,184295000,165665000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,99778000,100359000,97799000,108684000,142704000,66790000,45560000,43384000,57187000,66340000,121198000,184295000,165665000
34,Net Receivables,- -,228738000,269865000,295680000,330958000,388912000,131405000,124149000,166655000,186842000,249262000,397877000,426287000,551564000
35,Inventory,- -,9458000,9140000,11831000,14918000,15804000,9489000,16155000,29712000,37956000,48227000,94511000,141979000,- -
36,Other Current Assets,- -,44319000,40266000,44894000,55981000,67840000,43039000,44358000,64041000,39338000,51243000,54550000,66755000,247431000
37,Total Current Assets,- -,382293000,419630000,450204000,510541000,615260000,250723000,230222000,303792000,321323000,415072000,668136000,819316000,964660000
38,PP&E,- -,75939000,86134000,94150000,107011000,101554000,55203000,57575000,73083000,85056000,98102000,264438000,279754000,297796000
39,Goodwill,- -,340227000,379857000,395487000,402645000,427178000,217433000,220646000,266166000,291920000,335155000,644847000,703738000,- -
40,Intangible Assets,- -,164592000,193194000,188909000,177949000,177179000,82877000,79478000,121115000,133844000,148798000,366224000,378762000,- -
41,Intangible Assets,- -,504819000,573051000,584396000,580594000,604357000,300310000,300124000,387281000,425764000,483953000,1011071000,1082500000,1225469000
42,Investments,- -,23744000,- -,- -,5455000,4946000,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,12152000,22922000,87940000,99464000,102629000,4572000,6553000,1693000,674000,- -,2836000,2048000,- -
44,Other Non-Current Assets,- -,10583000,27804000,17028000,14845000,14765000,4736000,6009000,5115000,4916000,10347000,8988000,12922000,21098000
45,Total Non-Current Assets,- -,627237000,709911000,783514000,807369000,828251000,364821000,370261000,467172000,516410000,592402000,1287333000,1377224000,1544363000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1009530000,1129541000,1233718000,1317910000,1443511000,615544000,600483000,770964000,837733000,1007474000,1955469000,2196540000,2509023000
48,Accounts Payable,- -,61788000,72263000,82114000,88593000,92937000,24687000,24143000,32358000,40184000,41709000,76226000,98500000,- -
49,Short-Term Debt,- -,22347000,39249000,216373000,39038000,44785000,17725000,4041000,1043000,2751000,3915000,36167000,91793000,105483000
50,Tax Payable,- -,7665000,3261000,3214000,6477000,18317000,5650000,1553000,5117000,- -,- -,- -,7892000,- -
51,Deferred Revenue,- -,21343000,22143000,19448000,24471000,25704000,16455000,18717000,29373000,35826000,38111000,75554000,92861000,- -
