,https://roic.ai/company/M,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,7079900000,7229400000,8315900000,15049000000,15229000000,15668000000,15833000000,17716000000,18407000000,15651000000,15435000000,15264000000,15630000000,22390000000,26970000000,26313000000,24892000000,23489000000,25003000000,26405000000,27686000000,27931000000,28105000000,27079000000,25778000000,25641000000,25739000000,25331000000,18097000000,832000
2,COGS,3962700000,4117100000,4804600000,9318000000,9289000000,8971000000,9616000000,10443000000,10872000000,9531000000,9255000000,9099000000,9297000000,13272000000,16019000000,15677000000,15009000000,13973000000,14824000000,15738000000,16538000000,16725000000,16863000000,16496000000,15621000000,15181000000,15215000000,15171000000,12286000000,14956000
3,Gross Profit,3117200000,3112300000,3511300000,5731000000,5940000000,6697000000,6217000000,7273000000,7535000000,6120000000,6180000000,6165000000,6333000000,9118000000,10951000000,10636000000,9883000000,9516000000,10179000000,10667000000,11148000000,11206000000,11242000000,10583000000,10157000000,10460000000,10524000000,10160000000,5811000000,-14124000
4,Gross Profit Ratio,0.4403,0.4305,0.4222,0.3808,0.3900,0.4274,0.3927,0.4105,0.4094,0.3910,0.4004,0.4039,0.4052,0.4072,0.4060,0.4042,0.3970,0.4051,0.4071,0.4040,0.4027,0.4012,0.4000,0.3908,0.3940,0.4079,0.4089,0.4011,0.3211,-16.9760
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,4748000000,4738000000,4746000000,4762000000,5572000000,6023000000,4801000000,4837000000,- -,- -,6500000000,8487000000,8554000000,- -,- -,8260000000,8281000000,8482000000,8440000000,- -,8256000000,8265000000,8954000000,9039000000,8998000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,4748000000,4738000000,4746000000,4762000000,5572000000,6023000000,4801000000,4837000000,- -,- -,6500000000,8487000000,8554000000,- -,- -,8260000000,8281000000,8482000000,8440000000,- -,8256000000,8265000000,8954000000,9039000000,8998000000,- -,-8047000
9,Other Expenses,2687400000,2580300000,2875900000,320000000,309000000,610000000,- -,- -,962000000,215000000,- -,4824000000,4933000000,194000000,628000000,219000000,14261000000,8062000000,25000000,-25000000,142000000,88000000,8355000000,288000000,577000000,-263000000,-132000000,280000000,6767000000,- -
10,Operating Expenses,2687400000,2580300000,2875900000,5068000000,5047000000,5356000000,4762000000,5572000000,6985000000,5016000000,4837000000,4824000000,4933000000,6694000000,9115000000,8773000000,14261000000,8062000000,8285000000,8256000000,8624000000,8528000000,8355000000,8544000000,8842000000,8691000000,8907000000,9278000000,6767000000,-8047000
11,COGS and Expenses,6650100000,6697400000,7680500000,14386000000,14336000000,14327000000,14378000000,16015000000,17857000000,14547000000,14092000000,13923000000,14230000000,19966000000,25134000000,24450000000,29270000000,22035000000,23109000000,23994000000,25162000000,25253000000,25218000000,25040000000,24463000000,23872000000,24122000000,24449000000,19053000000,6909000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6000000,5000000,27000000,22000000,17000000,14000000,23000000,26000000,20000000,32000000,25000000,8000000,1000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,562000000,579000000,462000000,437000000,398000000,400000000,378000000,384000000,323000000,261000000,204000000,265000000,-256000
14,Depreciation and Amortization,266700000,256800000,326800000,519800000,560600000,610000000,631000000,745000000,740000000,696000000,685000000,713000000,743000000,958000000,1216000000,1273000000,1251000000,1210000000,1150000000,1085000000,1049000000,1020000000,1036000000,1061000000,1058000000,991000000,962000000,981000000,959000000,874000
15,EBITDA,479000000,621100000,658100000,721800000,1002600000,1529000000,1771000000,2091000000,853000000,158000000,1093000000,1797000000,1859000000,1693000000,1753000000,1755000000,-3687000000,2279000000,3049000000,3515000000,3588000000,3708000000,3826000000,3119000000,2402000000,2851000000,2653000000,1913000000,-3566000000,2484000
16,EBITDA ratio,0.0677,0.0859,0.0791,0.0480,0.0658,0.0976,0.1119,0.1180,0.0463,0.0101,0.0708,0.1177,0.1189,0.0756,0.0650,0.0667,-0.1481,0.0970,0.1219,0.1331,0.1296,0.1328,0.1361,0.1152,0.0932,0.1112,0.1031,0.0755,-0.1970,2.9856
