,https://roic.ai/company/EMITF,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1704536600,1744094700,416050,334881476,505793703,643434211,498043124,547505577,588623797,816224000,1665605650,3507465643,1098317000,693377000,1473712000,1011298000,671086000,360597000,461000,1472000,261858000,782829000,- -,- -,- -
2,COGS,1016166050,1064637000,- -,299159292,430873443,534300463,352213661,372581856,414644343,512969000,771641538,2200163899,961119000,724027000,810154000,825913000,630740000,446291000,465782000,417209000,275173000,805623000,- -,- -,- -
3,Gross Profit,688370550,679457700,416050,35722185,74920260,109133749,145829463,174923721,173979454,303255000,893964113,1307301744,137198000,-30650000,663558000,185385000,40346000,-85694000,-465321000,-415737000,-13315000,-22794000,- -,- -,- -
4,Gross Profit Ratio,0.4038,0.3896,1.0000,0.1067,0.1481,0.1696,0.2928,0.3195,0.2956,0.3715,0.5367,0.3727,0.1249,-0.0442,0.4503,0.1833,0.0601,-0.2376,-1009.3731,-282.4300,-0.0508,-0.0291,- -,- -,- -
5,Research and Development Exp.,124951750,111061800,- -,31796852,21391913,23070926,29041605,43541222,38226192,58861600,62382913,69735818,68759000,73959000,58514000,62851000,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54944000,66153000,65292000,- -,48886000,32197000,37315000,11868000,6468000,10221000,6375000,4130000,2146000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54944000,66153000,65292000,- -,48886000,32197000,37315000,11868000,6468000,10221000,6375000,4130000,2146000
9,Other Expenses,520578200,530903700,11649400,92606309,71524911,85385302,135445263,126319262,138234922,36915000,137003138,117289276,- -,84741000,57941000,-208935000,- -,28446000,- -,- -,3790000,4709000,10442000,3634000,5936000
10,Operating Expenses,645529950,641965500,11649400,124403161,92916824,108456227,164486868,169860484,176461114,95776600,199386050,187025094,123703000,224853000,181747000,-146084000,48886000,60643000,37315000,11868000,10258000,14930000,16817000,7764000,8082000
11,COGS and Expenses,1661696000,1706602500,11649400,423562453,523790267,642756690,516700529,542442340,591105457,608745600,971027588,2387188993,1084822000,948880000,991901000,679829000,679626000,506934000,37315000,11868000,285431000,820553000,16817000,7764000,8082000
12,Interest Income ,15902950,- -,37860550,- -,87437321,157167381,- -,- -,- -,- -,- -,91366800,135278000,92725000,40927000,65571000,31083000,7441000,2316000,649000,203000,168000,1762000,1762000,1656000
13,Interest Expense (Gain),13955650,- -,4160500,- -,54928574,60321407,5555002,210950768,53668590,122240400,128746638,232650657,296527000,283546000,364030000,257371000,175778000,333749000,197725000,221729000,189298000,103372000,47105000,19230000,3851000
14,Depreciation and Amortization,50629800,45273600,- -,27917163,38421269,74896918,- -,174627166,192106360,129273800,124171863,111806343,128073000,317871000,114539000,339412000,10350000,834977000,3636000,640000,196141000,119694000,113367000,76000,- -
15,EBITDA,93794950,56238300,406480850,-11680561,92459524,249085925,68960766,253833464,305036985,346191400,817604125,1282732650,345622000,32577000,545487000,418414000,-117710000,-18856000,1210368000,36219000,193515000,-103724000,111429000,-43271000,-8891000
16,EBITDA ratio,0.0550,0.0322,977.0000,-0.0349,0.1828,0.3871,0.1385,0.4636,0.5182,0.4241,0.4909,0.3657,0.3147,0.0470,0.3701,0.4137,-0.1754,-0.0523,2625.5271,24.6053,0.7390,-0.1325,Infinity,-Infinity,-Infinity
17,Operating Income,42840600,- -,-11233350,- -,-39182086,677521,-18657405,5063237,-2481660,207478400,694578063,1120276650,- -,- -,- -,- -,-560571000,-350082000,-213311000,-273240000,45552000,- -,68363000,- -,- -
18,Operating Income ratio,0.0251,- -,-27.0000,- -,-0.0775,0.0011,-0.0375,0.0092,-0.0042,0.2542,0.4170,0.3194,- -,- -,- -,- -,-0.8353,-0.9708,-462.7137,-185.6250,0.1740,- -,Infinity,- -,- -
19,Total Other Income Expenses (Gains),-13631100,-26527500,35364250,65585416,68461407,108834584,4146090,-176441384,43418256,-191332400,-175113625,-192315238,-17754000,-451046000,-407767000,-501685000,- -,-1248899000,1865294000,121215000,-354714000,-199810000,-7899000,-55284000,1256000
