,https://roic.ai/company/APPN,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,88996000,111204000,132923000,176737000,226743000,260352000,304573000,369259000
2,COGS,36797000,48481000,50123000,64597000,84925000,93841000,88766000,104093000
3,Gross Profit,52199000,62723000,82800000,112140000,141818000,166511000,215807000,265166000
4,Gross Profit Ratio,0.5865,0.5640,0.6229,0.6345,0.6255,0.6396,0.7086,0.7181
5,Research and Development Exp.,13488000,16750000,22994000,34835000,44724000,58043000,70241000,97517000
6,General and Administrative Exp.,23373000,12515000,17039000,27150000,37821000,41496000,53152000,83704000
7,Selling and Marketing Exp.,29088000,38300000,54137000,81966000,105992000,117440000,130316000,167852000
8,"Selling, General and Administrative Exp.",52461000,50815000,71176000,109116000,143813000,158936000,183468000,251556000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,65949000,67565000,94170000,143951000,188537000,216979000,253709000,349073000
11,COGS and Expenses,102746000,116046000,144293000,208548000,273462000,310820000,342475000,453166000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),19000,188000,982000,473000,198000,367000,478000,372000
14,Depreciation and Amortization,610000,763000,764000,886000,2021000,4742000,5851000,5743000
15,EBITDA,-15226000,-5658000,-12398000,-28887000,-46993000,-44785000,-26265000,-81748000
16,EBITDA ratio,-0.1711,-0.0509,-0.0933,-0.1634,-0.2073,-0.1720,-0.0862,-0.2214
17,Operating Income,-13750000,-4842000,-11370000,-31811000,-46719000,-50468000,-37902000,-83907000
18,Operating Income ratio,-0.1545,-0.0435,-0.0855,-0.1800,-0.2060,-0.1938,-0.1244,-0.2272
19,Total Other Income Expenses (Gains),-2105000,-1767000,-2774000,1565000,-2493000,574000,5308000,-3956000
20,Income Before Tax,-15855000,-6609000,-14144000,-30246000,-49212000,-49894000,-32594000,-87863000
21,Income Before Tax Ratio,-0.1782,-0.0594,-0.1064,-0.1711,-0.2170,-0.1916,-0.1070,-0.2379
22,Income Tax expense (Gain),1204000,378000,-1683000,761000,239000,820000,883000,778000
23,Net Income,-17059000,-6987000,-12461000,-31007000,-49451000,-50714000,-33477000,-88641000
24,Net Income ratio,-0.1917,-0.0628,-0.0937,-0.1754,-0.2181,-0.1948,-0.1099,-0.2401
25,EPS,-0.33,-0.14,-0.21,-0.63,-0.80,-0.77,-0.48,-1.28
26,EPS Diluted,-0.33,-0.14,-0.21,-0.63,-0.80,-0.77,-0.48,-1.28
27,Weighted Average Shares Outstanding,54723043,54723043,54723043,49529833,62140684,65479327,69050565,69050565
28,Weighted Average Shares Outstanding Diluted,54723043,54723043,54723043,49529833,62140684,65479327,69050565,69050565
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1441683/000144168318000023/0001441683-18-000023-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168319000047/0001441683-19-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168320000020/0001441683-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168321000018/0001441683-21-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1441683/000144168322000023/0001441683-22-000023-index.htm
30,BALANCE SHEET, , , , , , , , 
31,Cash and Cash Equivalents,- -,31393000,31143000,73758000,94930000,159755000,112462000,100796000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,109826000,55179000
33,Cash and Short-Term Investments,- -,31393000,31143000,73758000,94930000,159755000,222288000,155975000
34,Net Receivables,- -,34228000,46814000,55315000,79383000,70408000,97278000,130049000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,7346000,10427000,16149000,35313000,47498000,45854000,52240000
37,Total Current Assets,- -,72967000,88384000,145222000,209626000,277661000,365420000,338264000
38,PP&E,- -,2892000,3101000,2663000,7539000,63759000,66063000,64810000
39,Goodwill,- -,- -,- -,- -,- -,- -,4862000,27795000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1744000,7144000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,6606000,34939000
42,Investments,- -,- -,- -,- -,- -,- -,36120000,12044000
43,Tax Assets,- -,22000,12000,281000,326000,494000,489000,1025000
44,Other Non-Current Assets,- -,7519000,11241000,12886000,15689000,29571000,37823000,53437000
45,Total Non-Current Assets,- -,10433000,14354000,15830000,23554000,93824000,147101000,166255000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,83400000,102738000,161052000,233180000,371485000,512521000,504519000
