,https://roic.ai/company/PHI,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,23615647354,25301448354,28635287670,35762307259,46874572300,46389394419,62903100000,73572987189,96050916583,112055564520,126235965660,122978216490,127081810100,138575852190,146127191550,147993000000,144459000000,156603000000,163484000000,168331000000,170962000000,171103000000,165262000000,159926000000,164752000000,169187000000,181004000000,193257000000
2,COGS,5475266342,6284705604,6042597894,4516672076,7060360890,7672096651,11223200000,8109123436,16066471841,17777779200,11123596440,6840961590,6007326150,4829721390,5271406650,5432000000,14205000000,28420000000,20303000000,22416000000,24019000000,26931000000,26902000000,21252000000,21758000000,17067000000,14441000000,17039000000
3,Gross Profit,18140381012,19016742750,22592689776,31245635183,39814211410,38717297768,51679900000,65463863754,79984444741,94277785320,115112369220,116137254900,121074483950,133746130800,140855784900,142561000000,130254000000,128183000000,143181000000,145915000000,146943000000,144172000000,138360000000,138674000000,142994000000,152120000000,166563000000,176218000000
4,Gross Profit Ratio,0.7682,0.7516,0.7890,0.8737,0.8494,0.8346,0.8216,0.8898,0.8327,0.8413,0.9119,0.9444,0.9527,0.9651,0.9639,0.9633,0.9017,0.8185,0.8758,0.8668,0.8595,0.8426,0.8372,0.8671,0.8679,0.8991,0.9202,0.9118
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43313000000,35977000000,33311000000,37869000000,37815000000,36538000000,39362000000,39306000000,44651000000,46241000000,42170000000,39167000000,39781000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5749000000,5284000000,7847000000,9708000000,9776000000,10619000000,9747000000,7687000000,5908000000,6340000000,5395000000,6542000000,6716000000
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49062000000,41261000000,41158000000,47577000000,47591000000,47157000000,49109000000,46993000000,50559000000,52581000000,47565000000,45709000000,46497000000
9,Other Expenses,9616681139,10586423964,11230607313,16151491664,30011396290,27065685051,39636900000,48318967429,65011823253,60777782640,58820229660,67773247380,73064714800,70216718670,74369574900,30556000000,29236000000,31818000000,50857000000,49965000000,53235000000,53538000000,55622000000,70346000000,68575000000,60321000000,74347000000,81381000000
10,Operating Expenses,9616681139,10586423964,11230607313,16151491664,30011396290,27065685051,39636900000,48318967429,65011823253,60777782640,58820229660,67773247380,73064714800,70216718670,74369574900,79618000000,70497000000,72976000000,98434000000,97556000000,100392000000,102647000000,102615000000,120905000000,121156000000,107886000000,120056000000,127878000000
11,COGS and Expenses,15091947481,16871129568,17273205207,20668163740,37071757180,34737781702,50860100000,56428090865,81078295094,78555561840,69943826100,74614208970,79072040950,75046440060,79640981550,85050000000,84702000000,101396000000,118737000000,119972000000,124411000000,129578000000,129517000000,142157000000,142914000000,124953000000,134497000000,144917000000
