,https://roic.ai/company/MMAT,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,- -,24152,1037247,1295499,5541084,1634308,354390,570499,1282362,746263,-188481,4082517
2,COGS,- -,25273,500053,434119,1253090,814078,328438,173187,806158,451325,188481,675973
3,Gross Profit,- -,-1121,537194,861380,4287994,820230,25952,397312,476204,294938,-376962,3406544
4,Gross Profit Ratio,- -,-0.0464,0.5179,0.6649,0.7739,0.5019,0.0732,0.6964,0.3713,0.3952,2.0000,0.8344
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9497427
6,General and Administrative Exp.,- -,1872659,2430884,6682377,10156307,15550145,6447706,3652970,4053062,3273697,3526700,29699601
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2267354
8,"Selling, General and Administrative Exp.",- -,1872659,2430884,6682377,10156307,15550145,6447706,3652970,4053062,3273697,3526700,31966955
9,Other Expenses,- -,- -,551890,652179,2736562,930934,636426,100156,1173752,4397601,5857018,- -
10,Operating Expenses,- -,1872659,2982774,7334556,12892869,16481079,7084132,3753126,5226814,7671298,9383718,41464382
11,COGS and Expenses,- -,1897932,3482827,7768675,14145959,17295157,7412570,3926313,6032972,8122623,9572199,42140355
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,94598,363235,4605545,6780461,1893427,272837,346050,547710,968292,1239532,-1106445
14,Depreciation and Amortization,- -,541,- -,- -,- -,- -,- -,- -,- -,- -,309821,3491493
15,EBITDA,- -,-1873053,-2445568,-5813117,-9029142,-41359451,-7411509,-573860,-5258902,-8871104,-11232543,-87760150
16,EBITDA ratio,- -,-77.5527,-2.3577,-4.4872,-1.6295,-25.3070,-20.9134,-1.0059,-4.1009,-11.8874,59.5951,-21.4966
17,Operating Income,- -,-1873780,-2445580,-6473176,-8604875,-15660849,-7058180,-3355814,-4750610,-8877412,-10756379,-38057838
18,Operating Income ratio,- -,-77.5828,-2.3578,-4.9967,-1.5529,-9.5826,-19.9164,-5.8822,-3.7046,-11.8958,57.0688,-9.3222
19,Total Other Income Expenses (Gains),- -,-94412,-363223,-3945486,-7204728,-27592029,-626166,2435904,-1056002,-961984,-2025517,-53791486
20,Income Before Tax,- -,-1968192,-2808803,-10418662,-15809603,-43252878,-7684346,-919910,-5806612,-9839396,-12781896,-91849324
21,Income Before Tax Ratio,- -,-81.4919,-2.7079,-8.0422,-2.8532,-26.4656,-21.6833,-1.6125,-4.5281,-13.1849,67.8153,-22.4982
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,852063
23,Net Income,- -,-1968192,-2808803,-10418662,-15809603,-43252878,-7684346,-919910,-5806612,-9839396,-12781896,-90997261
24,Net Income ratio,- -,-81.4919,-2.7079,-8.0422,-2.8532,-26.4656,-21.6833,-1.6125,-4.5281,-13.1849,67.8153,-22.2895
25,EPS,- -,-0.14,-0.20,-0.74,-1.01,-2.64,-0.19,-0.02,-0.09,-0.03,-0.04,-0.39
26,EPS Diluted,- -,-0.14,-0.20,-0.74,-1.01,-2.64,-0.19,-0.02,-0.09,-0.03,-0.04,-0.39
27,Weighted Average Shares Outstanding,14288211,14288211,14334473,14016240,15728621,16372826,43122514,59623105,68134745,284109435,284109435,232898398
28,Weighted Average Shares Outstanding Diluted,14288211,14288211,14334473,14016240,15728621,16372826,43122514,59623105,68134745,284109435,284109435,232898398
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1431959/000107878211001038/0001078782-11-001038-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878212000886/0001078782-12-000886-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878213000762/0001078782-13-000762-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000107878214000520/0001078782-14-000520-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983515000129/0001199835-15-000129-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983516000696/0001199835-16-000696-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495417002920/0001654954-17-002920-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495418002713/0001654954-18-002713-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000165495419002906/0001654954-19-002906-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983520000026/0001199835-20-000026-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000119983521000148/0001199835-21-000148-index.htm,https://www.sec.gov/Archives/edgar/data/1431959/000095017022002601/0000950170-22-002601-index.htm
30,BALANCE SHEET, , , , , , , , , , , , 
31,Cash and Cash Equivalents,278191,518281,63252,1811713,179787,1026600,1769499,1051720,840163,89730,131327,46646
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2876
33,Cash and Short-Term Investments,278191,518281,63252,1811713,179787,1026600,1769499,1051720,840163,89730,131327,49521
34,Net Receivables,- -,17274,92897,429699,949554,941583,610771,739073,474417,550008,137801,1666
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,266
36,Other Current Assets,1000,16267,8346,9144,50236,38776,610176,1375158,207402,96006,252446,79927
