,https://roic.ai/company/SMFR,2020,2021
0,INCOME STATEMENT, , 
1,Revenue,- -,212195000
2,COGS,- -,228797000
3,Gross Profit,- -,-16602000
4,Gross Profit Ratio,- -,-0.0782
5,Research and Development Exp.,- -,105162000
6,General and Administrative Exp.,206195,205988000
7,Selling and Marketing Exp.,- -,112738000
8,"Selling, General and Administrative Exp.",206195,318726000
9,Other Expenses,- -,5659000
10,Operating Expenses,206195,429547000
11,COGS and Expenses,206195,658344000
12,Interest Income ,- -,79000
13,Interest Expense (Gain),- -,2835000
14,Depreciation and Amortization,- -,21807000
15,EBITDA,- -,-220748000
16,EBITDA ratio,- -,-1.0403
17,Operating Income,-241994000,-446149000
18,Operating Income ratio,-Infinity,-2.1025
19,Total Other Income Expenses (Gains),241801756,200759000
20,Income Before Tax,-192244,-245390000
21,Income Before Tax Ratio,-Infinity,-1.1564
22,Income Tax expense (Gain),- -,- -
23,Net Income,-192244,-245390000
24,Net Income ratio,-Infinity,-1.1564
25,EPS,-0.00,-1.02
26,EPS Diluted,-0.00,-1.02
27,Weighted Average Shares Outstanding,240190402,240190402
28,Weighted Average Shares Outstanding Diluted,240190402,240190402
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1818331/000121390021018697/0001213900-21-018697-index.htm,https://www.sec.gov/Archives/edgar/data/1818331/000181833122000035/0001818331-22-000035-index.htm
30,BALANCE SHEET, , 
31,Cash and Cash Equivalents,1094681,400569000
32,Short-Term Investments,442763951,- -
33,Cash and Short-Term Investments,443858632,400569000
34,Net Receivables,- -,26563000
35,Inventory,- -,33456000
36,Other Current Assets,-442486920,22956000
37,Total Current Assets,1371712,483544000
38,PP&E,- -,62719000
39,Goodwill,- -,- -
40,Intangible Assets,- -,- -
41,Intangible Assets,- -,- -
42,Investments,- -,- -
43,Tax Assets,- -,- -
44,Other Non-Current Assets,442763951,7830000
45,Total Non-Current Assets,442763951,70549000
46,Other Assets,- -,- -
47,Total Assets,444135663,554093000
48,Accounts Payable,- -,44693000
49,Short-Term Debt,- -,3419000
50,Tax Payable,- -,- -
51,Deferred Revenue,- -,473000
52,Other Current Liabilities,97120,52699000
53,Total Current Liabilities,97120,101284000
54,Long-Term Debt,- -,29427000
55,Deferred Revenue,- -,- -
56,Deferred Tax Liabilities,- -,- -
57,Other Non-Current Liabilities,15496250,35279000
58,Total Non-Current Liabilities,15496250,64706000
59,Other Liabilities,- -,- -
60,Capital Lease Obligations,- -,21846000
61,Total Liabilities,15593370,165990000
62,Preferred Stock,- -,- -
63,Common Stock,423542290,24000
64,Retained Earnings,- -,-575441000
65,Other Comprehensive Income/Loss,- -,- -
66,Other Total Stockholders Equity,- -,- -
67,Total Stockholders Equity,5000003,388103000
68,Total Liabilities And Stockholders Equity,20593373,554093000
69,Minority Interest,423542290,- -
70,Total Liabilities & Equity,444135663,554093000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1818331/000121390021018697/0001213900-21-018697-index.htm,https://www.sec.gov/Archives/edgar/data/1818331/000181833122000035/0001818331-22-000035-index.htm
72,CASH FLOW STATEMENT, , 
73,Net Income,- -,-245390000
74,Depreciation and Amortization,- -,21807000
75,Deferred Income Tax,- -,- -
76,Stock Based Compensation,- -,219421000
77,Change in Working Capital,- -,8078000
78,Accounts Receivable,- -,5535000
79,Inventory,- -,-10624000
80,Accounts Payable,- -,- -
81,Other Working Capital,- -,123000
82,Other Non-Cash Items,- -,-194350000
83,Cash Provided by Operating Activities,- -,-190434000
84,CAPEX,- -,-20786000
85,Acquisitions Net,- -,- -
86,Purchases of Investments,- -,- -
87,Sales/Maturities of Investments,- -,- -
88,Other Investing Activites,- -,-11386000
89,Cash Used for Investing Activites,- -,-20786000
90,Debt Repayment,- -,-13469000
91,Common Stock Issued,- -,442684000
92,Common Stock Repurchased,- -,- -
93,Dividends Paid,- -,- -
94,Other Financing Activites,- -,64514000
95,Cash Used/Provided by Financing Activities,- -,493729000
96,Effect of Forex Changes on Cash,- -,- -
97,Net Change In Cash,- -,282509000
98,Cash at the End of Period,- -,401469000
99,Cash at the Beginning of Period,- -,118960000
100,Free Cash Flow,- -,-211220000
101,SEC Link,undefined,- -
102,false,,
