,https://roic.ai/company/AHCO,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,- -,- -,529644247,1056389000,2454535000
2,COGS,- -,- -,440386387,898601000,2008925000
3,Gross Profit,- -,- -,89257860,157788000,445610000
4,Gross Profit Ratio,- -,- -,0.1685,0.1494,0.1815
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,690,1036124,56492554,89346000,167505000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",690,1036124,56492554,89346000,167505000
9,Other Expenses,- -,197592,3068477,-2904000,52500000
10,Operating Expenses,690,1233716,59561031,86442000,220005000
11,COGS and Expenses,690,1233716,499947418,985043000,2228930000
12,Interest Income ,- -,4149617,- -,- -,- -
13,Interest Expense (Gain),- -,- -,39304488,41430000,95195000
14,Depreciation and Amortization,- -,- -,62566500,82445000,258053000
15,EBITDA,-690,-1233716,88031095,47439000,542229000
16,EBITDA ratio,-Infinity,-Infinity,0.1662,0.0449,0.2209
17,Operating Income,-690,-1233716,29696829,71346000,225605000
18,Operating Income ratio,-Infinity,-Infinity,0.0561,0.0675,0.0919
19,Total Other Income Expenses (Gains),- -,4149617,-41425939,-142019000,-34646000
20,Income Before Tax,-690,2915901,-11729110,-70673000,190959000
21,Income Before Tax Ratio,-Infinity,Infinity,-0.0221,-0.0669,0.0778
22,Income Tax expense (Gain),- -,829807,1156002,-11955000,32806000
23,Net Income,-690,2086094,-14995895,-64481000,156175000
24,Net Income ratio,-Infinity,Infinity,-0.0283,-0.0610,0.0636
25,EPS,-0.00,0.07,0.17,-1.23,2.98
26,EPS Diluted,-0.00,0.07,0.17,-1.23,2.98
27,Weighted Average Shares Outstanding,31250000,31250000,72380091,52488000,52488000
28,Weighted Average Shares Outstanding Diluted,31250000,31250000,72380091,52488000,52488000
