,https://roic.ai/company/TUSK,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , 
1,Revenue,259526004,359936693,230998721,691496000,1690084000,625012000,625012000,228962000
2,COGS,226696066,348741199,243460767,574693000,1213681000,660821000,543788000,276801000
3,Gross Profit,32829938,11195494,-12462046,116803000,476403000,-35809000,81224000,-47839000
4,Gross Profit Ratio,0.1265,0.0311,-0.0539,0.1689,0.2819,-0.0573,0.1300,-0.2089
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,16730975,49886000,87675000,50118000,51552000,36584000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,16730975,49886000,87675000,50118000,51552000,36584000
9,Other Expenses,17027863,20541548,- -,- -,-14578000,1434000,- -,41662000
10,Operating Expenses,17027863,20541548,16730975,49886000,73097000,51552000,51552000,78246000
11,COGS and Expenses,243723929,369282747,260191742,624579000,1286778000,712373000,595340000,355047000
12,Interest Income ,214141,98492,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),4788074,5290821,3711457,4310000,3187000,4958000,4958000,6406000
14,Depreciation and Amortization,35627165,74868474,69910858,92124000,119877000,117033000,95317000,78475000
15,EBITDA,45918885,51338795,39099191,158230000,512292000,30866000,9150000,-39412000
16,EBITDA ratio,0.1769,0.1426,0.1693,0.2288,0.3031,0.0494,0.0146,-0.1721
17,Operating Income,15802075,-21470407,-31063906,62771000,394451000,-128383000,-149317000,-128188000
18,Operating Income ratio,0.0609,-0.0597,-0.1345,0.0908,0.2334,-0.2054,-0.2389,-0.5599
19,Total Other Income Expenses (Gains),-10298429,-7350093,-3459218,-975000,-5223000,37258000,58192000,3895000
20,Income Before Tax,5503646,-28820500,-34523124,61796000,389228000,-91125000,-91125000,-124293000
21,Income Before Tax Ratio,0.0212,-0.0801,-0.1495,0.0894,0.2303,-0.1458,-0.1458,-0.5429
22,Income Tax expense (Gain),7514194,-1589086,53884871,2832000,153263000,-12081000,-12081000,-22863000
23,Net Income,-2010548,-27231414,-88407995,58964000,235965000,-79044000,-79044000,-101430000
24,Net Income ratio,-0.0077,-0.0757,-0.3827,0.0853,0.1396,-0.1265,-0.1265,-0.4430
25,EPS,-0.05,-0.66,-2.81,1.42,5.27,-1.76,-2.36,-2.22
26,EPS Diluted,-0.05,-0.66,-2.81,1.42,5.24,-1.76,-2.36,-2.22
27,Weighted Average Shares Outstanding,37500000,37500000,31500000,41548000,44750000,45011000,45644000,45644000
28,Weighted Average Shares Outstanding Diluted,37500000,37500000,31500000,41639000,45021000,45011000,45644000,45644000
