,https://roic.ai/company/LEAI,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,- -,- -,96508000,87161000,89196000,97730000,93409000,75496000,34161000,7710000
2,COGS,- -,- -,- -,45229000,48201000,52184000,58718000,60498000,43312000,- -,- -
3,Gross Profit,- -,- -,- -,51279000,38960000,37012000,39012000,32911000,32184000,34161000,- -
4,Gross Profit Ratio,- -,- -,- -,0.5313,0.4470,0.4150,0.3992,0.3523,0.4263,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,9912,33018,23461000,21763000,15055000,17408000,19250000,13870000,5460000,4195000
7,Selling and Marketing Exp.,- -,- -,- -,22249000,20293000,19484000,19790000,22740000,16670000,- -,- -
8,"Selling, General and Administrative Exp.",- -,9912,33018,45710000,42056000,34539000,37198000,41990000,30540000,5460000,4195000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,10167000,3930000
10,Operating Expenses,- -,- -,33018,45710000,42056000,34539000,37198000,41990000,30540000,15627000,8125000
11,COGS and Expenses,- -,9912,33018,90939000,90257000,86723000,95916000,102488000,73852000,15627000,8125000
12,Interest Income ,- -,- -,- -,7000,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,44000,- -,- -,9000,40000,- -,210000,524000
14,Depreciation and Amortization,- -,- -,- -,216000,185000,146000,125000,146000,162000,69000,4000
15,EBITDA,- -,-9912,-33018,7685000,-2526000,3086000,6419000,-9301000,8855000,12330000,-754000
16,EBITDA ratio,- -,-Infinity,-Infinity,0.0796,-0.0290,0.0346,0.0657,-0.0996,0.1173,0.3609,-0.0978
17,Operating Income,- -,-9912,-33018,5569000,-3096000,2473000,1814000,-9079000,1644000,18534000,-415000
18,Operating Income ratio,- -,-Infinity,-Infinity,0.0577,-0.0355,0.0277,0.0186,-0.0972,0.0218,0.5425,-0.0538
19,Total Other Income Expenses (Gains),- -,- -,- -,1856000,385000,467000,4471000,-408000,440000,1433000,394000
20,Income Before Tax,- -,-9912,-33018,7425000,-2711000,2940000,6285000,-9487000,2084000,19967000,-21000
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,0.0769,-0.0311,0.0330,0.0643,-0.1016,0.0276,0.5845,-0.0027
22,Income Tax expense (Gain),- -,- -,- -,60000,15000,-941000,1989000,469000,-1257000,-3958000,-716000
23,Net Income,- -,-9912,-33018,7365000,-2726000,3881000,4296000,-9956000,9950000,16009000,-566000
24,Net Income ratio,- -,-Infinity,-Infinity,0.0763,-0.0313,0.0435,0.0440,-0.1066,0.1318,0.4686,-0.0734
25,EPS,- -,-0.00,-0.01,0.45,-0.12,0.18,0.19,-0.43,0.43,0.69,-0.03
26,EPS Diluted,- -,-0.00,-0.01,0.45,-0.12,0.17,0.18,-0.43,0.42,0.68,-0.02
27,Weighted Average Shares Outstanding,- -,4993934,6150000,16542000,21846000,21092000,21510000,23014000,22716000,23076000,23076000
28,Weighted Average Shares Outstanding Diluted,- -,4993934,6150000,16542000,21846000,22133000,22857000,23014000,23141000,23230000,23230000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561880/000121390016011896/0001213900-16-011896-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390017003092/0001213900-17-003092-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390018003806/0001213900-18-003806-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390019006371/0001213900-19-006371-index.htm,https://www.sec.gov/Archives/edgar/data/1561880/000121390020008033/0001213900-20-008033-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390021020994/0001213900-21-020994-index.htm,https://www.sec.gov/Archives/edgar/data/1561880/000149315222008451/0001493152-22-008451-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,41078,14060,2932000,4881000,1711000,6005000,1557000,3839000,1514000,576000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,41078,14060,2932000,4881000,1711000,6005000,1557000,3839000,1514000,576000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,161000,492000,348000,330000,89000,47000,10000,1000
36,Other Current Assets,- -,- -,- -,13093000,14326000,15673000,18724000,16759000,11268000,4731000,1285000
37,Total Current Assets,- -,41078,14060,16186000,19699000,17732000,25059000,18405000,15154000,6255000,1862000
38,PP&E,- -,- -,- -,1324000,1226000,1130000,1187000,1880000,1504000,4000,20000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,1295000,441000,97000,287000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,217000,200000,207000,333000,178000,413000,- -,39000
45,Total Non-Current Assets,- -,- -,- -,1541000,1426000,2632000,1961000,2155000,2204000,4000,59000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,41078,14060,17727000,21125000,20364000,27020000,20560000,17358000,6259000,1921000
48,Accounts Payable,- -,- -,- -,2620000,2451000,3344000,2860000,4962000,2311000,2852000,2544000
49,Short-Term Debt,- -,- -,- -,9000,10000,11000,11000,512000,586000,25000,162000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,56140000,60698000,54389000,57151000,57353000,46453000,15795000,4438000
52,Other Current Liabilities,- -,1506,7506,4695000,5019000,4149000,5953000,5055000,7344000,9134000,13534000
53,Total Current Liabilities,- -,1506,7506,63464000,68178000,61893000,65975000,67882000,56694000,27806000,20678000
54,Long-Term Debt,- -,- -,- -,52000,42000,31000,20000,8000,- -,1900000,1933000
55,Deferred Revenue,- -,- -,- -,238000,71000,235000,602000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,134000,1493000
57,Other Non-Current Liabilities,- -,- -,- -,126000,45000,379000,1188000,1331000,27000,-14000,- -
58,Total Non-Current Liabilities,- -,- -,- -,416000,158000,645000,1810000,1339000,27000,2020000,3426000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,4194000,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,113000,45000,- -
61,Total Liabilities,- -,1506,7506,63880000,68336000,62538000,67785000,69221000,56721000,29980000,24104000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,5000,5000,2000,2000,2000,2000,2000,2000,2000,3000
64,Retained Earnings,- -,-10428,-43446,-57072000,-59798000,-55917000,-51621000,-61577000,-51627000,- -,-36184000
65,Other Comprehensive Income/Loss,- -,- -,- -,370000,1680000,2668000,-445000,1444000,710000,416000,- -
66,Other Total Stockholders Equity,- -,45000,- -,10547000,10905000,11073000,11299000,11470000,11552000,-24054000,13998000
67,Total Stockholders Equity,- -,39572,6554,-46153000,-47211000,-42174000,-40765000,-48661000,-39363000,-23636000,-22183000
68,Total Liabilities And Stockholders Equity,- -,41078,14060,17727000,21125000,20364000,27020000,20560000,17358000,6344000,1921000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,-85000,- -
70,Total Liabilities & Equity,- -,41078,14060,17727000,21125000,20364000,27020000,20560000,17358000,6259000,1921000
71,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1561880/000121390016011896/0001213900-16-011896-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390017003092/0001213900-17-003092-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390018003806/0001213900-18-003806-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390019006371/0001213900-19-006371-index.htm,https://www.sec.gov/Archives/edgar/data/1561880/000121390020008033/0001213900-20-008033-index.html,https://www.sec.gov/Archives/edgar/data/1561880/000121390021020994/0001213900-21-020994-index.htm,https://www.sec.gov/Archives/edgar/data/1561880/000149315222008451/0001493152-22-008451-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,- -,-9912,-33018,7365000,-2726000,3881000,4296000,-9956000,9950000,16009000,-566000
74,Depreciation and Amortization,- -,- -,- -,216000,185000,146000,125000,146000,162000,69000,4000
75,Deferred Income Tax,- -,- -,- -,3000,-18000,-1297000,1667000,487000,-1512000,418000,1359000
76,Stock Based Compensation,- -,- -,- -,22000,63000,168000,226000,170000,82000,23000,122000
77,Change in Working Capital,- -,1500,-33018,-47285585,-1201000,4318000,3245000,-8561000,7937000,19989000,2735000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,710000,- -
79,Inventory,- -,- -,- -,39000,-341000,118000,34000,236000,8000,37000,9000
80,Accounts Payable,- -,- -,- -,554000,-73000,1137000,-675000,2248000,-377000,589000,685000
