,https://roic.ai/company/CARA,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,- -,1190000,11964000,3177000,3803000,86000,911000,13469000,19886000,135082000,23028000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,135082,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.0010,- -
5,Research and Development Exp.,7159000,4597000,8685000,15068000,21221000,49253000,48524000,75531000,113820000,107851000,82701000
6,General and Administrative Exp.,2407000,2829000,3516000,5820000,7378000,8607000,11795000,15238000,17657000,21749000,29285000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",2407000,2829000,3516000,5820000,7378000,8607000,11795000,15238000,17657000,21749000,29285000
9,Other Expenses,- -,- -,- -,361000,392000,626000,77000,82000,88000,97000,125000
10,Operating Expenses,9566000,7426000,12201000,21249000,28991000,58486000,60396000,90851000,131565000,129697000,112111000
11,COGS and Expenses,9566000,7426000,12201000,21249000,28991000,58486000,60396000,90851000,131565000,129697000,112111000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1170000,1021000,789000,783000,839000,1465000,495000,370000,198000,209000,248000
15,EBITDA,-8396000,-5281000,-3204000,-17163000,-24248000,-56283000,-57834000,-74032000,-106991000,7928000,-88193000
16,EBITDA ratio,-Infinity,-4.4378,-0.2678,-5.4023,-6.3760,-654.4535,-63.4841,-5.4965,-5.3802,0.0587,-3.8298
17,Operating Income,-9566000,-6236000,-237000,-18072000,-25188000,-58400000,-59485000,-77382000,-111679000,5385000,-89083000
18,Operating Income ratio,-Infinity,-5.2403,-0.0198,-5.6884,-6.6232,-679.0698,-65.2964,-5.7452,-5.6160,0.0399,-3.8685
19,Total Other Income Expenses (Gains),-275000,-66000,-3756000,126000,101000,652000,1156000,2980000,4490000,2334000,642000
20,Income Before Tax,-9841000,-6302000,-3993000,-17946000,-25087000,-57748000,-58329000,-74402000,-107189000,7719000,-88441000
21,Income Before Tax Ratio,-Infinity,-5.2958,-0.3338,-5.6487,-6.5966,-671.4884,-64.0274,-5.5239,-5.3902,0.0571,-3.8406
22,Income Tax expense (Gain),-35000,-31000,-30000,-201000,-397000,-468000,-204000,-389000,-816000,-691000,- -
23,Net Income,-9806000,-6271000,-3963000,-17745000,-24690000,-57280000,-58125000,-74013000,-106373000,8410000,-88441000
24,Net Income ratio,-Infinity,-5.2697,-0.3312,-5.5855,-6.4922,-666.0465,-63.8035,-5.4951,-5.3491,0.0623,-3.8406
25,EPS,-1.59,-1.05,-0.14,-0.85,-1.00,-2.10,-1.86,-2.06,-2.49,0.18,-1.74
26,EPS Diluted,-1.59,-1.05,-0.14,-0.85,-1.00,-2.10,-1.86,-2.06,-2.49,0.18,-1.74
27,Weighted Average Shares Outstanding,6181416,5949925,21842431,20965935,24620372,27279008,31202842,35892786,42669333,47413250,50718765
28,Weighted Average Shares Outstanding Diluted,6181416,5949925,21842431,20965935,24620372,27279008,31202842,35892786,42669333,47915030,50718765
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346830/000119312515107249/0001193125-15-107249-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000119312516500345/0001193125-16-500345-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000119312517077107/0001193125-17-077107-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000156459018005879/0001564590-18-005879-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000156459019007389/0001564590-19-007389-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837020001659/0001558370-20-001659-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837021001839/0001558370-21-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837022002555/0001558370-22-002555-index.htm
30,BALANCE SHEET, , , , , , , , , , , 
31,Cash and Cash Equivalents,4097000,1117000,12357000,52663000,15101000,12092000,9388000,15081000,18305000,31683000,13453000
32,Short-Term Investments,- -,- -,- -,- -,91640000,46184000,83181000,146302000,136701000,149242000,153582000
33,Cash and Short-Term Investments,4097000,1117000,12357000,52663000,106741000,58276000,92569000,161383000,155006000,180925000,167035000
34,Net Receivables,57000,31000,61000,200000,464000,939000,854000,1590000,1787000,2064000,1152000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2584000
36,Other Current Assets,404000,80000,2140000,287000,1729000,2230000,1635000,5166000,8863000,12076000,2519000
37,Total Current Assets,4558000,1228000,14558000,53150000,108934000,61445000,95058000,168139000,165656000,195065000,173290000
38,PP&E,5427000,3609000,2825000,2085000,1263000,1614000,1177000,880000,3736000,5119000,3604000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,21396000,63159000,70565000,69754000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,700000,700000,700000,699000,700000,769000,769000,408000,408000,408000,408000
45,Total Non-Current Assets,6127000,4309000,3525000,2784000,1963000,2383000,1946000,22684000,67303000,76092000,73766000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,10685000,5537000,18083000,55934000,110897000,63828000,97004000,190823000,232959000,271157000,247056000
48,Accounts Payable,651000,472000,676000,515000,1965000,4738000,3829000,4371000,9100000,4893000,5625000
49,Short-Term Debt,753000,780000,- -,- -,- -,- -,- -,- -,967000,1602000,1755000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,3475000,1452000,- -,- -,- -,26825000,22262000,- -,- -
52,Other Current Liabilities,1525000,434000,1282000,1431000,3303000,6795000,4677000,9251000,10565000,11988000,10236000
53,Total Current Liabilities,2929000,1686000,5433000,3398000,5268000,11533000,8506000,40447000,42894000,18483000,17616000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,3673000,1918000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,15184000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,1652000,1412000,1139000,874000,585000,1570000,1718000,1562000,3352000,- -,- -
58,Total Non-Current Liabilities,1652000,1412000,1139000,874000,585000,1570000,1718000,16746000,3352000,3673000,1918000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,4319000,5275000,3673000
61,Total Liabilities,4581000,3098000,6572000,4272000,5853000,13103000,10224000,57193000,46246000,22156000,19534000
62,Preferred Stock,58168000,60572000,65586000,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,3000,3000,4000,23000,27000,27000,33000,39000,47000,50000,53000
64,Retained Earnings,-53113000,-59384000,-62456000,-80201000,-104891000,-162171000,-220341000,-294354000,-400727000,-392317000,-480758000
65,Other Comprehensive Income/Loss,-5504000,-4626000,-5415000,-6192000,-35000,3000,-70000,-114000,170000,73000,-358000
66,Other Total Stockholders Equity,6550000,5874000,13792000,138032000,209943000,212866000,307158000,428059000,587223000,641195000,708585000
67,Total Stockholders Equity,6104000,2439000,11511000,51662000,105044000,50725000,86780000,133630000,186713000,249001000,227522000
68,Total Liabilities And Stockholders Equity,10685000,5537000,18083000,55934000,110897000,63828000,97004000,190823000,232959000,271157000,247056000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,10685000,5537000,18083000,55934000,110897000,63828000,97004000,190823000,232959000,271157000,247056000
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346830/000119312515107249/0001193125-15-107249-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000119312516500345/0001193125-16-500345-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000119312517077107/0001193125-17-077107-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000156459018005879/0001564590-18-005879-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000156459019007389/0001564590-19-007389-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837020001659/0001558370-20-001659-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837021001839/0001558370-21-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837022002555/0001558370-22-002555-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , 
73,Net Income,-9806000,-6271000,-3963000,-17745000,-24690000,-57280000,-58125000,-74013000,-106373000,8410000,-88441000
74,Depreciation and Amortization,1170000,1021000,789000,783000,839000,1465000,495000,370000,198000,209000,248000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,95000,61000,123000,1371000,2514000,2800000,5793000,9478000,12568000,14835000,20785000
77,Change in Working Capital,1721000,-2087000,9583000,40627000,53914000,-53754000,36640000,41140000,-4930000,53820000,5263000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,-691000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2584000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,1629000,-458000,9125000,49752000,103666000,49912000,86552000,127692000,122762000,176582000,- -
82,Other Non-Cash Items,-25000,1245000,-3703000,-42678000,-54055000,59388000,-39630000,724000,-10688000,-82761000,2058000
83,Cash Provided by Operating Activities,-6845000,-6031000,2829000,-17642000,-21478000,-47381000,-54827000,-22301000,-109225000,-5487000,-60087000
84,CAPEX,-15000,- -,-5000,-42000,-20000,-717000,-58000,-73000,-18000,-349000,-39000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,-91657000,-68648000,-127394000,-337854000,-286082000,-232881000,-208795000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,114383000,90911000,255108000,255584000,212955000,204013000
88,Other Investing Activites,60000,511000,- -,- -,- -,-769000,741000,- -,- -,- -,70000
89,Cash Used for Investing Activites,45000,511000,-5000,-42000,-91677000,44249000,-35800000,-82819000,-30516000,-20275000,-4751000
90,Debt Repayment,-848000,-446000,-618000,- -,- -,- -,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,86000,- -,57862000,75231000,- -,86224000,106619000,136498000,38449000,44969000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,9984000,2900000,9034000,128000,362000,123000,1699000,4194000,6106000,691000,1639000
95,Cash Used/Provided by Financing Activities,9136000,2540000,8416000,57990000,75593000,123000,87923000,110813000,142604000,39140000,46608000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2336000,-2980000,11240000,40306000,-37562000,-3009000,-2704000,5693000,2863000,13378000,-18230000
98,Cash at the End of Period,4097000,1117000,12357000,52663000,15101000,12092000,9388000,15850000,18713000,32091000,13861000
99,Cash at the Beginning of Period,1761000,4097000,1117000,12357000,52663000,15101000,12092000,10157000,15850000,18713000,32091000
100,Free Cash Flow,-6860000,-6031000,2824000,-17684000,-21498000,-48098000,-54885000,-22374000,-109243000,-5836000,-60126000
101,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1346830/000119312515107249/0001193125-15-107249-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000119312516500345/0001193125-16-500345-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000119312517077107/0001193125-17-077107-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000156459018005879/0001564590-18-005879-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000156459019007389/0001564590-19-007389-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837020001659/0001558370-20-001659-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837021001839/0001558370-21-001839-index.htm,https://www.sec.gov/Archives/edgar/data/1346830/000155837022002555/0001558370-22-002555-index.htm
102,false,,,,,,,,,,,
