,https://roic.ai/company/SDGR,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,55693000,66639000,85543000,108095000,137931000
2,COGS,15893000,23702000,36450000,44623000,72311000
3,Gross Profit,39800000,42937000,49093000,63472000,65620000
4,Gross Profit Ratio,0.7146,0.6443,0.5739,0.5872,0.4757
5,Research and Development Exp.,27669000,34523000,39404000,64695000,90904000
6,General and Administrative Exp.,14436000,18552000,27040000,41898000,64009000
7,Selling and Marketing Exp.,16716000,17831000,21364000,17795000,22150000
8,"Selling, General and Administrative Exp.",31152000,36383000,48404000,59693000,86159000
9,Other Expenses,- -,- -,- -,- -,- -
10,Operating Expenses,58821000,70906000,87808000,124388000,177063000
11,COGS and Expenses,74714000,94608000,124258000,169011000,249374000
12,Interest Income ,359000,433000,1878000,2253000,1057000
13,Interest Expense (Gain),- -,- -,1878000,2253000,1057000
14,Depreciation and Amortization,1685000,2894000,3640000,3658000,2847000
15,EBITDA,-15375000,-25454000,-19344000,-18207000,-96078000
16,EBITDA ratio,-0.2761,-0.3820,-0.2261,-0.1684,-0.6966
17,Operating Income,-19021000,-27969000,-38715000,-60916000,-111443000
18,Operating Income ratio,-0.3415,-0.4197,-0.4526,-0.5635,-0.8080
19,Total Other Income Expenses (Gains),1961000,-379000,12743000,34624000,10635000
20,Income Before Tax,-17060000,-28348000,-25972000,-26292000,-100808000
21,Income Before Tax Ratio,-0.3063,-0.4254,-0.3036,-0.2432,-0.7309
22,Income Tax expense (Gain),332000,77000,-291000,345000,411000
23,Net Income,-17392000,-28425000,-24571000,-24463000,-100393000
24,Net Income ratio,-0.3123,-0.4266,-0.2872,-0.2263,-0.7278
25,EPS,-0.43,-0.70,-0.41,-0.41,-1.43
26,EPS Diluted,-0.43,-0.70,-0.41,-0.41,-1.43
27,Weighted Average Shares Outstanding,40384962,40384962,59564846,60024658,70784184
28,Weighted Average Shares Outstanding Diluted,40384962,40384962,59564846,60024658,70784184
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1490978/000156459020011182/0001564590-20-011182-index.htm,https://www.sec.gov/Archives/edgar/data/1490978/000156459021010727/0001564590-21-010727-index.htm,https://www.sec.gov/Archives/edgar/data/1490978/000156459022006713/0001564590-22-006713-index.htm
