,https://roic.ai/company/SOS,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,61308000,63481000,56983000,92777000,75455000,48687000,50289000
2,COGS,11005000,20832000,15011000,18717000,19178000,15040000,37295000
3,Gross Profit,50303000,42649000,41972000,74060000,56277000,33647000,12994000
4,Gross Profit Ratio,0.8205,0.6718,0.7366,0.7983,0.7458,0.6911,0.2584
5,Research and Development Exp.,- -,5675000,- -,11642000,15994000,4599000,- -
6,General and Administrative Exp.,23739000,30355000,45372000,54121000,72324000,43978000,2907000
7,Selling and Marketing Exp.,27347000,34182000,29954000,45341000,34669000,12370000,- -
8,"Selling, General and Administrative Exp.",51086000,64537000,75326000,99462000,106993000,56348000,2907000
9,Other Expenses,-864000,-597000,-560000,- -,-726000,-562000,- -
10,Operating Expenses,50222000,69615000,74766000,111104000,122261000,60385000,2907000
11,COGS and Expenses,61227000,90447000,89777000,129821000,141439000,75425000,40202000
12,Interest Income ,75000,144000,29000,31000,347000,60000,- -
13,Interest Expense (Gain),80000,1201000,- -,- -,- -,425000,- -
14,Depreciation and Amortization,800000,1016000,1381000,2331000,2071000,1881000,2000
15,EBITDA,1364000,-27802000,-31982000,-34205000,-63386000,-4012000,4553000
16,EBITDA ratio,0.0222,-0.4380,-0.5613,-0.3687,-0.8401,-0.0824,0.0905
17,Operating Income,81000,-26966000,-32794000,-37044000,-65984000,-26738000,10087000
18,Operating Income ratio,0.0013,-0.4248,-0.5755,-0.3993,-0.8745,-0.5492,0.2006
19,Total Other Income Expenses (Gains),403000,-3053000,-569000,508000,527000,20420000,-5054000
20,Income Before Tax,484000,-30019000,-33363000,-36536000,-65457000,-6318000,5033000
21,Income Before Tax Ratio,0.0079,-0.4729,-0.5855,-0.3938,-0.8675,-0.1298,0.1001
22,Income Tax expense (Gain),353000,7000,3000,113000,1072000,3583000,147000
23,Net Income,131000,-30026000,-33366000,-36649000,-66529000,-9901000,4404000
24,Net Income ratio,0.0021,-0.4730,-0.5855,-0.3950,-0.8817,-0.2034,0.0876
25,EPS,-0.95,-8.85,-8.90,-24.80,-10.20,-1.50,0.14
26,EPS Diluted,-0.95,-8.85,-8.90,-24.80,-10.20,-1.50,0.09
27,Weighted Average Shares Outstanding,3753780,3753780,3753780,4905420,6519946,6759008,32599667
28,Weighted Average Shares Outstanding Diluted,3753780,3753780,3753780,4905420,6519946,6759008,48896001
29,SEC Link,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,5813000,25045000,18983000,94881000,33029000,15423000,3722000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5813000,25045000,18983000,94881000,33029000,15423000,3722000
34,Net Receivables,10804000,1803000,1157000,1082000,12532000,8604000,61301000
35,Inventory,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,16574000,18017000,23281000,43276000,41434000,- -
37,Total Current Assets,- -,43422000,38157000,119244000,88837000,65461000,65023000
