,https://roic.ai/company/PCRX,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,13925000,15006000,14562000,15689000,39084000,85551000,197668000,248997000,276371000,286630000,337277000,421026000,429647000,541533000
2,COGS,17463000,12301000,12276000,16739000,32139000,54772000,77440000,71837000,110104000,87915000,86845000,106712000,117328000,140255000
3,Gross Profit,-3538000,2705000,2286000,-1050000,6945000,30779000,120228000,177160000,166267000,198715000,250432000,314314000,312319000,401278000
4,Gross Profit Ratio,-0.2541,0.1803,0.1570,-0.0669,0.1777,0.3598,0.6082,0.7115,0.6016,0.6933,0.7425,0.7465,0.7269,0.7410
5,Research and Development Exp.,33214000,26233000,18628000,14873000,9937000,21560000,18731000,28662000,45678000,57290000,55688000,72119000,59421000,55545000
6,General and Administrative Exp.,- -,- -,- -,20159000,15974000,20959000,41652000,61310000,63395000,66691000,70159000,71119000,74834000,88323000
7,Selling and Marketing Exp.,- -,- -,- -,- -,30332000,41549000,65010000,77733000,89218000,94803000,107106000,129663000,118682000,111022000
8,"Selling, General and Administrative Exp.",- -,- -,- -,20159000,46306000,62508000,106662000,139043000,152613000,161494000,177265000,200782000,193516000,199345000
9,Other Expenses,8611000,5020000,6030000,- -,- -,- -,- -,- -,- -,- -,- -,5703000,7866000,13553000
10,Operating Expenses,41825000,31253000,24658000,35032000,56243000,84068000,125393000,167705000,198291000,218784000,232953000,278604000,260803000,268443000
11,COGS and Expenses,59288000,43554000,36934000,51771000,88382000,138840000,202833000,239542000,308395000,306699000,319798000,385316000,378131000,408698000
12,Interest Income ,235000,77000,146000,255000,275000,259000,382000,678000,1323000,4078000,6497000,7376000,4629000,896000
13,Interest Expense (Gain),3490000,3603000,4889000,4780000,1807000,7253000,8278000,7110000,6449000,16666000,20315000,21921000,23515000,28996000
14,Depreciation and Amortization,3831000,4432000,4252000,- -,5648000,5747000,10035000,11475000,12919000,13833000,13165000,19576000,19908000,28548000
15,EBITDA,-34541000,-23672000,-18008000,-38548000,-44826000,-51351000,4770000,20705000,-18476000,-11972000,33055000,30749000,63512000,113948000
16,EBITDA ratio,-2.4805,-1.5775,-1.2366,-2.4570,-1.1469,-0.6002,0.0241,0.0832,-0.0669,-0.0418,0.0980,0.0730,0.1478,0.2104
17,Operating Income,-45363000,-28548000,-22372000,-39101000,-49298000,-53289000,-5165000,9455000,-32024000,-24937000,15915000,10480000,46350000,89924000
18,Operating Income ratio,-3.2577,-1.9024,-1.5363,-2.4923,-1.2613,-0.6229,-0.0261,0.0380,-0.1159,-0.0870,0.0472,0.0249,0.1079,0.1661
19,Total Other Income Expenses (Gains),-224000,367000,-34000,-2721000,-2983000,-11062000,-8378000,-7335000,-5820000,-17534000,-16340000,-21228000,-26261000,-33520000
20,Income Before Tax,- -,- -,- -,- -,-52281000,-64351000,-13543000,2120000,-37844000,-42471000,-425000,-10748000,20089000,56404000
21,Income Before Tax Ratio,- -,- -,- -,- -,-1.3377,-0.7522,-0.0685,0.0085,-0.1369,-0.1482,-0.0013,-0.0255,0.0468,0.1042
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,-442000,173000,264000,105000,140000,46000,268000,-125434000,14424000
23,Net Income,-41862000,-31707000,-27149000,-43328000,-52281000,-63909000,-13716000,1856000,-37949000,-42611000,-471000,-11016000,145523000,41980000
24,Net Income ratio,-3.0062,-2.1130,-1.8644,-2.7617,-1.3377,-0.7470,-0.0694,0.0075,-0.1373,-0.1487,-0.0014,-0.0262,0.3387,0.0775
25,EPS,-79.23,-55.32,-47.29,-2.64,-1.72,-1.93,-0.39,0.05,-1.02,-1.07,-0.01,-0.27,3.41,0.94
26,EPS Diluted,-79.23,-55.32,-47.29,-2.64,-1.72,-1.93,-0.39,0.04,-1.02,-1.07,-0.01,-0.27,3.33,0.92
27,Weighted Average Shares Outstanding,528357,573118,574072,16437464,30331965,33181895,35299000,36540000,37236000,39806000,40911000,41513000,42671000,44476000
28,Weighted Average Shares Outstanding Diluted,528357,573118,574072,16437464,30331965,33181895,35299000,41301000,37236000,39806000,40911000,41513000,43682000,45463000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1396814/000110465912021373/0001104659-12-021373-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000104746913002336/0001047469-13-002336-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681414000003/0001396814-14-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681415000003/0001396814-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000162828016011728/0001628280-16-011728-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681417000009/0001396814-17-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681418000009/0001396814-18-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681419000008/0001396814-19-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681420000008/0001396814-20-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681421000014/0001396814-21-000014-index.htm,https://www.sec.gov/Archives/edgar/data/1396814/000139681422000021/0001396814-22-000021-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,12386000,7077000,26133000,46168000,10126000,12515000,37520000,56984000,35944000,54126000,132526000,78228000,99957000,585578000
32,Short-Term Investments,- -,- -,- -,29985000,30924000,59637000,119138000,101981000,136653000,257221000,250928000,213722000,421705000,70831000
33,Cash and Short-Term Investments,12386000,7077000,26133000,76153000,41050000,72152000,156658000,158965000,172597000,311347000,383454000,291950000,521662000,656409000
34,Net Receivables,2585000,1455000,1191000,2113000,4352000,14590000,22366000,25855000,29937000,31658000,38000000,47530000,53046000,96318000
35,Inventory,2028000,1729000,1605000,1245000,12077000,15557000,29263000,61645000,31278000,41411000,48569000,58296000,64650000,98550000
36,Other Current Assets,2358000,2288000,2126000,3138000,3443000,4452000,5970000,6117000,9277000,6694000,7946000,10781000,12265000,14771000
37,Total Current Assets,19357000,12549000,31055000,82649000,60922000,106751000,214257000,252582000,243089000,391110000,477969000,408557000,651623000,866048000
38,PP&E,18037000,19560000,23950000,25103000,39116000,48182000,60632000,90324000,101016000,107046000,108670000,142805000,211180000,264811000
39,Goodwill,- -,- -,- -,- -,8297000,10328000,23761000,30880000,46737000,55197000,62040000,99547000,99547000,145175000
40,Intangible Assets,13084000,11178000,8912000,5259000,3208000,1157000,403000,81000,- -,- -,- -,104387000,96521000,623968000
41,Intangible Assets,13084000,11178000,8912000,5259000,11505000,11485000,24164000,30961000,46737000,55197000,62040000,203934000,196068000,769143000
42,Investments,- -,- -,- -,- -,- -,- -,24431000,13462000,- -,74193000,40017000,75769000,109478000,21987000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106164000,153364000
44,Other Non-Current Assets,63000,667000,2645000,479000,511000,3402000,2588000,2294000,624000,825000,657000,- -,- -,- -
45,Total Non-Current Assets,31184000,31405000,35507000,30841000,51132000,63069000,111815000,137041000,148377000,237261000,211384000,422508000,622890000,1209305000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
