,https://roic.ai/company/CDTX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,20915000,12067000,49572000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,12067000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,810000,6710000,23475000,35699000,42823000,49142000,46401000,68017000,73087000
6,General and Administrative Exp.,272000,3306000,8838000,12737000,12898000,14143000,16238000,15899000,18740000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",272000,3306000,8838000,12737000,12898000,14143000,16238000,15899000,18740000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,1082000,10016000,32313000,48436000,55721000,63285000,62639000,83916000,91827000
11,COGS and Expenses,1082000,10016000,32313000,48436000,55721000,63285000,62639000,83916000,91827000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,212000
14,Depreciation and Amortization,- -,179000,461000,732000,667000,523000,328000,286000,-1230000
15,EBITDA,-1082000,-8230000,-31852000,-47704000,-55054000,-62762000,-40764000,-71825000,-43485000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9490,-5.9522,-0.8772
17,Operating Income,-1082000,-11623000,-32313000,-48436000,-55721000,-63285000,-41724000,-71849000,-42255000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9949,-5.9542,-0.8524
19,Total Other Income Expenses (Gains),-262000,-271000,120000,271000,-7000,4269000,632000,-262000,-212000
20,Income Before Tax,-1344000,-11894000,-32193000,-48165000,-55728000,-59016000,-41092000,-72111000,-42467000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9647,-5.9759,-0.8567
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1344000,-11894000,-32193000,-48165000,-55728000,-59016000,-41092000,-72111000,-42467000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.9647,-5.9759,-0.8567
25,EPS,-0.44,-3.88,-3.25,-3.32,-3.18,-2.76,-1.41,-1.80,-0.81
26,EPS Diluted,-0.44,-3.88,-3.25,-3.32,-3.18,-2.76,-1.41,-1.80,-0.81
27,Weighted Average Shares Outstanding,3065300,3065300,9920382,14488987,17500853,25142976,29093174,41557350,52453452
28,Weighted Average Shares Outstanding Diluted,3065300,3065300,9920382,14488987,17500853,25142976,29093174,41557350,52453452
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1610618/000156459016015007/0001564590-16-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061817000013/0001610618-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061818000011/0001610618-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061819000012/0001610618-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061820000011/0001610618-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061821000008/0001610618-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061822000007/0001610618-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,185000,22796000,62562000,85367000,60813000,74562000,50268000,35912000,59680000
32,Short-Term Investments,- -,- -,44952000,19252000,14501000,- -,- -,- -,- -
33,Cash and Short-Term Investments,185000,22796000,107514000,104619000,75314000,74562000,50268000,35912000,59680000
34,Net Receivables,- -,- -,- -,- -,321000,- -,5546000,11175000,5356000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,13000,217000,704000,779000,2035000,2567000,10000000,10104000,6662000
37,Total Current Assets,198000,23013000,108218000,105398000,77670000,77129000,65814000,57191000,71698000
38,PP&E,- -,863000,1684000,1374000,1044000,712000,2061000,1210000,2543000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3000,474000,72000,190000,321000,1271000,1101000,2023000,1084000
45,Total Non-Current Assets,3000,1337000,1756000,1564000,1365000,1983000,3162000,3233000,3627000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,201000,24350000,109974000,106962000,79035000,79112000,68976000,60424000,75325000
48,Accounts Payable,32000,1177000,3095000,2909000,2590000,2846000,1887000,4568000,1301000
49,Short-Term Debt,- -,- -,- -,- -,2667000,9928000,10783000,7962000,3739000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,9803000,13865000,13920000
52,Other Current Liabilities,84000,2036000,2879000,6000000,6828000,7118000,7726000,12169000,15057000
53,Total Current Liabilities,116000,3213000,5974000,8909000,12085000,19892000,30199000,38564000,34017000
54,Long-Term Debt,1483000,- -,- -,9794000,7206000,- -,- -,- -,1322000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,11145000,18413000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,34000,88000,80000,- -,81000,942000,- -,- -
58,Total Non-Current Liabilities,1483000,34000,88000,9874000,7206000,81000,942000,11145000,19735000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,1760000,939000,2470000
61,Total Liabilities,1599000,3247000,6062000,18783000,19291000,19973000,31141000,49709000,53752000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,1000,2000,2000,3000,3000,4000,7000
64,Retained Earnings,-1410000,-13304000,-45497000,-93662000,-149390000,-218735000,-259827000,-334700000,-377167000
65,Other Comprehensive Income/Loss,- -,-179000,-8000,-1000,-8000,- -,-2842000,- -,- -
66,Other Total Stockholders Equity,12000,34586000,149416000,181840000,209140000,277871000,300501000,345411000,- -
67,Total Stockholders Equity,-1398000,21103000,103912000,88179000,59744000,59139000,37835000,10715000,21573000
68,Total Liabilities And Stockholders Equity,201000,24350000,109974000,106962000,79035000,79112000,68976000,60424000,75325000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,201000,24350000,109974000,106962000,79035000,79112000,68976000,60424000,75325000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1610618/000156459016015007/0001564590-16-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061817000013/0001610618-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061818000011/0001610618-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061819000012/0001610618-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061820000011/0001610618-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061821000008/0001610618-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061822000007/0001610618-22-000007-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , 
73,Net Income,-1344000,-11894000,-32193000,-48165000,-55728000,-59016000,-41092000,-72111000,-42467000
74,Depreciation and Amortization,- -,179000,461000,732000,667000,523000,328000,286000,-1230000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,11000,232000,3033000,4344000,5714000,5710000,5073000,4090000,4014000
77,Change in Working Capital,23000,19718000,82444000,-5755000,-30904000,-8348000,-21622000,-16988000,14436000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,-11165000,5819000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,82000,19800000,102244000,96489000,65585000,57237000,35615000,18627000,8408000
82,Other Non-Cash Items,262000,-15945000,-79704000,9073000,30342000,4426000,28781000,30312000,15000
83,Cash Provided by Operating Activities,-1048000,-7710000,-25959000,-39771000,-49909000,-56705000,-28532000,-54411000,-25232000
84,CAPEX,- -,-991000,-1170000,-401000,-306000,-177000,-35000,-186000,-41000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,-54918000,-69617000,-19523000,-14548000,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,10000000,95500000,24300000,29026000,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,- -,- -,- -,- -,- -
89,Cash Used for Investing Activites,- -,-991000,-46088000,25482000,4471000,14301000,-35000,-186000,-41000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,-2963000,-4444000
91,Common Stock Issued,- -,10000,69505000,26622000,20735000,6440000,14297000,40227000,49035000
92,Common Stock Repurchased,- -,- -,- -,- -,-79000,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,1232000,31302000,42308000,10472000,228000,49713000,-24000,14000,6000
95,Cash Used/Provided by Financing Activities,1232000,31312000,111813000,37094000,20884000,56153000,14273000,37278000,44597000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,184000,22611000,39766000,22805000,-24554000,13749000,-14294000,-17319000,19324000
98,Cash at the End of Period,185000,22796000,62562000,85367000,60813000,74562000,60268000,42949000,62273000
99,Cash at the Beginning of Period,1000,185000,22796000,62562000,85367000,60813000,74562000,60268000,42949000
100,Free Cash Flow,-1048000,-8701000,-27129000,-40172000,-50215000,-56882000,-28567000,-54597000,-25273000
101,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1610618/000156459016015007/0001564590-16-015007-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061817000013/0001610618-17-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061818000011/0001610618-18-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061819000012/0001610618-19-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061820000011/0001610618-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061821000008/0001610618-21-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1610618/000161061822000007/0001610618-22-000007-index.htm
102,false,,,,,,,,,
