,https://roic.ai/company/SMGI,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,9505044,21083763,- -,- -,2465897,4422436,6474268,26665719
2,COGS,3357,89652,38022,691171,3320902,7420792,15261816,- -,- -,1445910,2769375,5531699,29477208
3,Gross Profit,-3357,-89652,-38022,-691171,-3320902,2084252,5821947,- -,- -,1019987,1653061,942569,-2811489
4,Gross Profit Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.2193,0.2761,- -,- -,0.4136,0.3738,0.1456,-0.1054
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,13538,247609,- -,- -,- -,626565,651565,- -,- -,1188494,2434819,3210475,5267186
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",13538,247609,- -,233275,113050,1233613,1051595,378336,267146,1188494,2434819,3210475,5267186
9,Other Expenses,- -,- -,- -,615095,514403,- -,- -,90000,120000,- -,- -,- -,2570500
10,Operating Expenses,13538,247609,- -,848370,627453,1233613,1051595,468336,387146,1188494,2434819,3210475,7837686
11,COGS and Expenses,16895,337261,38022,1539541,3948355,8654405,16313411,468336,387146,2634404,5204194,8742174,37314894
12,Interest Income ,- -,- -,- -,27062,22802,14882,18165,7434,814,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,16120,5300,- -,- -,- -,- -,- -,155484,310030,897065,3801020
14,Depreciation and Amortization,- -,- -,- -,83,332,597,- -,- -,- -,72161,105287,659751,4901689
15,EBITDA,-16895,-337261,-38022,-1539458,-3948023,1007619,4848534,-468336,-387146,-503435,-728061,-2427542,-7166281
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1060,0.2300,-Infinity,-Infinity,-0.2042,-0.1646,-0.3750,-0.2687
17,Operating Income,-16895,-337261,-38022,-1539541,-3948355,850639,4770352,-468336,-387146,-582714,-842499,-3036400,-10649175
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.0895,0.2263,-Infinity,-Infinity,-0.2363,-0.1905,-0.4690,-0.3994
19,Total Other Income Expenses (Gains),- -,- -,- -,-3254874,38890,156383,78182,7434,814,-148366,-300879,-947958,-5219815
20,Income Before Tax,- -,- -,- -,- -,- -,1007022,4848534,-460902,-386332,-731080,-1143378,-3984358,-15868990
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,0.1059,0.2300,-Infinity,-Infinity,-0.2965,-0.2585,-0.6154,-0.5951
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,25000,90000,- -,- -,- -,- -,- -,- -
23,Net Income,-16895,-337261,-54142,-4772653,-3886663,982022,4758534,-460902,-386332,-731080,-1143378,-3984358,-15868990
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,0.1033,0.2257,-Infinity,-Infinity,-0.2965,-0.2585,-0.6154,-0.5951
25,EPS,-0.11,-2.18,-0.01,-1.61,-0.44,0.11,0.59,-0.25,-0.22,-0.21,-0.11,-0.29,-0.90
26,EPS Diluted,-0.11,-2.18,-0.01,-1.61,-0.44,0.11,0.59,-0.25,-0.22,-0.21,-0.11,-0.29,-0.90
27,Weighted Average Shares Outstanding,155000,155000,4443019,4443019,8810035,8781501,8013091,1846300,1744569,3423150,10364775,13824474,17860452
28,Weighted Average Shares Outstanding Diluted,155000,155000,4443019,4443019,8810035,8811016,8013926,1846300,1744569,3423150,10364775,13824474,17860452
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1426506/000114420412016924/0001144204-12-016924-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420413019117/0001144204-13-019117-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420414018736/0001144204-14-018736-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000114420415018950/0001144204-15-018950-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000114420416090610/0001144204-16-090610-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420417017689/0001144204-17-017689-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420418018716/0001144204-18-018716-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420419017308/0001144204-19-017308-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000110465920071051/0001104659-20-071051-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000110465921051843/0001104659-21-051843-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , 
31,Cash and Cash Equivalents,61371,3605228,693940,3536331,6151770,2090295,4797122,960351,614490,85570,1608,30354,263814
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,42300,42300,- -,- -
33,Cash and Short-Term Investments,61371,3605228,693940,3536331,6151770,2090295,4797122,960351,614490,127870,43908,30354,263814
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,441359,703959,1243882,4920967
35,Inventory,- -,- -,- -,- -,- -,14318244,- -,- -,- -,142053,140662,129959,- -
36,Other Current Assets,- -,3077,3077,23704,29774,977505,25616,43064,18678,25352,96871,300067,2563057
37,Total Current Assets,61371,3608305,697017,3560035,6181544,17386044,4822738,1003415,633168,736634,985400,1704262,7747838
38,PP&E,- -,- -,- -,929,597,- -,- -,- -,- -,118779,1998009,4576071,16337914
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,185751,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,329656,131242,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,515407,131242,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,211378,1171053,4591016,21699537,22680758,- -,- -,- -,- -,- -,27631,19809,- -
45,Total Non-Current Assets,211378,1171053,4591016,21700466,22681355,- -,- -,- -,- -,118779,2541047,4727122,16337914
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,272749,4779358,5288033,25260501,28862899,17386044,4822738,1003415,633168,855413,3526447,6431384,24085752
48,Accounts Payable,- -,- -,- -,195696,77668,- -,8258,2180,1565,514448,989507,2180287,3171086
49,Short-Term Debt,- -,- -,265000,- -,- -,- -,- -,- -,- -,618590,1116092,2848788,2187436
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,22718,- -,- -,- -,- -,39877,36379,30000
52,Other Current Liabilities,1106,8356,56241,- -,149323,1299788,181000,71000,79000,46138,261639,701668,13503938
53,Total Current Liabilities,1106,8356,321241,195696,226991,1322506,189258,73180,80565,1179176,2407115,5767122,18892460
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,258361,1176729,1396716,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,278538,294658,- -,- -,- -,- -,- -,- -,- -,- -,40552,188994,- -
58,Total Non-Current Liabilities,278538,294658,- -,- -,- -,- -,- -,- -,- -,258361,1217281,1585710,- -
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19350541
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,94280,349855,1421729
61,Total Liabilities,279644,303014,321241,195696,226991,1322506,189258,73180,80565,1437537,3624396,7352832,38243001
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2,2
63,Common Stock,150,1159,1319,6833,8833,8833,1884,1884,1884,8865,11911,14881,19447
64,Retained Earnings,-16895,-354156,-408298,-7540706,-11427369,-10445347,-5686813,-6147715,-6534047,-534049,-1677427,-5692525,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-300155,-306155,-957703,- -
66,Other Total Stockholders Equity,9850,4829341,5373771,32598678,40054444,26500052,10318409,7076066,7084766,243215,1873722,5713897,-10837302
67,Total Stockholders Equity,-6895,4476344,4966792,25064805,28635908,16063538,4633480,930235,552603,-582124,-97949,-921448,-10817853
68,Total Liabilities And Stockholders Equity,272749,4779358,5288033,25260501,28862899,17386044,4822738,1003415,633168,855413,3526447,6431384,27425148
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3339396
70,Total Liabilities & Equity,272749,4779358,5288033,25260501,28862899,17386044,4822738,1003415,633168,855413,3526447,6431384,24085752
71,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1426506/000114420412016924/0001144204-12-016924-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420413019117/0001144204-13-019117-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420414018736/0001144204-14-018736-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000114420415018950/0001144204-15-018950-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000114420416090610/0001144204-16-090610-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420417017689/0001144204-17-017689-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420418018716/0001144204-18-018716-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000114420419017308/0001144204-19-017308-index.html,https://www.sec.gov/Archives/edgar/data/1426506/000110465920071051/0001104659-20-071051-index.htm,https://www.sec.gov/Archives/edgar/data/1426506/000110465921051843/0001104659-21-051843-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , 
73,Net Income,-16895,-337261,-54142,-4772653,-3886663,982022,4758534,-460902,-386332,-731080,-1143378,-3984358,-15868990
74,Depreciation and Amortization,- -,- -,- -,83,332,597,- -,- -,- -,72161,105287,659751,4901689
