,https://roic.ai/company/NTNX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,30533000,127127000,241432000,444928000,766869000,1155457000,1236143000,1307682000,1394364000
2,COGS,26604000,60912000,100959000,170787000,327331000,386030000,304128000,286689000,291906000
3,Gross Profit,3929000,66215000,140473000,274141000,439538000,769427000,932015000,1020993000,1102458000
4,Gross Profit Ratio,0.1287,0.5209,0.5818,0.6161,0.5732,0.6659,0.7540,0.7808,0.7907
5,Research and Development Exp.,16496000,38037000,73510000,116400000,288619000,313777000,500719000,553978000,556950000
6,General and Administrative Exp.,4833000,13496000,23899000,34265000,77341000,86401000,119587000,135547000,153782000
7,Selling and Marketing Exp.,27200000,93001000,161829000,288493000,500529000,649657000,909750000,1160389000,1052508000
8,"Selling, General and Administrative Exp.",32033000,106497000,185728000,322758000,577870000,736058000,1029337000,1295936000,1206290000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,48529000,144534000,259238000,439158000,866489000,1049835000,1530056000,1849914000,1763240000
11,COGS and Expenses,75133000,205446000,360197000,609945000,1193820000,1435865000,1834184000,2136603000,2055146000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,4067000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,79932000
14,Depreciation and Amortization,2626000,11582000,16567000,26408000,38399000,50302000,77612000,93773000,94373000
15,EBITDA,-42028000,-71813000,-108016000,-139899000,-414929000,-239412000,-535448000,-761448000,-841468000
16,EBITDA ratio,-1.3765,-0.5649,-0.4474,-0.3144,-0.5411,-0.2072,-0.4332,-0.5823,-0.6035
17,Operating Income,-44600000,-78319000,-118765000,-165017000,-426951000,-280408000,-598041000,-828921000,-660782000
18,Operating Income ratio,-1.4607,-0.6161,-0.4919,-0.3709,-0.5567,-0.2427,-0.4838,-0.6339,-0.4739
19,Total Other Income Expenses (Gains),-54000,-5076000,-5818000,-1290000,-26377000,-9306000,-15019000,-26300000,-354991000
20,Income Before Tax,-44654000,-83395000,-124583000,-166307000,-453328000,-289714000,-613060000,-855221000,-1015773000
21,Income Before Tax Ratio,-1.4625,-0.6560,-0.5160,-0.3738,-0.5911,-0.2507,-0.4959,-0.6540,-0.7285
22,Income Tax expense (Gain),80000,608000,1544000,2192000,4683000,7447000,8119000,17662000,18487000
23,Net Income,-44734000,-84003000,-126127000,-168499000,-458011000,-297161000,-621179000,-872883000,-1034260000
24,Net Income ratio,-1.4651,-0.6608,-0.5224,-0.3787,-0.5972,-0.2572,-0.5025,-0.6675,-0.7417
25,EPS,-0.37,-0.70,-1.05,-1.42,-3.57,-1.81,-3.43,-4.48,-5.01
26,EPS Diluted,-0.37,-0.70,-1.05,-1.42,-3.57,-1.81,-3.43,-4.48,-5.01
27,Weighted Average Shares Outstanding,120289892,120289892,120289892,120289892,128295563,164091302,181030964,194719000,206475000
28,Weighted Average Shares Outstanding Diluted,120289892,120289892,120289892,120289892,128295563,164091302,181030964,194719000,206475000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1618732/000161873217000123/0001618732-17-000123-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873218000131/0001618732-18-000131-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873219000114/0001618732-19-000114-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000161873220000112/0001618732-20-000112-index.htm,https://www.sec.gov/Archives/edgar/data/1618732/000095017021001852/0000950170-21-001852-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,57485000,67879000,99209000,138359000,305975000,396678000,318737000,285723000
32,Short-Term Investments,- -,- -,82660000,85991000,210694000,628328000,512156000,401041000,928006000
33,Cash and Short-Term Investments,- -,57485000,150539000,185200000,349053000,934303000,908834000,719778000,1213729000
34,Net Receivables,- -,30235000,39253000,110659000,178876000,258289000,250543000,259454000,189071000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,9996000,19491000,34002000,56041000,70509000,115835000,114788000,159461000
37,Total Current Assets,- -,97716000,209283000,329861000,583970000,1263101000,1275212000,1094020000,1562261000
38,PP&E,- -,16394000,26634000,42218000,58072000,85111000,136962000,270498000,237524000
39,Goodwill,- -,- -,- -,- -,16672000,87759000,185180000,185260000,185260000
40,Intangible Assets,- -,- -,- -,- -,26001000,45366000,66773000,49392000,32012000
41,Intangible Assets,- -,- -,- -,- -,42673000,133125000,251953000,234652000,217272000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,2860000,4607000,- -,- -
44,Other Non-Current Assets,- -,4854000,13914000,27007000,41358000,115683000,117308000,169377000,260439000
45,Total Non-Current Assets,- -,21248000,40548000,69225000,142103000,336779000,510830000,674527000,715235000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,118964000,249831000,399086000,726073000,1599880000,1786042000,1768547000,2277496000
48,Accounts Payable,- -,17129000,32223000,52111000,73725000,65503000,74047000,54029000,47056000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,42670000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,34912000
51,Deferred Revenue,- -,20040000,52354000,130569000,233498000,275648000,396667000,534572000,636421000
52,Other Current Liabilities,- -,12738000,20739000,30084000,66935000,117080000,128601000,171602000,201741000
53,Total Current Liabilities,- -,49907000,105316000,212764000,374158000,458231000,599315000,760203000,927888000
54,Long-Term Debt,- -,- -,- -,73260000,- -,429598000,458910000,490222000,1142293000
55,Deferred Revenue,- -,16437000,51244000,165896000,292573000,355559000,513377000,648869000,676502000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,183395000,328005000,3423000,11140000,29713000,27547000,144230000,542854000
58,Total Non-Current Liabilities,- -,199832000,379249000,242579000,303713000,814870000,999834000,1283321000,2361649000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,153363000,129269000
61,Total Liabilities,- -,249739000,484565000,455343000,677871000,1273101000,1599149000,2043524000,3289537000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1000,1000,3000,4000,4000,5000,5000,5000
64,Retained Earnings,- -,-147307000,-273434000,-441933000,-899830000,-1028130000,-1649309000,-2522192000,-3627355000
65,Other Comprehensive Income/Loss,- -,-15277000,-30462000,-55387000,-88901000,-1000000,1000000,2000000,-8000
66,Other Total Stockholders Equity,- -,31808000,69161000,441060000,1036929000,1355905000,1835197000,2245210000,2615317000
67,Total Stockholders Equity,- -,-130775000,-234734000,-56257000,48202000,326779000,186893000,-274977000,-1012041000
68,Total Liabilities And Stockholders Equity,- -,118964000,249831000,399086000,726073000,1599880000,1786042000,1768547000,2277496000
