,https://roic.ai/company/RKT,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , 
1,Revenue,3485086000,3491115000,4243878000,15548881000,12683726000
2,COGS,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,15735182000,- -
4,Gross Profit Ratio,- -,- -,- -,1.0120,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -
6,General and Administrative Exp.,2227451000,2294569000,2765174000,4291381000,4540233000
7,Selling and Marketing Exp.,787844000,878027000,905000000,949933000,1249583000
8,"Selling, General and Administrative Exp.",3015295000,3172596000,3670174000,5241314000,5789816000
9,Other Expenses,- -,- -,- -,-3238301000,- -
10,Operating Expenses,- -,- -,- -,2003013000,- -
11,COGS and Expenses,- -,- -,- -,2003013000,- -
12,Interest Income ,159581000,200926000,250750000,329593000,430086000
13,Interest Expense (Gain),180939000,229347000,271769000,431824000,491886000
14,Depreciation and Amortization,68813000,76917000,74952000,74316000,74713000
15,EBITDA,1021681000,921796000,1246459000,836472000,987547000
16,EBITDA ratio,0.2932,0.2640,0.2937,0.0538,0.0779
17,Operating Income,- -,- -,- -,13732169000,6184901000
18,Operating Income ratio,- -,- -,- -,0.8832,0.4876
19,Total Other Income Expenses (Gains),- -,- -,- -,-4200512000,- -
20,Income Before Tax,771937000,615260000,898371000,9531657000,6184901000
21,Income Before Tax Ratio,0.2215,0.1762,0.2117,0.6130,0.4876
22,Income Tax expense (Gain),1228000,2643000,5984000,132381000,112738000
23,Net Income,770701000,612889000,893754000,197951000,308210000
24,Net Income ratio,0.2211,0.1756,0.2106,0.0127,0.0243
25,EPS,7.68,6.11,0.28,1.77,2.90
26,EPS Diluted,7.43,5.91,0.27,1.76,2.90
27,Weighted Average Shares Outstanding,100372565,100372565,100372565,111926619,106265422
28,Weighted Average Shares Outstanding Diluted,103745691,101213069,103745691,116238493,106265422
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1805284/000180528421000010/0001805284-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1805284/000180528422000011/0001805284-22-000011-index.htm
30,BALANCE SHEET, , , , , 
31,Cash and Cash Equivalents,- -,1053884000,1350972000,1971085000,2131174000
32,Short-Term Investments,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,1053884000,1350972000,1971085000,2131174000
34,Net Receivables,- -,500554000,794584000,653653000,9753000
35,Inventory,- -,- -,- -,- -,- -
36,Other Current Assets,- -,6568939000,14561171000,-653653000,- -
37,Total Current Assets,- -,8123377000,16706727000,1971085000,- -
38,PP&E,- -,202555000,455367000,449707000,682271000
39,Goodwill,- -,46984000,40261000,47230000,- -
40,Intangible Assets,- -,3180530000,2874972000,2862685000,5385613000
41,Intangible Assets,- -,3227514000,2915233000,2909915000,5385613000
42,Investments,- -,- -,205108000,205033000,- -
43,Tax Assets,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,-205108000,-3353494000,- -
45,Total Non-Current Assets,- -,3430069000,3370600000,211161000,- -
46,Other Assets,- -,- -,- -,- -,32774895000
47,Total Assets,- -,11553446000,20077327000,2182246000,32774895000
48,Accounts Payable,- -,92677000,157295000,251960000,271544000
49,Short-Term Debt,- -,165000000,165000000,705266000,75000000
50,Tax Payable,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,-631370000,- -
53,Total Current Liabilities,- -,257677000,322295000,325856000,346544000
54,Long-Term Debt,- -,7947291000,15259440000,26486123000,19186701000
55,Deferred Revenue,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-22881707000,- -
58,Total Non-Current Liabilities,- -,7947291000,15259440000,3604416000,19186701000
59,Other Liabilities,- -,16462164000,31511550000,32931006000,41855520000
60,Capital Lease Obligations,- -,- -,314353000,272274000,482184000
61,Total Liabilities,- -,8772550000,16574405000,29652446000,23015363000
62,Preferred Stock,- -,- -,- -,- -,- -
63,Common Stock,- -,2775594000,3498065000,20000,20000
64,Retained Earnings,- -,- -,- -,207422000,378005000
65,Other Comprehensive Income/Loss,- -,-361386000,-428540000,317000,81000
66,Other Total Stockholders Equity,- -,360518000,428389000,282743000,- -
67,Total Stockholders Equity,- -,2774726000,3497914000,490502000,665664000
68,Total Liabilities And Stockholders Equity,- -,11547276000,20072319000,30142948000,23681027000
69,Minority Interest,- -,6170000,5008000,-27960702000,9093868000
70,Total Liabilities & Equity,- -,11553446000,20077327000,2182246000,32774895000
71,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1805284/000180528421000010/0001805284-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/1805284/000180528422000011/0001805284-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , 
73,Net Income,770701000,612889000,893754000,197951000,308210000
74,Depreciation and Amortization,68813000,76917000,74952000,74316000,74713000
75,Deferred Income Tax,- -,- -,- -,66530000,48319000
76,Stock Based Compensation,32898000,33636000,39703000,136187000,164000000
77,Change in Working Capital,145706000,8125240000,8583350000,-15061498000,29087968000
78,Accounts Receivable,43967000,5037000,-262472000,60516,- -
79,Inventory,- -,- -,- -,- -,- -
80,Accounts Payable,-10116000,-49052000,64618000,94562000,11170000
81,Other Working Capital,-1863000,8123377000,16706727000,1645229000,30733197000
