,https://roic.ai/company/BGNE,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,11148000,13035000,8816000,1070000,238387000,198220000,428212000,308874000,1176283000
2,COGS,13463000,21862000,58250000,98033000,273992000,707710000,998528000,1365534000,1624145000
3,Gross Profit,-2315000,-8827000,-49434000,-96963000,-35605000,-509490000,-570316000,-1056660000,-447862000
4,Gross Profit Ratio,-0.2077,-0.6772,-5.6073,-90.6196,-0.1494,-2.5703,-1.3319,-3.4210,-0.3807
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,1294877,- -
6,General and Administrative Exp.,3143000,6930000,7311000,20097000,62602000,195385000,388249000,600176000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",3143000,6930000,7311000,20097000,62602000,195385000,388249000,600176000,990123000
9,Other Expenses,- -,- -,- -,- -,250000,894000,1326000,-448877,750000
10,Operating Expenses,3143000,6930000,7311000,20097000,62852000,196279000,389575000,601022000,990873000
11,COGS and Expenses,16606000,28792000,65561000,118130000,336844000,903989000,1388103000,1966556000,2615018000
12,Interest Income ,2000,40000,1788000,- -,- -,- -,- -,1998000,- -
13,Interest Expense (Gain),3155000,3552000,1229000,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1592000,1557000,1545000,1909000,4758000,10388000,18617000,31789000,750000
15,EBITDA,-2747000,-13169000,-54328000,-117254000,-86112000,-679177000,-923019000,-1582788000,-1437838000
16,EBITDA ratio,-0.2464,-1.0103,-6.1624,-109.5832,-0.3612,-3.4264,-2.1555,-5.1244,-1.2224
17,Operating Income,-5458000,-15757000,-56745000,-117060000,-98457000,-705769000,-959891000,-1657682000,-1438735000
18,Operating Income ratio,-0.4896,-1.2088,-6.4366,-109.4019,-0.4130,-3.5605,-2.2416,-5.3669,-1.2231
19,Total Other Income Expenses (Gains),-2436000,-2789000,-357000,-2103000,7393000,15940000,16305000,39488000,147000
20,Income Before Tax,-7894000,-18546000,-57102000,-119163000,-91064000,-689829000,-943586000,-1618194000,-1438588000
21,Income Before Tax Ratio,-0.7081,-1.4228,-6.4771,-111.3673,-0.3820,-3.4801,-2.2035,-5.2390,-1.2230
22,Income Tax expense (Gain),- -,- -,- -,54000,2235000,-15796000,6992000,-17671000,-25234000
23,Net Income,-7494000,-18278000,-57102000,-119217000,-93105000,-673769000,-948628000,-1596906000,-1413354000
24,Net Income ratio,-0.6722,-1.4022,-6.4771,-111.4178,-0.3906,-3.3991,-2.2153,-5.1701,-1.2015
25,EPS,-0.08,-1.04,-1.81,-3.00,-2.04,-12.09,-15.86,-19.11,-16.93
26,EPS Diluted,-0.08,-1.04,-1.81,-3.00,-2.04,-12.09,-15.86,-19.11,-16.93
27,Weighted Average Shares Outstanding,92030092,16664857,31517155,39679508,45544025,55442601,60053945,83471676,83471676
28,Weighted Average Shares Outstanding Diluted,92030092,16664857,31517155,39679508,45544025,55442601,60053945,83471676,83471676
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1651308/000110465916108727/0001104659-16-108727-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000104746917001890/0001047469-17-001890-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000155837018001303/0001558370-18-001303-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130819000018/0001651308-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130820000020/0001651308-20-000020-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130821000039/0001651308-21-000039-index.htm,https://www.sec.gov/Archives/edgar/data/1651308/000165130822000032/0001651308-22-000032-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,3926000,13898000,17869000,87514000,239602000,712937000,618011000,1381950000,4000
32,Short-Term Investments,- -,30497000,82617000,280660000,597914000,1068509000,364728000,3268725000,- -
33,Cash and Short-Term Investments,3926000,44395000,100486000,368174000,837516000,1781446000,982739000,4650675000,4000
34,Net Receivables,- -,- -,- -,- -,29428000,52764000,72810000,79673000,- -
35,Inventory,- -,- -,- -,- -,10930000,16242000,28553000,89293000,- -
36,Other Current Assets,508000,2793000,5783000,6225000,35623000,93390000,88594000,141049000,- -
37,Total Current Assets,4434000,47188000,106269000,374399000,913497000,1943842000,1172696000,4960690000,- -
38,PP&E,7052000,5931000,6612000,25977000,62568000,157061000,324922000,399536000,- -
39,Goodwill,- -,- -,- -,- -,109000,109000,109000,109000,- -
40,Intangible Assets,- -,- -,- -,- -,19715000,52230000,5846000,53731000,- -
41,Intangible Assets,- -,- -,- -,- -,19824000,52339000,5955000,53840000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,49344000,- -
43,Tax Assets,- -,- -,- -,768000,7675000,29542000,37894000,65962000,- -
44,Other Non-Current Assets,312000,502000,3883000,4669000,42915000,66900000,70822000,71385000,- -
45,Total Non-Current Assets,7364000,6433000,10495000,31414000,132982000,305842000,439593000,640067000,- -
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,8645949000
47,Total Assets,11798000,53621000,116764000,405813000,1046479000,2249684000,1612289000,5600757000,8645949000
48,Accounts Payable,2063000,2794000,8980000,11957000,69779000,113283000,122488000,231957000,262400000
49,Short-Term Debt,12126000,322000,14598000,- -,9222000,8727000,10814000,348910000,- -
50,Tax Payable,- -,- -,- -,804000,9156000,13918000,23102000,34753000,- -
51,Deferred Revenue,7860000,8906000,1070000,- -,12233000,18140000,- -,- -,407703000
52,Other Current Liabilities,9685000,1349000,10524000,23101000,58754000,106302000,177010000,494332000,- -
53,Total Current Liabilities,31734000,13371000,35172000,35058000,149988000,246452000,310312000,1075199000,- -
54,Long-Term Debt,15238000,13516000,6188000,17284000,155493000,189673000,240695000,183637000,- -
55,Deferred Revenue,- -,- -,- -,- -,56612000,47693000,46391000,49139000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,11139000,10532000,10792000,- -
57,Other Non-Current Liabilities,3552000,966000,1085000,564000,155000,1080000,26004000,412747000,- -
