,https://roic.ai/company/AYTU,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,1750,- -,- -,1750,1750,1000,261782,2562445,3222000,3660000,7320357,27632080,65632000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,88109,957076,1417355,2050544,2202041,7553031,36432000
3,Gross Profit,- -,- -,- -,1750,- -,- -,1750,- -,- -,173673,1605369,1804645,1609456,5118316,20079049,29200000
4,Gross Profit Ratio,- -,- -,- -,1.0000,- -,- -,1.0000,- -,- -,0.6634,0.6265,0.5601,0.4397,0.6992,0.7267,0.4449
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,3423353,6319763,1347817,167595,589072,1721419,5623000
6,General and Administrative Exp.,- -,- -,54984,54862,54161,129369,58106,47984,53599,4382640,8825296,17608000,17732000,19239626,- -,25500000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,30308000
8,"Selling, General and Administrative Exp.",- -,- -,54984,54862,54161,129369,58106,47984,53599,4382640,8825296,17608000,17732000,19239626,- -,55808000
9,Other Expenses,- -,46890,- -,2710,2580,4250,- -,6180,4890,- -,664707,1708771,1553705,2136255,39292898,6009000
10,Operating Expenses,- -,46890,54984,57572,56741,133619,58106,54164,58489,7805993,15809766,20664588,19453300,21964953,41014317,67440000
11,COGS and Expenses,- -,46890,54984,57572,56741,133619,58106,54164,58489,7894102,16766842,22081943,21503844,24166994,48567348,103872000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,2064,- -,3072,3803,3183,3319,4904,4234,114994,5491486,2534358,749423,- -,- -,- -
14,Depreciation and Amortization,- -,6420,7515,8283,9185,6763,6150,4942,4780,118202,874789,4364680,2591270,2727067,6245827,9201000
15,EBITDA,- -,-40470,-47469,-47539,-47556,-126856,-50206,-47472,-52709,-7514118,-21813809,-15609266,-6847170,-24404841,-7374852,-48829000
16,EBITDA ratio,- -,-Infinity,-Infinity,-27.1651,-Infinity,-Infinity,-28.6891,-27.1269,-52.7090,-28.7037,-8.5129,-4.8446,-1.8708,-3.3338,-0.2669,-0.7440
17,Operating Income,- -,-46890,-54984,-55822,-56741,-133619,-56356,-52414,-57489,-7632320,-21704397,-20125236,-19700234,-16846637,-21130546,-58870000
18,Operating Income ratio,- -,-Infinity,-Infinity,-31.8983,-Infinity,-Infinity,-32.2034,-29.9509,-57.4890,-29.1553,-8.4702,-6.2462,-5.3826,-2.3013,-0.7647,-0.8970
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,274,- -,- -,-4904,-4234,-114994,-6475687,-2383068,9512371,-10285271,7509867,840000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-57318,-61723,-7747314,-28180084,-22508304,-10187863,-27131908,-13620679,-58030000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-32.7531,-61.7230,-29.5945,-10.9973,-6.9858,-2.7836,-3.7064,-0.4929,-0.8842
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,-23910,- -,- -,- -,- -,- -,259000
23,Net Income,- -,-48954,-57173,-58894,-60270,-136802,-59675,-57318,-61723,-7723404,-28180084,-22508304,-10187863,-27131908,-13620679,-58289000
24,Net Income ratio,- -,-Infinity,-Infinity,-33.6537,-Infinity,-Infinity,-34.1000,-32.7531,-61.7230,-29.5032,-10.9973,-6.9858,-2.7836,-3.7064,-0.4929,-0.8881
25,EPS,- -,-9790.80,-11434.60,-11778.80,-10045.00,-17100.25,-7459.38,-7164.75,-6858.11,-26004.73,-30139.13,-9660.00,-153.10,-34.80,-3.00,-3.48
26,EPS Diluted,- -,-9790.80,-11434.60,-11778.80,-10045.00,-17100.25,-7459.38,-7164.75,-6858.11,-26004.73,-30139.13,-9660.00,-153.10,-34.80,-3.00,-3.48
27,Weighted Average Shares Outstanding,- -,5,5,5,6,8,8,8,9,297,935,2330,66560,779448,4519201,16746679
28,Weighted Average Shares Outstanding Diluted,- -,5,5,5,6,8,8,8,9,297,935,2330,66560,779448,4519201,16746679
