,https://roic.ai/company/IPDN,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,4384654,5569342,6154111,4030000,11643730,38181600,26227070,16080260,7620920,5025212,4456736,6098599
2,COGS,722003,817254,805447,1150000,2153900,5576180,3082470,2693410,999960,884374,787184,1908961
3,Gross Profit,3662651,4752088,5348664,2880000,9489830,32605420,23144600,13386850,6620960,4140838,3669552,4189638
4,Gross Profit Ratio,0.8353,0.8533,0.8691,0.7146,0.8150,0.8540,0.8825,0.8325,0.8688,0.8240,0.8234,0.6870
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,897221,723093,1222158,2268118,6392109,15670331,11332640,13874730,8016716,4273941,6429445,4623083
7,Selling and Marketing Exp.,657811,1021839,1482556,1566262000,8040797,22501594,13315008,10285411,3969508,2159315,1915422,163485
8,"Selling, General and Administrative Exp.",1555032,1744932,2704714,1568530118,14432906,38171925,24647648,24160141,11986224,6433256,8344867,4786568
9,Other Expenses,88030,108592,112943,-1563633505,1084451,3650747,3323711,3197191,2617774,703717,169902,- -
10,Operating Expenses,1643062,1853524,2817657,4896613,15517357,41822672,27971359,27357332,14603998,7136973,8514769,4786568
11,COGS and Expenses,2365065,2670778,3623104,6050000,18436500,74552970,29665420,39348350,22159600,8021347,9301953,8989063
12,Interest Income ,17403,17540,13095,25765,84519,46693,8532,8165,299,8017,- -,8245
13,Interest Expense (Gain),171685,170452,172411,155136,3370,84728,1567317,12399,4637,8017,- -,- -
14,Depreciation and Amortization,88030,108592,112943,281648,1084450,3650747,3323711,3197191,2617775,855237,286001,385161
15,EBITDA,2125022,3024696,2657045,-1383216,-5890339,-32600298,-507106,-20823474,-14022310,-3158710,-4100789,-2393362
16,EBITDA ratio,0.4846,0.5431,0.4318,-0.3432,-0.5059,-0.8538,-0.0193,-1.2950,-1.8400,-0.6286,-0.9201,-0.3924
17,Operating Income,2019589,2898564,2531007,-2010355,-5597570,-33931811,-3586463,-24037250,-16153791,-2996135,-4845217,-2890464
18,Operating Income ratio,0.4606,0.5204,0.4113,-0.4988,-0.4807,-0.8887,-0.1367,-1.4948,-2.1197,-0.5962,-1.0872,-0.4740
19,Total Other Income Expenses (Gains),-154282,-152912,-159316,190355,-1122610,-2403959,-1811677,773340,1633171,26505,652040,7999
20,Income Before Tax,1865307,2745652,2371691,-1820000,-6720180,-36335770,-5398140,-23263910,-14520620,-2969630,-4193177,-2882465
21,Income Before Tax Ratio,0.4254,0.4930,0.3854,-0.4516,-0.5772,-0.9517,-0.2058,-1.4467,-1.9054,-0.5909,-0.9409,-0.4726
22,Income Tax expense (Gain),745465,1127491,- -,-380000,-3320079,1919497,-1289634,-1745514,-1563712,-177501,-35215,-21540
23,Net Income,1119842,1618161,2371691,-1440000,-3658080,-38255270,-4108500,-22287550,-15081010,-3844463,-4351575,-2756983
24,Net Income ratio,0.2554,0.2905,0.3854,-0.3573,-0.3142,-1.0019,-0.1567,-1.3860,-1.9789,-0.7650,-0.9764,-0.4521
25,EPS,2.40,3.52,3.04,-1.84,-3.68,-20.56,-1.98,-5.68,-3.29,-0.59,-0.39,-0.24
