,https://roic.ai/company/OCX,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,1216000,7727000
2,COGS,- -,- -,- -,- -,- -,- -,- -,1855000,7539000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,-639000,188000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.5255,0.0243
5,Research and Development Exp.,2943000,3962000,4527000,5677000,7174000,6514000,6794000,9800000,13631000
6,General and Administrative Exp.,552000,1011000,4191000,5463000,9232000,7007000,13281000,16788000,22336000
7,Selling and Marketing Exp.,- -,- -,- -,- -,2443000,1681000,2164000,6494000,11167000
8,"Selling, General and Administrative Exp.",552000,1011000,4191000,5463000,11675000,8688000,15445000,23282000,33503000
9,Other Expenses,-495000,27000,282000,-140000,151000,-202000,-239000,- -,- -
10,Operating Expenses,3000000,5000000,9000000,11000000,19000000,15000000,22000000,33082000,47134000
11,COGS and Expenses,3495000,4973000,8718000,11140000,18849000,15202000,22239000,34937000,54673000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,2000,19000,28000,217000,216000,299000,- -,209000
14,Depreciation and Amortization,277000,281000,283000,387000,580000,559000,351000,1898000,4205000
15,EBITDA,-3218000,-4692000,-8435000,-10753000,-18269000,-14643000,-21888000,-29288000,-68944000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.0855,-8.9225
17,Operating Income,-3495000,-4973000,-8718000,-11140000,-18849000,-15202000,-22239000,-29711000,-74212000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.4334,-9.6042
19,Total Other Income Expenses (Gains),- -,-13000,-17000,-28000,-526000,-552000,-187000,-1475000,854000
20,Income Before Tax,-3495000,-4986000,-8735000,-11168000,-19375000,-15754000,-22426000,-31186000,-73358000
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-25.6464,-9.4937
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,-1254000,-9261000
23,Net Income,-3495000,-4986000,-8735000,-11168000,-19375000,-15754000,-22426000,-29932000,-64097000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-24.6151,-8.2952
25,EPS,-0.54,-0.77,-0.42,-0.42,-0.64,-0.42,-0.44,-0.46,-0.72
26,EPS Diluted,-0.54,-0.77,-0.42,-0.42,-0.64,-0.42,-0.44,-0.46,-0.72
27,Weighted Average Shares Outstanding,6492306,6492306,21009000,26529000,30195000,37850000,51296000,65478000,88920000
28,Weighted Average Shares Outstanding Diluted,6492306,6492306,21009000,26529000,30195000,37850000,51296000,65478000,88920000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1642380/000114036116066867/0001140361-16-066867-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000114036117009369/0001140361-17-009369-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315218005986/0001493152-18-005986-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315219006166/0001493152-19-006166-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315220007252/0001493152-20-007252-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315221006465/0001493152-21-006465-index.htm,https://www.sec.gov/Archives/edgar/data/1642380/000149315222006677/0001493152-22-006677-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,101000,257000,7996000,10174000,7600000,8034000,22072000,7143000,35605000
32,Short-Term Investments,4630000,3280000,2541000,2237000,760000,428000,379000,675000,904000
33,Cash and Short-Term Investments,4731000,3537000,10537000,12411000,8360000,8462000,22451000,7818000,36509000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,203000,1637000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,304000
36,Other Current Assets,120000,114000,388000,285000,168000,180000,505000,1205000,693000
37,Total Current Assets,4851000,3651000,10925000,12696000,8528000,8642000,22956000,9226000,39143000
38,PP&E,148000,118000,576000,688000,822000,614000,3728000,6524000,8527000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,9187000,18684000
40,Intangible Assets,1714000,1472000,1230000,988000,746000,- -,- -,15009000,91245000
41,Intangible Assets,1714000,1472000,1230000,988000,746000,- -,- -,24196000,109929000
42,Investments,- -,- -,- -,- -,- -,- -,10964000,13417000,- -
43,Tax Assets,1574000,1115000,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,75000,120000,262000,2211000,2056000,1964000
45,Total Non-Current Assets,3436000,2705000,1806000,1751000,1688000,876000,16903000,46193000,120420000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,8287000,6356000,12731000,14447000,10216000,9518000,39859000,55419000,159563000
48,Accounts Payable,103000,144000,285000,422000,175000,166000,469000,432000,2447000
49,Short-Term Debt,2963000,5889000,1125000,1125000,800000,800000,1125000,2390000,2132000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1606000,1397000,904000,2728000,3479000,4595000,2846000,6174000,9541000
53,Total Current Liabilities,4672000,7430000,2314000,4275000,4454000,5561000,4440000,8996000,14120000
54,Long-Term Debt,- -,- -,- -,- -,1070000,347000,1905000,1508000,3545000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,310000,289000,187000,2676000,11432000,76681000
58,Total Non-Current Liabilities,- -,- -,- -,310000,1359000,534000,4581000,12940000,80226000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,512000,627000,572000,2906000,4734000,4364000
61,Total Liabilities,4672000,7430000,2314000,4585000,5813000,6095000,9021000,21936000,94346000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,15398000,15147000,34901000,45818000,59968000,74742000,124583000,157160000,252954000
64,Retained Earnings,-10413000,-15399000,-24134000,-35302000,-54677000,-71319000,-93745000,-123677000,-187774000
65,Other Comprehensive Income/Loss,-94000,-133000,-174000,-319000,-657000,-948000,-343000,- -,37000
66,Other Total Stockholders Equity,-1276000,-689000,-176000,-335000,-231000,948000,343000,- -,- -
67,Total Stockholders Equity,3615000,-1074000,10417000,9862000,4403000,3423000,30838000,33483000,65217000
68,Total Liabilities And Stockholders Equity,8287000,6356000,12731000,14447000,10216000,9518000,39859000,55419000,159563000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,8287000,6356000,12731000,14447000,10216000,9518000,39859000,55419000,159563000
