,https://roic.ai/company/ETCK,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,473596,179393,48093,641419,396141,268435,404335,231314,113056,125608,278314,185894,279836,200566,232804,194681,51815,95455,67068
2,COGS,- -,- -,249412,126489,29198,240770,73756,48057,68531,40583,30646,42101,66909,32351,91780,33762,45475,45495,12279,13188,9987
3,Gross Profit,- -,- -,224184,52904,18895,400649,322385,220378,335804,190731,82410,83507,211405,153543,188056,166804,187329,149186,39536,82267,57081
4,Gross Profit Ratio,- -,- -,0.4734,0.2949,0.3929,0.6246,0.8138,0.8210,0.8305,0.8246,0.7289,0.6648,0.7596,0.8260,0.6720,0.8317,0.8047,0.7663,0.7630,0.8618,0.8511
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,418491,944762,579136,1521106,1333800,1535062,1184611,1239277,2318518,853879,869633,997407,927379,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,425879,790189,788513,712238,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,2841541,- -,- -,- -,- -,844370,1734951,1367649,2233344,1333800,1535062,1184611,1239277,2318518,853879,869633,997407,927379,397032
9,Other Expenses,21251,15584,- -,1916134,12244209,1132348,553171,38343,623263,620142,33304,47742,35248,14828,5007,16018,7994,7898,19496,-535008,- -
10,Operating Expenses,21251,15584,2841541,1916134,12244209,1132348,553171,882713,2358214,1987791,2266648,1381542,1570310,1199439,1244284,2334536,861873,877531,1016903,392371,397032
11,COGS and Expenses,21251,15584,3090953,2042623,12273407,1373118,626927,930770,2426745,2028374,2297294,1423643,1637219,1231790,1336064,2368298,907348,923026,1029182,405559,407019
12,Interest Income ,347,299,- -,- -,- -,67520,23765,12074,291,32,17,15,6,5,4,3,19,49,36,3,4
13,Interest Expense (Gain),- -,- -,- -,- -,46850,40000,66033,52541,39016,99343,244975,313947,325964,196366,199193,209147,216440,214182,231588,252775,272414
14,Depreciation and Amortization,- -,- -,38083,36507,40389,48214,46332,38343,623263,643856,159373,209727,177267,14828,8937,16018,7994,7898,19496,15284,12708
15,EBITDA,-21251,-15584,-2579163,-1826380,-12873123,-550835,-892034,-1433086,-1391516,-2019768,-1874628,-1087866,-1202136,-1079305,-1046987,-2141259,-712085,-710322,-957307,-843859,-918456
16,EBITDA ratio,-Infinity,-Infinity,-5.4459,-10.1809,-267.6714,-0.8588,-2.2518,-5.3387,-3.4415,-8.7317,-16.5814,-8.6608,-4.3194,-5.8060,-3.7414,-10.6761,-3.0587,-3.6486,-18.4755,-8.8404,-13.6944
17,Operating Income,-21251,-15584,-2617357,-1863230,-12225314,-731699,-605453,-662335,-2022410,-1797060,-2184238,-1298035,-1358905,-1045896,-1056228,-2167732,-674544,-728345,-977367,-860396,-339951
18,Operating Income ratio,-Infinity,-Infinity,-5.5266,-10.3863,-254.2015,-1.1408,-1.5284,-2.4674,-5.0018,-7.7689,-19.3200,-10.3340,-4.8826,-5.6263,-3.7745,-10.8081,-2.8975,-3.7412,-18.8626,-9.0136,-5.0688
