,https://roic.ai/company/SAP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3722150000,3083221462,4325799978,5114027439,6261951017,7343627940,7419542341,7012344930,7508942094,8505967323,9401403882,10258557590,11563118980,10672000000,12464000000,14233000000,16223000000,16815000000,17561000000,20793000000,22062000000,23460000000,24708000000,27553000000,27338000000,27840000000
2,COGS,394384000,306163330,1761339762,2006136047,2247786456,2853607490,2818705149,2528681437,2585853144,2915626172,3177733675,3406030420,3941531580,3565000000,3894000000,4355000000,5065000000,4999000000,5272000000,6626000000,6583000000,7051000000,7462000000,8355000000,7886000000,- -
3,Gross Profit,3327766000,2777058132,2564460216,3107891392,4014164562,4490020450,4600837192,4483663494,4923088949,5590341150,6223670206,6852527170,7621587400,7107000000,8570000000,9878000000,11158000000,11816000000,12289000000,14167000000,15479000000,16409000000,17246000000,19198000000,19452000000,- -
4,Gross Profit Ratio,0.8940,0.9007,0.5928,0.6077,0.6410,0.6114,0.6201,0.6394,0.6556,0.6572,0.6620,0.6680,0.6591,0.6659,0.6876,0.6940,0.6878,0.7027,0.6998,0.6813,0.7016,0.6994,0.6980,0.6968,0.7115,- -
5,Research and Development Exp.,- -,- -,- -,745222251,968967702,899128000,910212142,994202581,1019268685,1087805627,1334712608,1460217230,1630631800,1591000000,1729000000,1939000000,2253000000,2282000000,2331000000,2845000000,3044000000,3352000000,3624000000,4292000000,4454000000,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,564000000,636000000,715000000,947000000,866000000,892000000,1048000000,1005000000,1075000000,1098000000,1629000000,1356000000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2199000000,2645000000,3081000000,3907000000,4131000000,4304000000,5401000000,6265000000,6924000000,6781000000,7693000000,7106000000,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2763000000,3281000000,3796000000,4854000000,4997000000,5196000000,6449000000,7270000000,7999000000,7879000000,9322000000,8462000000,- -
9,Other Expenses,2458810000,1962157129,1717001442,1565895027,2242878004,2278165570,9436870239,1768450912,1879929531,2173573089,2323183617,2655002770,3151357580,-33000000,-9000000,- -,-28000000,-13000000,-4000000,-1000000,3000000,-1000000,20000000,-18000000,-84000000,- -
10,Operating Expenses,2458810000,1962157129,1717001442,2311117279,3211845706,3177293570,10347082381,2762653492,2899198216,3261378716,3657896225,4115220000,4781989380,4321000000,5001000000,5735000000,7079000000,7266000000,7523000000,9293000000,10317000000,11350000000,11523000000,13596000000,12832000000,- -
11,COGS and Expenses,2853194000,2268320459,3478341204,4317253325,5459632162,6030901060,13165787530,5291334929,5485051360,6177004888,6835629900,7521250420,8723520960,7886000000,8895000000,10090000000,12144000000,12265000000,12795000000,15919000000,16900000000,18401000000,18985000000,21951000000,20718000000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000000,73000000,123000000,107000000,115000000,127000000,241000000,230000000,463000000,371000000,787000000,1473000000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,101000000,140000000,161000000,175000000,181000000,152000000,246000000,268000000,278000000,418000000,589000000,697000000,- -
14,Depreciation and Amortization,164591000,98725356,138642516,172809149,223214223,279853590,221414003,215140840,209514398,203390902,214226240,261316470,548093420,499000000,534000000,724000000,863000000,951000000,1010000000,1289000000,1268000000,1272000000,1362000000,1872000000,1831000000,1775000000
15,EBITDA,1131804000,924489985,1095241770,1150955901,1248913402,1337452900,1329734313,1981755161,2275777471,2515094796,2887011053,3106305230,3240431740,3033000000,3010000000,5652000000,4861000000,5529000000,5517000000,5534000000,6411000000,6538000000,7374000000,7008000000,9611000000,7155000000
16,EBITDA ratio,0.3041,0.2998,0.2532,0.2251,0.1994,0.1821,0.1792,0.2826,0.3031,0.2957,0.3071,0.3028,0.2802,0.2842,0.2415,0.3971,0.2996,0.3288,0.3142,0.2661,0.2906,0.2787,0.2984,0.2543,0.3516,0.2570
17,Operating Income,943629000,814901003,847458774,796774114,802318856,1312726880,-5792393714,1721010001,2016890150,2328962435,2565198137,2737307170,2839598020,2588000000,2591000000,4881000000,4065000000,4479000000,4331000000,4252000000,5135000000,4877000000,5703000000,4473000000,6623000000,4656000000
18,Operating Income ratio,0.2535,0.2643,0.1959,0.1558,0.1281,0.1788,-0.7807,0.2454,0.2686,0.2738,0.2729,0.2668,0.2456,0.2425,0.2079,0.3429,0.2506,0.2664,0.2466,0.2045,0.2328,0.2079,0.2308,0.1623,0.2423,0.1672
19,Total Other Income Expenses (Gains),23584000,10863626,109140480,181372638,223380323,-255127570,6900714025,45604319,54220955,-14365090,109396798,124828340,-86919140,-153000000,-253000000,-113000000,-241000000,-83000000,24000000,-261000000,-272000000,149000000,-103000000,123000000,597000000,- -
20,Income Before Tax,967213000,825764629,956599254,978146752,1025699178,1057599310,1108320310,1766614320,2071111106,2314597344,2674594935,2862135510,2752678880,2435000000,2338000000,4768000000,3824000000,4396000000,4355000000,3991000000,4863000000,5026000000,5600000000,4596000000,7220000000,- -
21,Income Before Tax Ratio,0.2599,0.2678,0.2211,0.1913,0.1638,0.1440,0.1494,0.2519,0.2758,0.2721,0.2845,0.2790,0.2381,0.2282,0.1876,0.3350,0.2357,0.2614,0.2480,0.1919,0.2204,0.2142,0.2266,0.1668,0.2641,- -
22,Income Tax expense (Gain),399677000,358040551,420361380,376697093,391642249,476537840,599246595,691431002,756709931,816432572,801550401,922495150,824654320,685000000,525000000,1329000000,1000000000,1071000000,1075000000,935000000,1229000000,970000000,1511000000,1226000000,1938000000,- -
23,Net Income,567536000,467724078,536237874,601449658,634056929,581061470,509073715,1075183319,1309553142,1495271321,1871234412,1922493610,1867684000,1748000000,1811000000,3438000000,2823000000,3326000000,3280000000,3064000000,3646000000,4018000000,4083000000,3321000000,5145000000,5380000000
24,Net Income ratio,0.1525,0.1517,0.1240,0.1176,0.1013,0.0791,0.0686,0.1533,0.1744,0.1758,0.1990,0.1874,0.1615,0.1638,0.1453,0.2416,0.1740,0.1978,0.1868,0.1474,0.1653,0.1713,0.1653,0.1205,0.1882,0.1932
25,EPS,0.45,0.37,0.43,1.43,0.50,0.46,0.41,0.87,1.06,1.20,1.53,1.59,1.57,1.50,1.53,2.89,2.37,2.79,2.74,2.56,3.03,3.36,3.42,2.80,4.35,4.56
26,EPS Diluted,0.45,0.37,0.43,1.42,0.50,0.46,0.41,0.87,1.05,1.20,1.52,1.59,1.57,1.50,1.53,2.89,2.37,2.78,2.74,2.56,3.03,3.35,3.42,2.80,4.35,4.56
27,Weighted Average Shares Outstanding,1251600000,1251600000,1254768000,1254768000,1257073000,1255432569,1256919330,1237484498,1237950821,1243409213,1224094416,1205766169,1190000000,1188000000,1188000000,1189000000,1191000000,1193000000,1195000000,1197000000,1198000000,1197000000,1194000000,1194000000,1182000000,1179579340
28,Weighted Average Shares Outstanding Diluted,1251600000,1251600000,1254768000,1254768000,1257073000,1255432569,1256919330,1241060895,1243845826,1248579308,1232147347,1205766169,1191000000,1188000000,1188000000,1190000000,1192000000,1195000000,1198000000,1198000000,1199000000,1198000000,1194000000,1194000000,1182000000,1179579340
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,737394000,504150405,620480682,711541715,1086262654,866534610,1149505768,1338051714,3194180956,3211132139,2398547252,1610422760,1276490180,1884000000,3518000000,4965000000,2477000000,2748000000,3328000000,3411000000,3702000000,4011000000,8627000000,5314000000,5311000000,8898000000
32,Short-Term Investments,164891000,84457188,- -,- -,95601940,97780170,1350358,1349851,10156378,209405766,930878992,598764510,382156880,486000000,158000000,993000000,15000000,38000000,41000000,27000000,196000000,39000000,448000000,297000000,1635000000,2758000000
33,Cash and Short-Term Investments,902285000,588607593,620480682,711541715,1181864594,964314780,1150856126,1339401565,3204337335,3420537905,3329426244,2209187270,1658647060,2370000000,3676000000,5958000000,2492000000,2786000000,3369000000,3438000000,3898000000,4050000000,9075000000,5611000000,6946000000,11656000000
34,Net Receivables,1611764000,1234182402,1515262086,1846997473,2197353981,2390556570,2033140530,1767624326,1927675131,2249317828,2440001230,3240049880,3597446720,2546000000,3099000000,3493000000,4182000000,4189000000,4818000000,5818000000,7114000000,7207000000,6655000000,8413000000,6804000000,6974000000
35,Inventory,7799000,3798178,18843786,3140376,5798574,4495640,10739019,10356533,11683376,19360873,3976357,4801090,9338420,11000000,12000000,11000000,59000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,217611000,84487188,148703904,956513931,188535641,- -,289400789,1259253765,537247918,635071407,550191290,964333220,515768120,328000000,356000000,207000000,265000000,377000000,793000000,483000000,552000000,673000000,890000000,1189000000,1319000000,1414000000
37,Total Current Assets,2739459000,1911075362,2303290458,3518193495,3573552790,3359366990,3484136464,4376636190,5680943760,6324288013,6323595121,6418371460,5781200320,5255000000,7143000000,9669000000,6998000000,7352000000,8980000000,9739000000,11564000000,11930000000,16620000000,15213000000,15069000000,20044000000
38,PP&E,621903000,431309569,645037290,794869018,870308893,996908170,1035152227,1017877379,998345129,1094133730,1206103065,1318242140,1405073040,1371000000,1449000000,1551000000,1708000000,1820000000,2102000000,2192000000,2580000000,2967000000,3553000000,5496000000,5041000000,4977000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,987510258,1425237860,5008266480,4994000000,8431000000,8709000000,13274000000,13688000000,20945000000,22689000000,23311000000,21274000000,23725000000,29162000000,27560000000,31090000000
40,Intangible Assets,- -,41092686,77336262,119974304,116043883,499016040,441163167,420600867,524505234,765661679,262561558,403977430,1127075460,894000000,2376000000,2024000000,3234000000,2956000000,4608000000,4280000000,3786000000,2967000000,3227000000,4491000000,3784000000,3966000000
41,Intangible Assets,5742000,41092686,77336262,119974304,116043883,499016040,441163167,420600867,524505234,765661679,1250071816,1829215290,6135341940,5888000000,10807000000,10733000000,16508000000,16644000000,25553000000,26969000000,27097000000,24241000000,26952000000,33653000000,31344000000,35056000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000000,475000000,577000000,261000000,358000000,645000000,939000000,990000000,859000000,1536000000,2336000000,3512000000,6275000000
43,Tax Assets,- -,45479955,- -,- -,305331231,479909570,402653649,263991154,205449044,250507621,68483811,146090310,186768400,398000000,736000000,465000000,660000000,294000000,355000000,453000000,570000000,1022000000,1015000000,1251000000,1173000000,1779000000
44,Other Non-Current Assets,- -,133826230,192019032,397455379,718651587,863162880,251720355,235718128,170625384,621271160,653756147,670780860,686733040,356000000,231000000,230000000,699000000,625000000,872000000,1098000000,1476000000,1478000000,1815000000,2266000000,2332000000,3038000000
45,Total Non-Current Assets,627645000,651708439,914392584,1312298701,2010335594,2838996660,2130689398,1938187529,1898924791,2731574191,3178414839,3964328600,8413916420,8119000000,13698000000,13556000000,19836000000,19741000000,29527000000,31651000000,32713000000,30567000000,34871000000,45002000000,43402000000,51125000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,3367104000,2562783801,3217683042,4830492196,5583888384,6198363650,5614825861,6314823718,7579868550,9055862204,9502009960,10382700060,14195116740,13374000000,20841000000,23225000000,26834000000,27093000000,38507000000,41390000000,44277000000,42497000000,51491000000,60215000000,58471000000,71169000000
48,Accounts Payable,- -,160890748,234396234,301680855,355397435,- -,329123437,286361361,340209164,383146189,609986669,716048280,538036660,638000000,922000000,937000000,684000000,640000000,756000000,893000000,1015000000,952000000,1486000000,1581000000,1213000000,1580000000
49,Short-Term Debt,- -,82457190,96265314,24671831,146814869,- -,22677827,19009872,27764800,24281511,24555975,25377190,2573812220,4000000,1000000,1331000000,600000000,586000000,2154000000,567000000,1430000000,1299000000,768000000,2531000000,1482000000,4167000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,125000000,164000000,409000000,947000000,921000000,878000000,827000000,868000000,1165000000,611000000,255000000,414000000,950000000
51,Deferred Revenue,- -,- -,- -,- -,- -,377633760,- -,- -,- -,- -,405121689,478051390,610589000,598000000,911000000,1046000000,1467000000,1488000000,1793000000,2111000000,2528000000,2829000000,3028000000,4266000000,4150000000,4431000000
52,Other Current Liabilities,- -,165918925,201739356,1458892664,306485409,1428489610,373939710,796917093,360325697,953820384,1733384082,1984907780,2110482920,2176000000,3315000000,2952000000,3890000000,3633000000,3841000000,4296000000,4701000000,5130000000,5199000000,6084000000,5997000000,5958000000
53,Total Current Liabilities,- -,409266863,532400904,1785245350,808697713,1806123370,725740974,1102288327,728299661,1361248085,2773048416,3204384640,5832920800,3416000000,5149000000,6266000000,6641000000,6347000000,8544000000,7867000000,9674000000,10210000000,10481000000,14462000000,12842000000,16136000000
54,Long-Term Debt,8669000,2381816,24727140,1264101,155485047,- -,11327954,12486122,7271312,6921653,1613880,2057610,35917000,699000000,1098000000,1596000000,4375000000,3682000000,8930000000,8628000000,6450000000,5003000000,10535000000,11139000000,11801000000,10980000000
55,Deferred Revenue,18289000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,64000000,63000000,44000000,62000000,74000000,78000000,106000000,143000000,79000000,88000000,89000000,36000000,13000000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,594578948,- -,631566207,523106614,16420658,73388090,157316460,190000000,578000000,474000000,574000000,115000000,513000000,448000000,411000000,240000000,97000000,82000000,158000000,291000000
57,Other Non-Current Liabilities,- -,603246669,741023784,473973234,2079012389,1218318440,1352259665,1438479041,1599917268,1379128038,566086868,588476460,935997020,514000000,4129000000,2138000000,1012000000,828000000,844000000,1046000000,1202000000,1425000000,1413000000,3621000000,3707000000,2226000000
58,Total Non-Current Liabilities,26958000,605628485,765750924,475237335,2234497436,1218318440,1958166568,1450965162,2238754787,1909156305,584121406,663922160,1129230480,1467000000,5868000000,4252000000,6023000000,4699000000,10365000000,10228000000,8206000000,6747000000,12133000000,14931000000,15702000000,13510000000
59,Other Liabilities,1182750000,- -,1531501848,950474669,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2143000000
61,Total Liabilities,1155792000,1014895349,1298151828,2260482684,3043195149,3024441810,2683907542,2553253489,2967054448,3270404390,3357169821,3868306800,6962151280,4883000000,11017000000,10518000000,12664000000,11046000000,18909000000,18095000000,17880000000,16957000000,22614000000,29393000000,28544000000,29646000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,517537000,263600645,- -,268005287,314581692,314694800,315248194,314863068,315770563,316217736,- -,- -,- -,- -,- -,- -,1229000000,1229000000,1229000000,1229000000,1229000000,1229000000,1229000000,1229000000,1229000000,1229000000
64,Retained Earnings,240698000,148768942,166371872,1699497173,1994338940,2547903970,2873702953,3754520831,4826587865,5981641686,6594304120,7170084980,7707788200,8571000000,9767000000,12466000000,13973000000,16258000000,18317000000,20044000000,22302000000,24794000000,27407000000,28783000000,32026000000,37022000000
65,Other Comprehensive Income/Loss,- -,-304521514,-352830708,-478407525,-571305412,-767630530,-125794899,-201626450,-305175265,-117765203,-337297069,-515774240,-660154460,-551000000,-1290000000,-1367000000,-1404000000,-1538000000,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,1448835000,1432684931,2098742440,1072171211,745692788,1016014640,-188467924,-164787428,-246323893,-402245326,- -,- -,- -,- -,- -,- -,365000000,91000000,-42000000,1994000000,2845000000,-514000000,196000000,734000000,-3538000000,602000000
67,Total Stockholders Equity,2207070000,1540533005,1912283604,2561266147,2483308008,3110982880,2874688324,3702970021,4590859270,5777848892,6135385683,6513707390,7230810440,8477000000,9807000000,12699000000,14163000000,16040000000,19504000000,23267000000,26376000000,25509000000,28832000000,30746000000,29717000000,38853000000
68,Total Liabilities And Stockholders Equity,3362862000,2555428354,3210435432,4821748831,5526503157,6135424690,5558595866,6256223510,7557913718,9048253282,9492555504,10382014190,14192961720,13360000000,20824000000,23217000000,26827000000,27086000000,38413000000,41362000000,44256000000,42466000000,51446000000,60139000000,58261000000,68499000000
69,Minority Interest,4242000,7355447,7247610,8743364,57385227,62938960,56229995,58600208,21954832,7608922,9454456,685870,2155020,14000000,17000000,8000000,7000000,7000000,94000000,28000000,21000000,31000000,45000000,76000000,210000000,2670000000
70,Total Liabilities & Equity,3367104000,2562783801,3217683042,4830492196,5583888384,6198363650,5614825861,6314823718,7579868550,9055862204,9502009960,10382700060,14195116740,13374000000,20841000000,23225000000,26834000000,27093000000,38507000000,41390000000,44277000000,42497000000,51491000000,60215000000,58471000000,71169000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,567536000,467724078,536237874,601449658,634056929,581061470,509073715,1075183319,1309553142,1495271321,1871234412,1922493610,1867684000,1748000000,1811000000,3438000000,2823000000,3326000000,3280000000,3064000000,3646000000,4018000000,4083000000,3321000000,5145000000,5380000000
74,Depreciation and Amortization,164591000,98725356,138642516,172809149,223214223,279853590,221414003,215140840,209514398,203390902,214226240,261316470,548093420,499000000,534000000,724000000,863000000,951000000,1010000000,1289000000,1268000000,1272000000,1362000000,1872000000,1831000000,1775000000
75,Deferred Income Tax,- -,- -,-511596,14724986,-131945775,-144984390,103854671,106969340,17963983,-16052022,-2123805,8230440,-66805620,-39000000,- -,- -,1000000000,1071000000,1075000000,935000000,1229000000,970000000,1511000000,1226000000,1938000000,1471000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,578000000,-226000000,2794000000
77,Change in Working Capital,- -,-145175309,-21828096,-156067763,422173669,-39336850,276981683,83486696,286485405,-143378191,-236569003,-296981710,-356296640,730000000,947000000,-744000000,230000000,-292000000,-41000000,-182000000,-42000000,443000000,-786000000,-740000000,591000000,272000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,640000000,- -,-426000000,-297000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,-15006816,-366709,-2661850,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-380000000,408000000,-176000000,573000000,757000000,513000000,389000000,93000000,328000000,293000000,475000000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33638405,224965360,-306012840,253000000,-46000000,62000000,154000000,125000000,16000000,218000000,368000000,718000000,-561000000,984000000,128000000,89000000
82,Other Non-Cash Items,-248630000,932726,-25665066,5625845,-467775418,312446980,576902308,21508685,2078782,67447704,-93954,46639160,165218200,68000000,-360000000,357000000,-1094000000,-1224000000,-1825000000,-1468000000,-1473000000,-1658000000,-1867000000,-2761000000,-2085000000,-5469000000
83,Cash Provided by Operating Activities,483497000,422206851,626875632,638541876,679723628,989040800,1688226380,1502288879,1825595710,1606679715,1846673891,1941697970,2157893360,3015000000,2932000000,3775000000,3822000000,3832000000,3499000000,3638000000,4628000000,5045000000,4303000000,3496000000,7194000000,6223000000
84,CAPEX,- -,-290489710,-388386630,-354492843,-285314119,-377633760,-309026253,-274856661,-211706783,-261563016,-366706806,-401919820,-339056480,-225000000,-334000000,-445000000,-541000000,-566000000,-737000000,-636000000,-1001000000,-1275000000,-1458000000,-817000000,-816000000,-800000000
85,Acquisitions Net,- -,- -,- -,- -,- -,-378757670,- -,- -,-167978588,-236633075,-504248757,-720849370,-4222402520,-73000000,-4194000000,-188000000,-6094000000,-1160000000,-6360000000,-39000000,-106000000,-291000000,-2036000000,-6154000000,-459000000,-1214000000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,-638262753,-580228843,-199249561,-2055157598,-789436370,-395805340,-1073000000,-842000000,-2046000000,-1022000000,-1531000000,-1021000000,-1871000000,-1549000000,-2914000000,-1116000000,-900000000,-2535000000,-4368000000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,540840501,2765112371,1041836530,594785520,1027000000,1332000000,1398000000,1654000000,1421000000,833000000,2146000000,793000000,3272000000,1488000000,778000000,735000000,3229000000
88,Other Investing Activites,-206987000,2307270,136681398,-99855025,-99814051,-284349230,85373723,3426239,73931027,-426406945,27189706,-524690550,594067180,45000000,44000000,55000000,-502000000,-511000000,-692000000,-570000000,-937000000,-1179000000,-1402000000,-745000000,-727000000,-710000000
89,Cash Used for Investing Activites,-206987000,-288182439,-251705232,-454347869,-385128170,-1040740660,-223652529,-909693174,-885983187,-583012097,-133811085,-1395059580,-3768411640,-299000000,-3994000000,-1226000000,-5964000000,-1781000000,-7240000000,-334000000,-1799000000,-1112000000,-3066000000,-7021000000,-2986000000,-3063000000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2303000000,-2196000000,-1005000000,-4714000000,-1625000000,-2062000000,-3852000000,-1800000000,-1391000000,-1407000000,-1712000000,-2808000000,-2326000000
91,Common Stock Issued,11374000,2009998,13130964,489938,125823520,- -,- -,- -,- -,248254158,271825834,200274040,97694240,30000000,150000000,297000000,105000000,49000000,51000000,64000000,27000000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,-682128,- -,- -,-94408440,-279517537,-87999963,-107455633,-454012505,-1202348711,-1006857160,-487034520,- -,-220000000,-246000000,-53000000,- -,- -,- -,- -,-500000000,- -,- -,-1492000000,- -
93,Dividends Paid,-133615000,-121406242,-150323958,-165596221,-165709745,-180949510,-182484225,-186020584,-248532506,-340166589,-447184850,-556926440,-594067180,-594000000,-594000000,-713000000,-1310000000,-1013000000,-1194000000,-1316000000,-1378000000,-1499000000,-1671000000,-1790000000,-1864000000,-2182000000
94,Other Financing Activites,224776000,79974465,24471342,5557274,80756270,149480030,-474728676,-30865534,-15908807,-8541884,2909530,74759830,2264207680,701000000,5370000000,491000000,5778000000,1000000000,7503000000,1748000000,446000000,-16000000,6361000000,3604000000,2167000000,4452000000
95,Cash Used/Provided by Financing Activities,102535000,-39421779,-113403780,-159549009,40870045,-125877920,-936730438,-304886081,-371896946,-554466820,-1374798197,-1288749730,1280800220,-2166000000,2510000000,-1176000000,-194000000,-1589000000,4298000000,-3356000000,-2705000000,-3406000000,3283000000,102000000,-3997000000,-56000000
96,Effect of Forex Changes on Cash,- -,- -,-46469970,64025915,-2158228,-4495640,-160755556,-69408544,-39365556,88656772,-3433093,-49382640,-718340,54000000,186000000,74000000,-152000000,-191000000,23000000,135000000,167000000,-218000000,97000000,110000000,-214000000,484000000
97,Net Change In Cash,379045000,94602633,215381916,88670913,333307274,-180949510,367088809,218301874,528350022,557857569,334631515,-791493980,-331154740,604000000,1634000000,1447000000,-2488000000,271000000,580000000,83000000,291000000,309000000,4616000000,-3313000000,-3000000,3587000000
