,https://roic.ai/company/VTGN,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,1342200,200400,- -,- -,- -,1250000,- -,- -,- -,1089500
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,1342200,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,1.0000,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,5388600,3430800,2480600,2432700,3931600,5203700,7762500,17098500,13374200,12476400
6,General and Administrative Exp.,16350,21540,8518,- -,- -,3562000,2548300,4344000,13918600,6295000,6437000,7458000,7427000,6547000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16350,21540,8518,- -,4997000,3562000,2548300,4344000,13918600,6295000,6437000,7458000,7427000,6547000
9,Other Expenses,36,428,428,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,16386,21968,8946,- -,10385600,6992800,5028900,6776700,17850200,11498700,14199500,24556500,20801200,19023400
11,COGS and Expenses,16386,21968,8946,- -,10385600,6992800,5028900,6776700,17850200,11498700,14199500,24556500,20801200,19023400
12,Interest Income ,- -,- -,- -,- -,- -,30000,10000,5000,- -,- -,- -,- -,45000,15000
13,Interest Expense (Gain),- -,- -,- -,- -,1893200,1004000,1562000,4617000,777000,5000,8900,- -,15000,13000
14,Depreciation and Amortization,36,428,428,- -,45600,33800,54600,59100,53500,54900,80700,91200,103100,117600
15,EBITDA,-16350,-21540,-8518,- -,-10269100,-11845200,-4974300,-6717600,-17796700,-10193200,-14118800,-24465300,-20698100,-17801000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,- -,-7.6509,-59.1078,-Infinity,-Infinity,-Infinity,-8.1546,-Infinity,-Infinity,-Infinity,-16.3387
17,Operating Income,- -,- -,- -,- -,-9043400,-6793100,-5028900,-6777100,-17850200,-10248500,-14199600,-24556300,-20801500,-17933800
18,Operating Income ratio,- -,- -,- -,- -,-6.7377,-33.8977,-Infinity,-Infinity,-Infinity,-8.1988,-Infinity,-Infinity,-Infinity,-16.4606
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-3164500,-6089900,2063900,-7106300,-29368000,-4600,-143900,-30700,30100,2200
20,Income Before Tax,-16386,-21968,-8946,- -,-12207900,-12883000,-2965000,-13883400,-47218200,-10253100,-14343500,-24587000,-20771400,-17931600
21,Income Before Tax Ratio,-Infinity,-Infinity,-Infinity,- -,-9.0954,-64.2864,-Infinity,-Infinity,-Infinity,-8.2025,-Infinity,-Infinity,-Infinity,-16.4586
22,Income Tax expense (Gain),30,30,30,- -,1600,3700,2700,2400,2300,2400,2400,2600,2600,2600
23,Net Income,-16416,-21998,-8976,- -,-12209500,-12886700,-2967700,-13885800,-47220500,-10255500,-14345900,-24589600,-20774000,-17934200
24,Net Income ratio,-Infinity,-Infinity,-Infinity,- -,-9.0966,-64.3049,-Infinity,-Infinity,-Infinity,-8.2044,-Infinity,-Infinity,-Infinity,-16.4609
25,EPS,-0.03,-0.04,-0.02,- -,-16.60,-25.40,-2.80,-10.53,-29.08,-1.54,-1.12,-0.90,-0.50,-0.49
26,EPS Diluted,-0.03,-0.04,-0.02,- -,-16.60,-25.40,-3.80,-10.61,-29.08,-1.54,-1.12,-0.90,-0.50,-0.49
27,Weighted Average Shares Outstanding,520228,584870,584870,- -,736832,905422,1098657,1318797,1767957,7531642,13890041,28562490,43869523,86133644
28,Weighted Average Shares Outstanding Diluted,520228,584870,584870,- -,736832,905422,1098657,1318797,1767957,7531642,13890041,28562490,43869523,86133644
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1411685/000139390509000133/0001393905-09-000133-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000139390510000098/0001393905-10-000098-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000139390511000192/0001393905-11-000192-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1411685/000141588913001409/0001415889-13-001409-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588914001957/0001415889-14-001957-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588915002221/0001415889-15-002221-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000141588916006331/0001415889-16-006331-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495417005976/0001654954-17-005976-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495418006990/0001654954-18-006990-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495419007632/0001654954-19-007632-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495420007107/0001654954-20-007107-index.htm,https://www.sec.gov/Archives/edgar/data/1411685/000165495421007380/0001654954-21-007380-index.htm
