,https://roic.ai/company/CBOE,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,416783000,426082000,437104000,508144000,512338000,572050000,617225000,634545000,656946000,2229100000,2768800000,2496100000,3427100000,3494800000
2,COGS,- -,- -,- -,- -,46135000,56576000,66110000,176499000,191105000,1434900000,1780700000,1558200000,2397700000,2307200000
3,Gross Profit,416783000,426082000,437104000,508144000,466203000,515474000,551115000,458046000,465841000,794200000,988100000,937900000,1029400000,1187600000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,0.9100,0.9011,0.8929,0.7218,0.7091,0.3563,0.3569,0.3757,0.3004,0.3398
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,196959000,215351000,235006000,226970000,114202000,127889000,130780000,79704000,111979000,125300000,129200000,126400000,121700000,160100000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,2293000,900000,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",196959000,215351000,235006000,226970000,114202000,127889000,130780000,81997000,112879000,125300000,129200000,126400000,121700000,160100000
9,Other Expenses,32514000,33146000,34757000,39542000,107904000,101771000,106534000,56121000,54762000,212600000,229500000,225800000,200300000,206000000
10,Operating Expenses,229473000,248497000,269763000,266512000,222106000,229660000,237314000,138118000,167641000,337900000,358700000,352200000,322000000,366100000
11,COGS and Expenses,229473000,248497000,269763000,266512000,268241000,286236000,303424000,314617000,358746000,1772800000,2139400000,1910400000,2719700000,2673300000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,1300000,2300000,1900000,1100000,600000
13,Interest Expense (Gain),19000,875000,896000,879000,- -,- -,- -,43000,5747000,39600000,38700000,36200000,35300000,48000000
14,Depreciation and Amortization,25656000,27725000,29960000,34184000,31573000,34602000,40000000,46355000,44455000,192200000,204000000,176600000,158500000,167400000
15,EBITDA,219082000,205830000,195479000,275147000,274124000,318258000,349697000,370422000,357906000,567300000,815200000,718300000,854200000,971500000
16,EBITDA ratio,0.5257,0.4831,0.4472,0.5415,0.5350,0.5563,0.5666,0.5838,0.5448,0.2545,0.2944,0.2878,0.2492,0.2780
17,Operating Income,187310000,177585000,167341000,241632000,244097000,285814000,313801000,319928000,298200000,371900000,599400000,537200000,662200000,805900000
18,Operating Income ratio,0.4494,0.4168,0.3828,0.4755,0.4764,0.4996,0.5084,0.5042,0.4539,0.1668,0.2165,0.2152,0.1932,0.2306
19,Total Other Income Expenses (Gains),6097000,-355000,-2718000,-1548000,-1546000,-2158000,-4104000,4096000,8404000,-37500000,-28200000,-35800000,-1800000,-49800000
20,Income Before Tax,193407000,177230000,164623000,240084000,242551000,283656000,309697000,324024000,306604000,334400000,571200000,501400000,660400000,756100000
21,Income Before Tax Ratio,0.4640,0.4160,0.3766,0.4725,0.4734,0.4959,0.5018,0.5106,0.4667,0.1500,0.2063,0.2009,0.1927,0.2164
22,Income Tax expense (Gain),78119000,70779000,65227000,100678000,85156000,107657000,119983000,119001000,120884000,-66200000,146000000,130600000,192200000,227100000
23,Net Income,115288000,106451000,99396000,139406000,157395000,175999000,189714000,205023000,186820000,401700000,426500000,374900000,468200000,529000000
24,Net Income ratio,0.2766,0.2498,0.2274,0.2743,0.3072,0.3077,0.3074,0.3231,0.2844,0.1802,0.1540,0.1502,0.1366,0.1514
25,EPS,1.27,1.17,1.03,1.52,1.78,1.99,2.21,2.46,2.27,3.70,3.78,3.35,4.28,4.95
26,EPS Diluted,1.24,1.15,1.03,1.52,1.78,1.99,2.21,2.46,2.27,3.69,3.76,3.34,4.27,4.94
27,Weighted Average Shares Outstanding,90733000,90733000,95754000,89994000,87460000,87331000,85406000,83081000,81432000,107200000,111800000,111400000,109100000,106800000
28,Weighted Average Shares Outstanding Diluted,92951000,92951000,95754000,89994000,87460000,87331000,85406000,83081000,81432000,107500000,112200000,111800000,109300000,107000000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1374310/000104746911002202/a2202482z10-k.htm,- -,https://www.sec.gov/Archives/edgar/data/1374310/000137431013000008/0001374310-13-000008-index.html,- -,https://www.sec.gov/Archives/edgar/data/1374310/000137431015000005/cboe-1231201410k.htm,https://www.sec.gov/Archives/edgar/data/1374310/000137431016000038/0001374310-16-000038-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000137431017000006/0001374310-17-000006-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837018000953/0001558370-18-000953-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837019000884/0001558370-19-000884-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837020001127/0001558370-20-001127-index.html,https://www.sec.gov/Archives/edgar/data/1374310/000155837021001286/0001558370-21-001286-index.htm,https://www.sec.gov/Archives/edgar/data/1374310/000155837022001386/0001558370-22-001386-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,281423000,383730000,53789000,134936000,135597000,221341000,147927000,102253000,97298000,143500000,275100000,229300000,245400000,341900000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,47300000,35700000,71000000,92400000,37100000
33,Cash and Short-Term Investments,281423000,383730000,53789000,134936000,135597000,221341000,147927000,102253000,97298000,190800000,310800000,300300000,337800000,379000000
34,Net Receivables,46828000,43077000,51098000,49529000,62599000,80796000,90586000,96118000,130295000,234500000,357700000,291500000,390400000,369600000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,32974000,6256000,5047000,5217000,4713000,6724000,5594000,5747000,7452000,9400000,15200000,15800000,838600000,782700000
37,Total Current Assets,361225000,433063000,109934000,189682000,202909000,308861000,244107000,204118000,235045000,434700000,683700000,607600000,1566800000,1531300000
38,PP&E,89848000,96165000,86998000,81712000,78958000,72208000,71770000,65274000,60849000,78800000,76600000,100400000,193600000,217600000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,7655000,26468000,2707400000,2691400000,2682100000,2895100000,3025400000
40,Intangible Assets,39367000,39630000,44565000,42169000,42721000,45939000,55673000,59311000,71646000,1943200000,1754700000,1619600000,1766500000,1707100000
41,Intangible Assets,39367000,39630000,44565000,42169000,42721000,45939000,55673000,66966000,98114000,4650600000,4446100000,4301700000,4661600000,4732500000
42,Investments,5699000,3090000,12615000,14305000,14270000,14581000,12351000,48430000,72923000,82700000,86200000,61200000,42700000,245800000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,3494000,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,6190000,18900000,28400000,43000000,51800000,87300000
45,Total Non-Current Assets,134914000,138885000,144178000,138186000,135949000,132728000,139794000,180670000,241570000,4831000000,4637300000,4506300000,4949700000,5283200000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,496139000,571948000,254112000,327868000,338858000,441589000,383901000,384788000,476615000,5265700000,5321000000,5113900000,6516500000,6814500000
48,Accounts Payable,55137000,42958000,40084000,46071000,735000,4219000,2779000,1762000,6466000,43200000,12800000,21000000,28500000,19500000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299800000,- -,68700000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,1774000,1633000,18000,2600000,4100000,4000000,4200000,8200000
51,Deferred Revenue,26379000,207000,280000,351000,1084000,1100000,1988000,4019000,3107000,15400000,8500000,4500000,10200000,15200000
52,Other Current Liabilities,9412000,428987000,8452000,5865000,50331000,102139000,68898000,68216000,80270000,275400000,274800000,256100000,1205900000,1134600000
53,Total Current Liabilities,90928000,472152000,48816000,52287000,52150000,107458000,73665000,73997000,89843000,334000000,595900000,281600000,1313300000,1169300000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,1237900000,915600000,867600000,1267300000,1428500000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,19180000,20576000,20482000,21439000,20989000,13745000,13677000,5309000,- -,488200000,436800000,399700000,377600000,372700000
57,Other Non-Current Liabilities,4371000,4503000,8940000,17872000,26597000,35869000,46492000,45837000,68826000,95000000,131700000,209400000,209400000,239200000
58,Total Non-Current Liabilities,23551000,25079000,29422000,39311000,47586000,49614000,60169000,51146000,68826000,1821100000,1484100000,1476700000,1854300000,2040400000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46700000,132100000,129200000
61,Total Liabilities,114479000,497231000,78238000,91598000,99736000,157072000,133834000,125143000,158669000,2155100000,2080000000,1758300000,3167600000,3209700000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,19574000,19574000,901000,908000,913000,919000,926000,927000,929000,1200000,1200000,1200000,1200000,1100000
64,Retained Earnings,360318000,53352000,133087000,232121000,275491000,349290000,472005000,603597000,710779000,993300000,1288200000,1512600000,1809800000,2145500000
65,Other Comprehensive Income/Loss,-824000,-801000,-972000,-899000,-893000,-1050000,-689000,-824000,-762000,50700000,11500000,37600000,75000000,55600000
66,Other Total Stockholders Equity,2592000,2592000,42858000,4140000,-36389000,-64642000,-222175000,-344055000,-393000000,2065400000,1940100000,1804200000,1462900000,1402600000
67,Total Stockholders Equity,381660000,74717000,175874000,236270000,239122000,284517000,250067000,259645000,317946000,3110600000,3241000000,3355600000,3348900000,3604800000
68,Total Liabilities And Stockholders Equity,496139000,571948000,254112000,327868000,338858000,441589000,383901000,384788000,476615000,5265700000,5321000000,5113900000,6516500000,6814500000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,496139000,571948000,254112000,327868000,338858000,441589000,383901000,384788000,476615000,5265700000,5321000000,5113900000,6516500000,6814500000
