,https://roic.ai/company/YELP,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , 
1,Revenue,25808000,47731000,83285000,137567000,232988000,377536000,549711000,713069000,846813000,942773000,1014194000,872933000,1031839000
2,COGS,1121000,3137000,5931000,9928000,16561000,24382000,51015000,60363000,70518000,57872000,62410000,57186000,78097000
3,Gross Profit,24687000,44594000,77354000,127639000,216427000,353154000,498696000,652706000,776295000,884901000,951784000,815747000,953742000
4,Gross Profit Ratio,0.9566,0.9343,0.9288,0.9278,0.9289,0.9354,0.9072,0.9153,0.9167,0.9386,0.9385,0.9345,0.9243
5,Research and Development Exp.,3243000,6560000,11586000,20473000,38243000,65181000,107786000,138549000,175787000,212319000,230440000,- -,276473000
6,General and Administrative Exp.,4597000,11287000,23162000,31531000,42907000,58274000,80866000,97481000,105673000,120569000,136091000,130450000,135816000
7,Selling and Marketing Exp.,17979000,33919000,54539000,85915000,131970000,201050000,301764000,382854000,438643000,483309000,500386000,437060000,454224000
8,"Selling, General and Administrative Exp.",22576000,45206000,77701000,117446000,174877000,259324000,382630000,480335000,544316000,603878000,636477000,567510000,590040000
9,Other Expenses,1201000,2334000,4238000,7223000,11455000,17590000,29604000,35346000,41198000,42807000,49356000,- -,55683000
10,Operating Expenses,27020000,54100000,93525000,145142000,224575000,342095000,520020000,654230000,761301000,859004000,916273000,567510000,922196000
11,COGS and Expenses,28141000,57237000,99456000,155070000,241136000,366477000,571035000,714593000,831819000,916876000,978683000,911728000,1000293000
12,Interest Income ,20000,- -,13000,51000,62000,727000,622000,1724000,4189000,13804000,- -,2273000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,1201000,2334000,4238000,7223000,11455000,17590000,29604000,35346000,41198000,42807000,49356000,50609000,55683000
15,EBITDA,-1099000,-7157000,-12328000,-11768000,2225000,28870000,8666000,32061000,225547000,82813000,99123000,15484000,89401000
16,EBITDA ratio,-0.0426,-0.1499,-0.1480,-0.0855,0.0095,0.0765,0.0158,0.0450,0.2663,0.0878,0.0977,0.0177,0.0866
17,Operating Income,-2333000,-9506000,-16171000,-18765000,-8823000,11059000,-21324000,-4979000,179485000,25897000,35511000,-38795000,31514000
18,Operating Income ratio,-0.0904,-0.1992,-0.1942,-0.1364,-0.0379,0.0293,-0.0388,-0.0070,0.2120,0.0275,0.0350,-0.0444,0.0305
19,Total Other Income Expenses (Gains),33000,15000,-395000,-226000,-407000,221000,386000,1694000,4864000,14109000,14256000,3670000,2204000
20,Income Before Tax,-2300000,-9491000,-16566000,-18991000,-9230000,11280000,-20938000,-3285000,184349000,40006000,49767000,-35125000,33718000
21,Income Before Tax Ratio,-0.0891,-0.1988,-0.1989,-0.1380,-0.0396,0.0299,-0.0381,-0.0046,0.2177,0.0424,0.0491,-0.0402,0.0327
22,Income Tax expense (Gain),8000,75000,102000,122000,838000,-25193000,11962000,1385000,31491000,-15344000,8886000,-15701000,-5953000
23,Net Income,-2308000,-9566000,-16668000,-19113000,-10068000,36473000,-32900000,-4670000,152858000,55350000,40881000,-19424000,39671000
24,Net Income ratio,-0.0894,-0.2004,-0.2001,-0.1389,-0.0432,0.0966,-0.0598,-0.0065,0.1805,0.0587,0.0403,-0.0223,0.0384
25,EPS,-0.19,-0.64,-1.10,-0.35,-0.15,0.51,-0.44,-0.06,1.87,0.66,0.55,-0.27,0.54
26,EPS Diluted,-0.19,-0.64,-1.10,-0.35,-0.15,0.48,-0.44,-0.06,1.75,0.62,0.52,-0.27,0.54
27,Weighted Average Shares Outstanding,12344000,15291000,15291000,54151000,65695000,71936000,74683000,77186000,81602000,83573000,74627000,73005000,73005000
