,https://roic.ai/company/LODE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,3471,1157,1891,955380,2632112,1255013,395541,- -,- -,- -,473386,5138616,24826587,25583361,18492850,5070217,104329,150289,179632,201700,862165
2,COGS,- -,- -,- -,1946433,4810643,1985611,473594,3896931,2864854,3806896,9823874,4483624,27612890,24138470,12294829,5814223,4468901,2930306,1710407,1156418,1306568
3,Gross Profit,3471,1157,1891,-991053,-2178531,-730598,-78053,-3896931,-2864854,-3806896,-9350488,654992,-2786303,1444891,6198021,-744006,-4364572,-2780017,-1530775,-954718,-444403
4,Gross Profit Ratio,1.0000,1.0000,1.0000,-1.0373,-0.8277,-0.5821,-0.1973,-Infinity,-Infinity,-Infinity,-19.7524,0.1275,-0.1122,0.0565,0.3352,-0.1467,-41.8347,-18.4978,-8.5217,-4.7334,-0.5155
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,79461,- -,- -,- -,- -,414751
6,General and Administrative Exp.,88212,80086,387557,2230578,1956645,1042634,833270,4095879,1548549,3125135,5934505,12669323,9641507,6371954,9610451,3597532,2595331,3403833,3307195,3551800,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",88212,80086,387557,2230578,1956645,1042634,833270,4095879,1548549,3125135,5934505,12669323,9641507,6371954,9610451,3597532,2595331,3403833,3307195,3551800,5546767
9,Other Expenses,- -,- -,1118,443843,302753,373305,277578,148466,154683,131785,269548,18305303,8504992,3765643,9013083,5792345,1918063,1216582,506483,967743,1034486
10,Operating Expenses,88212,80086,388675,2674421,2259398,1415939,1110848,4244345,1703232,3256920,6204053,30974626,18146499,10137597,18623534,9469338,4513394,4620415,3813678,4519543,6996004
11,COGS and Expenses,88212,80086,388675,4620854,7070041,3401550,1584442,8141276,4568086,7063816,16027927,35458250,45759389,34276067,30918363,15283561,8982295,7550721,5524085,5675961,8302572
12,Interest Income ,- -,- -,1891,40142,13526,- -,- -,- -,- -,24557,72928,17309,2101,1014214,3187973,- -,- -,- -,- -,- -,1017947
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,4348029,3291274,80630,929837,1157535,997112,1216887,753670,1710390,1410389,879530,421887,168881
14,Depreciation and Amortization,13265,13264,1118,425708,445193,739348,277578,148466,154683,131785,269549,- -,- -,- -,- -,- -,- -,- -,- -,1217217,522728
