,https://roic.ai/company/DSGX,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20505057,48800000,43665167,66649000,79522000,70383000,59785000,46395000,45729000,51990000,59025000,66044000,73768000,99175000,113990000,126883000,151294000,170860000,184993000,203779000,237439000,275171000,325791000,348664000,424690000
2,COGS,4472580,4700000,21153784,22171000,27701000,26631000,19387000,21053000,18127000,17487000,20640000,22353000,23172000,33875000,38313000,42399000,49043000,54879000,53859000,56051000,63704000,74994000,85721000,89910000,101810000
3,Gross Profit,16032478,44100000,22511383,44478000,51821000,43752000,40398000,25342000,27602000,34503000,38385000,43691000,50596000,65300000,75677000,84484000,102251000,115981000,131134000,147728000,173735000,200177000,240070000,258754000,322880000
4,Gross Profit Ratio,0.7819,0.9037,0.5155,0.6673,0.6517,0.6216,0.6757,0.5462,0.6036,0.6636,0.6503,0.6615,0.6859,0.6584,0.6639,0.6658,0.6758,0.6788,0.7089,0.7249,0.7317,0.7275,0.7369,0.7421,0.7603
5,Research and Development Exp.,3853299,11300000,15028429,16189000,25385000,15223000,9382000,10419000,6991000,9033000,10540000,11458000,14499000,16971000,19044000,21269000,25881000,28077000,31293000,35556000,41804000,47872000,53513000,54066000,62570000
6,General and Administrative Exp.,- -,- -,- -,8618000,10751000,- -,- -,- -,- -,- -,- -,9288000,11991000,13633000,14272000,15691000,20509000,20333000,21607000,23077000,25448000,30012000,34628000,36267000,44454000
7,Selling and Marketing Exp.,- -,- -,- -,23008000,29543000,- -,- -,- -,- -,- -,- -,8992000,10794000,11492000,13009000,13765000,16681000,20404000,22424000,24943000,33128000,36873000,40389000,38785000,46895000
8,"Selling, General and Administrative Exp.",- -,- -,- -,31626000,40294000,- -,- -,- -,- -,- -,- -,18280000,22785000,25125000,27281000,29456000,37190000,40737000,44031000,48020000,58576000,66885000,75017000,75052000,91349000
9,Other Expenses,23601459,40400000,29979779,14215000,32560000,157607000,49547000,54677000,-5051000,20003000,20597000,5133000,6929000,11471000,11996000,14202000,17999000,21715000,26222000,30001000,33477000,40179000,55485000,55905000,59099000
10,Operating Expenses,27454758,51700000,45008208,62030000,98239000,172830000,58929000,65096000,1940000,29036000,31137000,34871000,44213000,53567000,58321000,64927000,81070000,90529000,101546000,113577000,133857000,154936000,184015000,185023000,213018000
11,COGS and Expenses,31927338,56400000,66161992,84201000,125940000,199461000,78316000,86149000,20067000,46523000,51777000,57224000,67385000,87442000,96634000,107326000,130113000,145408000,155405000,169628000,197561000,229930000,269736000,274933000,314828000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,195000,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14000,9000,45000,993000,1088000,522000,611000,1297000,2128000,4416000,1186000,1123000
14,Depreciation and Amortization,11422280,21600000,3931288,16727000,37493000,13807000,10535000,6863000,5034000,4985000,6072000,7364000,8799000,13891000,14458000,17079000,21395000,25010000,29599000,33629000,37578000,44723000,61522000,61662000,64228000
15,EBITDA,-275236,-4300000,-17837935,-14589000,-21147000,-124750000,-31930000,-48143000,8119000,9176000,12838000,16353000,15524000,21838000,29857000,34345000,36121000,47919000,57891000,65740000,73623000,86361000,113973000,133217000,167961000
16,EBITDA ratio,-0.0134,-0.0881,-0.4085,-0.2189,-0.2659,-1.7724,-0.5341,-1.0377,0.1775,0.1765,0.2175,0.2476,0.2104,0.2202,0.2619,0.2707,0.2387,0.2805,0.3129,0.3226,0.3101,0.3138,0.3498,0.3821,0.3955
17,Operating Income,-11422280,-7600000,-22496825,-36585000,-54902000,-140790000,-37315000,-53804000,25883000,3599000,5248000,7987000,6383000,7738000,15225000,17193000,14669000,22576000,28097000,30696000,35884000,41443000,52258000,71396000,103434000
18,Operating Income ratio,-0.5570,-0.1557,-0.5152,-0.5489,-0.6904,-2.0003,-0.6242,-1.1597,0.5660,0.0692,0.0889,0.1209,0.0865,0.0780,0.1336,0.1355,0.0970,0.1321,0.1519,0.1506,0.1511,0.1506,0.1604,0.2048,0.2436
19,Total Other Income Expenses (Gains),-275236,-18200000,- -,5269000,-4090000,1874000,-5150000,-1202000,-22798000,592000,1518000,1002000,342000,195000,165000,28000,-936000,-755000,-327000,804000,-1136000,-1933000,-4223000,-1027000,-824000
20,Income Before Tax,- -,- -,- -,-31316000,-58992000,-138916000,-42465000,-55006000,3085000,4191000,6766000,8989000,6725000,7933000,15390000,17221000,13733000,21821000,27770000,31500000,34748000,39510000,48035000,70369000,102610000
21,Income Before Tax Ratio,- -,- -,- -,-0.4699,-0.7418,-1.9737,-0.7103,-1.1856,0.0675,0.0806,0.1146,0.1361,0.0912,0.0800,0.1350,0.1357,0.0908,0.1277,0.1501,0.1546,0.1463,0.1436,0.1474,0.2018,0.2416
22,Income Tax expense (Gain),- -,- -,- -,310000,78000,-362000,287000,325000,96000,204000,-15677000,-11479000,-7625000,-3606000,3364000,1225000,4121000,6762000,7208000,7662000,7869000,8233000,11038000,18269000,16328000
23,Net Income,-11697516,-25900000,-21769223,-31626000,-58718000,-138195000,-42752000,-55331000,2989000,3987000,22443000,20468000,14350000,11539000,12026000,15996000,9612000,15059000,20562000,23838000,26879000,31277000,36997000,52100000,86282000
24,Net Income ratio,-0.5705,-0.5307,-0.4985,-0.4745,-0.7384,-1.9635,-0.7151,-1.1926,0.0654,0.0767,0.3802,0.3099,0.1945,0.1163,0.1055,0.1261,0.0635,0.0881,0.1112,0.1170,0.1132,0.1137,0.1136,0.1494,0.2032
25,EPS,-3.47,-0.79,-0.59,-0.72,-1.15,-2.65,-0.84,-1.36,0.07,0.09,0.44,0.39,0.26,0.19,0.19,0.26,0.15,0.21,0.27,0.31,0.35,0.41,0.45,0.62,1.02
