,https://roic.ai/company/ROIC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,- -,- -,45736,16328969,51737512,75095687,111232031,155863511,192699000,237189000,273260000,295798000,295040000,284114000,284100000
2,COGS,- -,- -,- -,4544902,13426315,20060971,30996939,40988975,48165000,57259000,68814000,76200000,76050000,74338000,78102000
3,Gross Profit,- -,- -,45736,11784067,38311197,55034716,80235092,114874536,144534000,179930000,204446000,219598000,218990000,209776000,205998000
4,Gross Profit Ratio,- -,- -,1.0000,0.7217,0.7405,0.7329,0.7213,0.7370,0.7501,0.7586,0.7482,0.7424,0.7422,0.7384,0.7251
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,13058608,10058669,11199632,12650000,13120000,14103000,14918000,17831000,16755000,19654000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,13058608,10058669,11199632,12650000,13120000,14103000,14918000,17831000,16755000,19654000
9,Other Expenses,- -,- -,11385270,14461929,31065405,29074709,40712728,58939809,71584000,88815000,96674000,101316000,98964000,97731000,92929000
10,Operating Expenses,- -,- -,11385270,14461929,31065405,42133317,50771397,70139441,84234000,101935000,110777000,116234000,116795000,114486000,112583000
11,COGS and Expenses,446301,1566294,11385270,19006831,44491720,62194288,81768336,111128416,132399000,159194000,179591000,192434000,192845000,188824000,190685000
12,Interest Income ,- -,- -,- -,1108507,19143,11861,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,324126,6225084,11379857,15854978,27593259,34243000,40741000,50977000,62113000,61687000,59726000,57535000
14,Depreciation and Amortization,- -,- -,28864,6080571,21264172,29074709,40397895,58434981,70957000,88359000,96256000,100838000,97559000,97731000,92929000
15,EBITDA,-446301,-1566294,-9605249,6003776,37145577,48347179,90066434,106329285,129064000,161854000,185710000,205687000,208090000,189471000,203972000
16,EBITDA ratio,-Infinity,-Infinity,-210.0151,0.3677,0.7180,0.6438,0.8097,0.6822,0.6698,0.6824,0.6796,0.6954,0.7053,0.6669,0.7180
17,Operating Income,-446301,-1566294,-11339534,-5313537,4954954,11553788,27775174,43773928,59335000,77171000,93665000,109254000,115370000,94447000,114895000
18,Operating Income ratio,-Infinity,-Infinity,-247.9345,-0.3254,0.0958,0.1539,0.2497,0.2808,0.3079,0.3254,0.3428,0.3694,0.3910,0.3324,0.4044
19,Total Other Income Expenses (Gains),3359023,5563075,1705421,4912616,4701367,-3661175,6916808,-22724706,-34243000,-40741000,-50977000,-62113000,-61687000,-59726000,-57535000
20,Income Before Tax,2912722,3996781,-9634113,-400921,9656321,7892613,34691982,21049222,25092000,36430000,42688000,47141000,53683000,34721000,57360000
21,Income Before Tax Ratio,Infinity,Infinity,-210.6462,-0.0246,0.1866,0.1051,0.3119,0.1350,0.1302,0.1536,0.1562,0.1594,0.1820,0.1222,0.2019
22,Income Tax expense (Gain),1178520,1358906,-268343,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,1734202,2637875,-9365770,-400921,9656321,7892613,33813561,20301045,23864000,32754000,38477000,42736000,48844000,32014000,53508000
24,Net Income ratio,Infinity,Infinity,-204.7789,-0.0246,0.1866,0.1051,0.3040,0.1302,0.1238,0.1381,0.1408,0.1445,0.1656,0.1127,0.1883
25,EPS,0.06,0.05,-0.19,-0.01,0.23,0.15,0.50,0.24,0.25,0.31,0.35,0.38,0.42,0.27,0.46
26,EPS Diluted,0.06,0.05,-0.19,-0.01,0.23,0.15,0.48,0.24,0.25,0.31,0.35,0.38,0.42,0.27,0.46
27,Weighted Average Shares Outstanding,27198837,51750000,49734703,41582401,42477007,52617420,67627122,84587688,95456000,105658065,109934286,112463158,116295238,118570370,124088235
28,Weighted Average Shares Outstanding Diluted,27198837,51750000,49734703,41582401,42526288,52617420,70444919,84587688,95456000,105658065,109934286,112463158,116295238,118570370,124088235
