,https://roic.ai/company/RYB,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , 
1,Revenue,65056000,82858000,108513000,140803000,156498000,182283000,109715000
2,COGS,59460000,74357000,91616000,111277000,130864000,155534000,116901000
3,Gross Profit,5596000,8501000,16897000,29526000,25634000,26749000,-7186000
4,Gross Profit Ratio,0.0860,0.1026,0.1557,0.2097,0.1638,0.1467,-0.0655
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,6927000,8389000,7424000,18418000,26428000,23775000,24313000
7,Selling and Marketing Exp.,1203000,1191000,1922000,1774000,2233000,2808000,1285000
8,"Selling, General and Administrative Exp.",8130000,9580000,9346000,20192000,28661000,26583000,25598000
9,Other Expenses,-255000,-526000,-573000,-863000,-683000,-499000,-4591000
10,Operating Expenses,7875000,9054000,8773000,19329000,27978000,26084000,21007000
11,COGS and Expenses,67335000,83411000,100389000,130606000,158842000,181618000,137908000
12,Interest Income ,46000,74000,107000,563000,2147000,858000,348000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,3502000,4230000,4831000,6099000,8059000,11520000,11670000
15,EBITDA,2041000,4578000,13491000,17026000,8729000,12627000,-25395000
16,EBITDA ratio,0.0314,0.0553,0.1243,0.1209,0.0558,0.0693,-0.2315
17,Operating Income,-2534000,-1079000,7551000,9334000,-3027000,166000,-43386000
18,Operating Income ratio,-0.0390,-0.0130,0.0696,0.0663,-0.0193,0.0009,-0.3954
19,Total Other Income Expenses (Gains),1712000,763000,680000,1258000,4064000,1849000,2603000
20,Income Before Tax,-822000,-316000,8231000,10592000,1037000,2015000,-40783000
21,Income Before Tax Ratio,-0.0126,-0.0038,0.0759,0.0752,0.0066,0.0111,-0.3717
22,Income Tax expense (Gain),514000,980000,2155000,3812000,2459000,3541000,215000
23,Net Income,-1975000,-632000,6505000,7115000,-1789000,-2434000,-37280000
24,Net Income ratio,-0.0304,-0.0076,0.0599,0.0505,-0.0114,-0.0134,-0.3398
25,EPS,-0.17,-0.13,0.23,0.29,-0.06,-0.09,-1.32
26,EPS Diluted,-0.17,-0.13,0.23,0.27,-0.06,-0.09,-1.32
27,Weighted Average Shares Outstanding,28663801,28663801,28663801,24735445,29213801,28074624,28224094
28,Weighted Average Shares Outstanding Diluted,28663801,28663801,28663801,26566657,29213801,28074624,28224094
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708441/000110465919023854/a19-2997_120f.htm,https://www.sec.gov/Archives/edgar/data/1708441/000110465920053868/a20-14957_120f.htm,- -
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,16100000,24594000,46256000,158691000,104084000,68728000,53454000
32,Short-Term Investments,- -,- -,432000,- -,- -,1005000,- -
33,Cash and Short-Term Investments,16100000,24594000,46688000,158691000,104084000,69733000,53454000
34,Net Receivables,4371000,5655000,5482000,1755000,2235000,6241000,4824000
35,Inventory,2113000,1775000,3043000,3549000,4811000,7256000,5773000
36,Other Current Assets,4021000,7501000,8770000,8813000,10466000,8340000,6054000
37,Total Current Assets,26605000,39525000,63983000,172808000,121596000,91570000,70105000
38,PP&E,21362000,25183000,29411000,40163000,45896000,133545000,135110000
39,Goodwill,- -,430000,401000,428000,25096000,52687000,46147000
40,Intangible Assets,- -,- -,- -,- -,4491000,17700000,14179000
41,Intangible Assets,- -,430000,401000,428000,29587000,70387000,60326000
42,Investments,- -,54000,378000,256000,4805000,5237000,217000
43,Tax Assets,4513000,5721000,6951000,12430000,16195000,18161000,21168000
44,Other Non-Current Assets,2388000,2921000,3286000,3653000,25376000,17194000,15565000
45,Total Non-Current Assets,28263000,34309000,40427000,56930000,121859000,244524000,232386000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,54868000,73834000,104410000,229738000,243455000,336094000,302491000
48,Accounts Payable,1094000,1398000,1914000,2436000,3141000,3741000,4351000
49,Short-Term Debt,- -,- -,- -,- -,- -,87000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,21014000,26956000,37982000,34634000,36225000,37897000,38496000
52,Other Current Liabilities,24024000,29985000,40391000,59952000,68973000,84183000,85510000
53,Total Current Liabilities,46132000,58339000,80287000,97022000,108339000,125908000,128357000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -
55,Deferred Revenue,9212000,13522000,14150000,18938000,10497000,8039000,5750000
56,Deferred Tax Liabilities,- -,- -,- -,- -,1110000,3384000,1890000
57,Other Non-Current Liabilities,4337000,5222000,6012000,8484000,10169000,90847000,98815000
58,Total Non-Current Liabilities,13549000,18744000,20162000,27422000,21776000,102270000,106455000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,87411000,93164000
61,Total Liabilities,59681000,77083000,100449000,124444000,130115000,228178000,234812000
62,Preferred Stock,29602000,- -,- -,- -,1628000,- -,- -
63,Common Stock,16000,23000,23000,29000,29000,29000,29000
64,Retained Earnings,-38172000,-41609000,-35472000,-28879000,-30421000,-33553000,-71837000
65,Other Comprehensive Income/Loss,-10896000,-13961000,-17156000,1000000,-28539000,-38641000,-49825000
66,Other Total Stockholders Equity,15098000,52637000,56113000,131595000,166032000,170685000,183782000
67,Total Stockholders Equity,-4352000,-2910000,3508000,103745000,108729000,98520000,62149000
68,Total Liabilities And Stockholders Equity,55329000,74173000,103957000,228189000,238844000,326698000,296961000
69,Minority Interest,-461000,-339000,453000,1549000,4611000,9396000,5530000
70,Total Liabilities & Equity,54868000,73834000,104410000,229738000,243455000,336094000,302491000
71,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1708441/000110465919023854/a19-2997_120f.htm,https://www.sec.gov/Archives/edgar/data/1708441/000110465920053868/a20-14957_120f.htm,- -
72,CASH FLOW STATEMENT, , , , , , , 
73,Net Income,-1975000,-632000,6505000,7115000,-1789000,-2434000,-37280000
74,Depreciation and Amortization,3502000,4230000,4831000,6099000,8059000,11520000,11670000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,-3223000
76,Stock Based Compensation,145000,1929000,- -,3990000,6747000,3962000,2930000
77,Change in Working Capital,12639000,18979000,24089000,8049000,-11342000,-1059000,-7151000
78,Accounts Receivable,-294000,-49000,-365000,183000,-271000,-1724000,3524000
79,Inventory,-222000,256000,-1451000,-290000,-1512000,-1992000,1664000
80,Accounts Payable,6000,-14000,- -,- -,- -,- -,- -
81,Other Working Capital,6384000,10989000,13966000,-4659000,-18122000,-7162000,-14451000
82,Other Non-Cash Items,-260000,-698000,-372000,-154000,-847000,993000,26528000
83,Cash Provided by Operating Activities,14051000,23808000,35053000,25099000,828000,12982000,-6526000
84,CAPEX,-6174000,-12080000,-11305000,-11917000,-11480000,-12492000,-3975000
