,https://roic.ai/company/VLRS,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , 
1,Revenue,6777390000,8878616000,11686415000,13002471000,14036742000,18179704000,23512451000,24845375000,27305150000,34825621000,22570813000,45096000000
2,COGS,5446099000,8215912000,10342161000,11633725000,12599970000,14125019000,18982658000,22233339000,26283359000,28229370000,23233311000,33515000000
3,Gross Profit,1331291000,662704000,1344254000,1368746000,1436772000,4054685000,4529793000,2612036000,1021791000,6596251000,-662498000,11581000000
4,Gross Profit Ratio,0.1964,0.0746,0.1150,0.1053,0.1024,0.2230,0.1927,0.1051,0.0374,0.1894,-0.0294,0.2568
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,185728000,- -,256122000,- -,427399000,611492000,865138000,963522000,1017142000,1036897000,1069196000,- -
7,Selling and Marketing Exp.,615431000,750474000,751919000,704146000,817281000,1088805000,1413348000,1691524000,1501203000,1447637000,1840819000,1962000000
8,"Selling, General and Administrative Exp.",801159000,750474000,1008041000,704146000,1244680000,1700297000,2278486000,2655046000,2518345000,2484534000,2910015000,1962000000
9,Other Expenses,18982000,285215000,4656000,347223000,1897000,25159000,-3993000,4223000,-9212000,-40850000,-22221000,1119000000
10,Operating Expenses,820141000,1035689000,1012697000,1051369000,1246577000,1725456000,2274493000,2659269000,2509133000,2443684000,2887794000,3081000000
11,COGS and Expenses,6266240000,9251601000,11354858000,12685094000,13846547000,15850475000,21257151000,24892608000,28792492000,30673054000,26121105000,36596000000
12,Interest Income ,5091000,5539000,13611000,24774000,23242000,47029000,102585000,105795000,152603000,207799000,101511000,72000000
13,Interest Expense (Gain),52221000,57718000,89731000,125737000,18189000,18279000,29312000,79859000,114193000,2259992000,2555999000,2832000000
14,Depreciation and Amortization,61691000,102977000,211002000,301531000,342515000,456717000,536543000,548687000,500641000,5378485000,5947421000,- -
15,EBITDA,447462000,-132369000,519453000,713496000,1004608000,3977214000,5542526000,-127228000,-305902000,11372371000,2803445000,5547000000
16,EBITDA ratio,0.0660,-0.0149,0.0444,0.0549,0.0716,0.2188,0.2357,-0.0051,-0.0112,0.3266,0.1242,0.1230
17,Operating Income,511158000,-372985000,378240000,317377000,204103000,2510333000,2739691000,18642000,-880530000,4355423000,-3253596000,8066000000
18,Operating Income ratio,0.0754,-0.0420,0.0324,0.0244,0.0145,0.1381,0.1165,0.0008,-0.0322,0.1251,-0.1442,0.1789
19,Total Other Income Expenses (Gains),-106729000,57971000,-171442000,-34535000,439801000,991885000,2236980000,-774416000,-40206000,-621529000,-2446379000,-5352000000
20,Income Before Tax,404429000,-315014000,206798000,282842000,643904000,3502218000,4976671000,-755774000,-920736000,3733894000,-5699975000,2714000000
21,Income Before Tax Ratio,0.0597,-0.0355,0.0177,0.0218,0.0459,0.1926,0.2117,-0.0304,-0.0337,0.1072,-0.2525,0.0602
22,Income Tax expense (Gain),-238684000,476000,3481000,17550000,38720000,1038348000,1457182000,-161175000,-238236000,1094831000,-1406184000,594000000
23,Net Income,572234000,-293540000,215239000,268678000,605184000,2463870000,3519489000,-594599000,-682500000,2639063000,-4293791000,2121000000
24,Net Income ratio,0.0844,-0.0331,0.0184,0.0207,0.0431,0.1355,0.1497,-0.0239,-0.0250,0.0758,-0.1902,0.0470
25,EPS,7.86,-3.65,2.94,3.10,6.00,24.30,34.80,-5.90,-6.80,26.10,-42.00,20.76
26,EPS Diluted,7.86,-3.65,2.94,3.10,6.00,24.30,34.80,-5.90,-6.80,26.10,-42.00,20.76
27,Weighted Average Shares Outstanding,72759600,80338200,73244100,86557940,101187668,101187700,101187700,101187700,101187700,101187700,102156100,102156100
28,Weighted Average Shares Outstanding Diluted,72759600,80338200,73244100,86557940,101187668,101187700,101187700,101187700,101187700,101187700,102156100,102156100
