,https://roic.ai/company/INBP,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,10600000,11100000,16000000,12300000,17974885,15293090,23546630,22235306,25282790,32735813,57820466,60160000,49940000,39367000,37019000,25133000,36604000,33623000,33683000,37488000,42214000,46954000,43710000,49977000,52769000,63559000
2,COGS,8000000,9200000,12400000,11300000,16309207,13820829,18842688,17106125,19390657,30743847,35979805,42739000,41426000,29594000,29205000,21364000,28997000,28122000,28800000,33095000,36710000,40287000,38722000,43755000,46042000,54079000
3,Gross Profit,2600000,1900000,3600000,1000000,1665678,1472261,4703942,5129181,5892133,1991966,21840661,17421000,8514000,9773000,7814000,3769000,7607000,5501000,4883000,4393000,5504000,6667000,4988000,6222000,6727000,9480000
4,Gross Profit Ratio,0.2453,0.1712,0.2250,0.0813,0.0927,0.0963,0.1998,0.2307,0.2330,0.0608,0.3777,0.2896,0.1705,0.2483,0.2111,0.1500,0.2078,0.1636,0.1450,0.1172,0.1304,0.1420,0.1141,0.1245,0.1275,0.1492
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3468000,- -
8,"Selling, General and Administrative Exp.",2000000,2500000,3200000,3300000,3276435,3758957,3905893,3832885,5304234,13104467,16737519,19382000,24282000,14226000,11363000,3448000,8113000,4385000,3531000,3460000,3390000,3480000,3294000,3518000,3468000,3696000
9,Other Expenses,300000,300000,400000,400000,378637,- -,- -,- -,6197244,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,2300000,2800000,3600000,3700000,3655072,3758957,3905893,3832885,11501478,13104467,16737519,19382000,24282000,14226000,11363000,3448000,8113000,4385000,3531000,3460000,3390000,3480000,3294000,3518000,3468000,3696000
