,https://roic.ai/company/RMBL,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,- -,- -,- -,- -,7305902,156398231,840629347,416427243,934731
2,COGS,- -,- -,- -,- -,7027793,143761940,790011371,384799844,776554
3,Gross Profit,- -,- -,- -,- -,278109,12636291,50617976,31627399,158177
4,Gross Profit Ratio,- -,- -,- -,- -,0.0381,0.0808,0.0602,0.0759,0.1692
5,Research and Development Exp.,- -,- -,- -,- -,452957,1152108,2408338,- -,- -
6,General and Administrative Exp.,- -,129695,39652,210701,5403014,22443737,65987649,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,1731028,11457572,18228262,- -,- -
8,"Selling, General and Administrative Exp.",- -,129695,39652,210701,7134042,33901309,84215911,- -,135801
9,Other Expenses,- -,950,1900,1900,668467,984006,1786426,55802287,- -
10,Operating Expenses,- -,130645,41552,212601,8255466,36037423,88410675,55802287,135801
11,COGS and Expenses,- -,130645,41552,212601,15283259,179799363,878422046,440602131,912355
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,4950,7257,11698,595966,1780685,7187604,6638325,-15462
14,Depreciation and Amortization,- -,950,1900,1900,668467,984006,1786426,2142939,6103000
15,EBITDA,- -,-129695,-39652,-210701,-7308890,-22417126,-36203023,-16217711,6056148
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-1.0004,-0.1433,-0.0431,-0.0389,6.4790
17,Operating Income,- -,-130645,-41552,-213393,-7977357,-23401132,-37792699,-18559620,-9811000
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-1.0919,-0.1496,-0.0450,-0.0446,-10.4961
19,Total Other Income Expenses (Gains),- -,-4950,-7257,-11698,-595966,-1780685,-7384354,-6439355,9779610
20,Income Before Tax,- -,-135595,-48809,-225091,-8573323,-25181817,-45177053,-24998975,-31390
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-1.1735,-0.1610,-0.0537,-0.0600,-0.0336
22,Income Tax expense (Gain),- -,- -,- -,-513,- -,- -,- -,- -,-21665
23,Net Income,- -,-135595,-48809,-224578,-8573323,-25181817,-45177053,-24998975,-9725
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-1.1735,-0.1610,-0.0537,-0.0600,-0.0104
25,EPS,- -,-0.60,-0.20,-0.80,-17.20,-34.00,-40.60,-11.44,-0.00
26,EPS Diluted,- -,-0.60,-0.20,-0.80,-17.20,-34.00,-40.60,-11.44,-0.00
27,Weighted Average Shares Outstanding,- -,264657,254452,279068,495879,741658,1114713,2184441,3242616
28,Weighted Average Shares Outstanding Diluted,- -,264657,254452,279068,495879,741658,1114713,2184441,3242616
29,SEC Link,undefined,- -,https://www.sec.gov/Archives/edgar/data/1596961/000139390516000769/svtc_10k.htm,https://www.sec.gov/Archives/edgar/data/1596961/000165495417001101/0001654954-17-001101-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495418001935/0001654954-18-001935-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495419003849/0001654954-19-003849-index.html,https://www.sec.gov/Archives/edgar/data/1596961/000165495420006126/rmbl_10k.htm,https://www.sec.gov/Archives/edgar/data/1596961/000165495421003633/0001654954-21-003633-index.htm,- -
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,2086,6195,1563,1350580,9170652,9134902,49660,1466831,48974
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2086,6195,1563,1350580,9170652,9134902,49660,1466831,48974
34,Net Receivables,- -,- -,- -,- -,577107,8465810,8482707,9407960,41619
35,Inventory,- -,- -,- -,- -,2834666,52191523,57381281,21360441,- -
36,Other Current Assets,5000,- -,- -,1667,308880,7746945,7887096,5495281,211001
37,Total Current Assets,7086,6195,1563,1352247,12891305,77539180,73800744,37730513,301594
38,PP&E,- -,- -,- -,- -,3360832,5177877,12467961,12211083,154529
39,Goodwill,- -,- -,- -,- -,1850000,26107146,26886563,26886563,260922
40,Intangible Assets,- -,4750,2850,45515,50693,102178,- -,- -,302066
41,Intangible Assets,- -,4750,2850,45515,1900693,26209324,26886563,26886563,562988
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,237823,151076,26207
45,Total Non-Current Assets,- -,4750,2850,45515,5261525,31387201,39592347,39248722,743724
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,7086,10945,4413,1397762,18152830,108926381,113393091,76979235,1045318
48,Accounts Payable,275,4779,11799,219101,1094310,7528003,8730624,12707448,- -
49,Short-Term Debt,- -,20000,100000,- -,1081593,58555006,60524560,21251153,97278
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,118860,3232947,4439775,1485854,86611
53,Total Current Liabilities,275,24779,111799,219101,2294763,69315956,73694959,35444455,183889
54,Long-Term Debt,20000,80000,33000,1282,1459410,8792919,22060962,31857200,49674
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,78430,- -,- -,- -,- -,8138
57,Other Non-Current Liabilities,76,5026,12283,5508,32665,- -,4749601,5106915,188439
58,Total Non-Current Liabilities,20076,85026,45283,85220,1492075,8792919,26810563,36964115,246251
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,6145711,6720223,- -
61,Total Liabilities,20351,109805,157082,304321,3786838,78108875,100505522,72408570,430140
62,Preferred Stock,- -,- -,- -,- -,- -,1317,- -,- -,- -
63,Common Stock,5000,5500,5500,6400,12929,18486,1162,2242,15
