,https://roic.ai/company/RPMT,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,3926,1213,2456,5708,23546,1050,- -,46755,34485,- -,2628
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,3926,1213,2456,5708,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,- -,- -,- -,1.0000,1.0000,1.0000,1.0000,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,10699,102570,132108,581707,584668,2650600,3257279,1643327,830052,1177131,867887,237658,1138164,2837012
6,General and Administrative Exp.,- -,- -,- -,- -,10677678,5344411,6732935,4044244,3035070,2107956,4197375,2131027,2017970,5612413
7,Selling and Marketing Exp.,- -,- -,- -,- -,693737,7275815,5096034,1813388,428216,261763,19194,45308,85975,1454325
8,"Selling, General and Administrative Exp.",973576,2134349,954238,2110704,11371415,12620226,11828969,5857632,3463286,2369719,4216569,2176335,2103945,7066738
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165018
10,Operating Expenses,984275,2236919,1086346,2692411,11956083,15270826,15086248,7500959,4293338,3546850,5084456,2413993,3242109,10068768
11,COGS and Expenses,984275,2236919,1086346,2692411,11956083,15270826,15086248,7500959,4293338,3546850,5084456,2413993,3242109,- -
12,Interest Income ,389,443,395,1724,5704,10731,6602,344,- -,- -,- -,- -,- -,333
13,Interest Expense (Gain),- -,- -,403239,38035,90560,6382,94566,302904,534163,679515,933260,696408,765610,1080391
14,Depreciation and Amortization,698,1116,1429,4623,25392,56641,100013,114075,43911,41336,29573,29318,29367,31337
15,EBITDA,-983577,-2235803,-1084917,-2682138,-11923774,-15913349,-9460259,-7244193,-4242845,-3505514,-4987457,-2457961,-14543431,-10671899
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-683.1732,-9829.9868,-6479.3766,-1657.3684,-307.6613,-4040.8048,-Infinity,-106.6722,-71.2762,-Infinity,-4060.8444
17,Operating Income,-984275,-2236919,-1086346,-2688485,-11954870,-15980721,-15080540,-7477413,-4292288,-3546850,-5037701,-2379508,-3242109,- -
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-684.7899,-9855.6224,-6506.8082,-2642.0007,-317.5662,-4087.8933,-Infinity,-107.7468,-69.0012,-Infinity,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-84856,4349,5425702,-183759,-528631,-796692,-933260,-811408,-11330689,- -
20,Income Before Tax,- -,- -,- -,- -,-12039726,-15976372,-9654838,-7661172,-4820919,-4343542,-5970961,-3190916,-14572798,-11783627
21,Income Before Tax Ratio,- -,- -,- -,- -,-9925.5779,-6505.0375,-1691.4573,-325.3704,-4591.3514,-Infinity,-127.7074,-92.5305,-Infinity,-4483.8763
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-983886,-2236476,-1489190,-2724796,-12039726,-15976372,-9654838,-7661172,-4820919,-4343542,-5950290,-3183687,-14572798,-11783627
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-694.0387,-9925.5779,-6505.0375,-1691.4573,-325.3704,-4591.3514,-Infinity,-127.2653,-92.3209,-Infinity,-4483.8763
25,EPS,-0.03,-0.06,-0.03,-0.04,-0.14,-0.15,-0.14,-0.07,-0.05,-0.05,-0.06,-0.04,-0.13,-0.10
26,EPS Diluted,-0.03,-0.06,-0.03,-0.04,-0.14,-0.15,-0.14,-0.07,-0.05,-0.05,-0.06,-0.04,-0.13,-0.10
27,Weighted Average Shares Outstanding,29968489,38121640,50519786,65538714,85325709,107704996,116690412,118225959,117684293,117975277,119013533,119596866,119773949,119773949
28,Weighted Average Shares Outstanding Diluted,29968489,38121640,50519786,65538714,85325709,107704996,116690412,118225959,117684293,117975277,119013533,119596866,119773949,119773949
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1437283/000121465909000755/0001214659-09-000755-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465910000913/0001214659-10-000913-index.html,- -,https://www.sec.gov/Archives/edgar/data/1437283/000121465912001325/0001214659-12-001325-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465913001458/0001214659-13-001458-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465914003084/0001214659-14-003084-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465915003445/0001214659-15-003445-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465916010883/0001214659-16-010883-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465917002272/0001214659-17-002272-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465918002542/0001214659-18-002542-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465919002415/0001214659-19-002415-index.html,https://www.sec.gov/Archives/edgar/data/1437283/000121465920005121/0001214659-20-005121-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465921003694/0001214659-21-003694-index.htm,https://www.sec.gov/Archives/edgar/data/1437283/000121465922004581/0001214659-22-004581-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,128359,44710,1574448,186159,7371036,1752461,1652392,16646,52719,7232,10733,430076,273176,553131
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,128359,44710,1574448,186159,7371036,1752461,1652392,16646,52719,7232,10733,430076,273176,553131
34,Net Receivables,- -,42768,- -,2500,75053,5325,7607,360,- -,- -,1923,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,22941,1765,20500,220908,591929,106989,- -,58518,45723,341,163181,108472
37,Total Current Assets,128359,87478,1597389,190424,7466589,1978694,2251928,123995,52719,65750,58379,430417,436357,661603
38,PP&E,4884,3768,9737,9435,96699,104715,179529,31544,7997,356,- -,- -,- -,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,78013,362496,739657,636230,589420,552573,411090,383942,354624,- -,- -
41,Intangible Assets,- -,- -,- -,78013,362496,739657,636230,589420,552573,411090,383942,354624,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115000,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,2667,2667,2667,65000,118118,46483,31800,- -,- -,- -,- -,328486,379401
45,Total Non-Current Assets,4884,6435,12404,90115,524195,962490,862242,652764,560570,411446,498942,354624,328486,379401
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,133243,93913,1609793,280539,7990784,2941184,3114170,776759,613289,477196,557321,785041,764843,1041004
48,Accounts Payable,- -,- -,- -,- -,- -,- -,829372,1702527,2047012,3218217,4548225,5663014,5631518,- -
49,Short-Term Debt,- -,- -,- -,284440,- -,913913,- -,3928918,4298625,9050043,9874007,11492976,3116357,3316357
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,2685,- -,- -,- -,200000,200000,- -,- -
52,Other Current Liabilities,- -,63115,90015,358513,1154602,2149681,723649,1804302,2936747,3950545,5021000,6108122,29385875,29596590
53,Total Current Liabilities,- -,63115,90015,642953,1154602,3063594,1555706,7435747,9282384,16218805,19643232,23464112,38133750,32912947
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,2069200,- -,- -,- -,- -,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-37368907,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2069200,- -,- -,- -,-37368907,- -
