,https://roic.ai/company/PTCT,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , 
1,Revenue,98960851,28779078,31326117,22963000,36766000,82705000,194392000,264734000,306980000,380766000,538593000
2,COGS,- -,- -,- -,- -,- -,- -,4577000,12670000,12135000,18942000,32328000
3,Gross Profit,- -,33946063,34696327,25245000,36766000,- -,189815000,252064000,294845000,361824000,506265000
4,Gross Profit Ratio,- -,1.1795,1.1076,1.0994,1.0000,- -,0.9765,0.9521,0.9605,0.9503,0.9400
5,Research and Development Exp.,58677081,46138868,54875144,79838000,121816000,117633000,117456000,171984000,257452000,477643000,540684000
6,General and Administrative Exp.,16153069,14615376,25218652,44820000,82080000,97130000,121271000,153548000,202541000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",16153069,14615376,25218652,44820000,82080000,97130000,121271000,153548000,202541000,- -,285773000
9,Other Expenses,- -,- -,-3370210,-2282000,- -,- -,15380000,22877000,27650000,282056000,54751000
10,Operating Expenses,74830150,60754244,76723586,122376000,203896000,214763000,254107000,348409000,487643000,759699000,881208000
11,COGS and Expenses,68378854,55587259,76723586,122376000,203896000,214763000,258684000,361079000,499778000,778641000,913536000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,56352000,86022000
14,Depreciation and Amortization,2871200,2704151,2396405,2235000,2876000,3290000,17682000,26087000,32180000,84872000,64134000
15,EBITDA,31470138,-23530951,-49177170,-96211000,-167086000,-138251000,-59983000,-102023000,-207746000,-261708000,-368184000
16,EBITDA ratio,0.3180,-0.8176,-1.5698,-4.1898,-4.5446,-1.6716,-0.3086,-0.3854,-0.6767,-0.6873,-0.6836
17,Operating Income,30581997,-26808181,-45397469,-99413000,-167130000,-132058000,-64292000,-115685000,-241158000,-431768000,-374443000
18,Operating Income ratio,0.3090,-0.9315,-1.4492,-4.3293,-4.5458,-1.5967,-0.3307,-0.4370,-0.7856,-1.1339,-0.6952
19,Total Other Income Expenses (Gains),-1983059,573079,-6176106,967000,-2832000,-9483000,-13373000,-12425000,1232000,28836000,-143897000
20,Income Before Tax,28598938,-26235102,-51573575,-98446000,-169962000,-141541000,-77665000,-128110000,-239926000,-402932000,-518340000
