,https://roic.ai/company/PEYE,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2890000,4400000,5800000,4800000,7100000,7600000,8100000,7400000,4100000,3000000,3009649,4247828,1774283,2399217,1464964,1349819,2284693,2477469,2902219,3528510,3094437,2245137,2152396,2519743,3651181,3912060,3916702,3154547,4038048,6804169,9923355,10674907
2,COGS,1970000,3400000,4100000,3200000,5200000,4800000,5300000,5200000,3200000,1800000,1484420,3438679,3123196,2072238,2062902,1997586,2280631,2002196,2110217,1932836,1797199,1493021,1594990,1865315,2850386,3113789,2974681,2380823,2556130,4681691,6560779,7241322
3,Gross Profit,920000,1000000,1700000,1600000,1900000,2800000,2800000,2200000,900000,1200000,1525229,809149,-1348913,326979,-597938,-647767,4062,475273,792002,1595674,1297238,752116,557406,654428,800795,798271,942021,773724,1481918,2122478,3362576,3433585
4,Gross Profit Ratio,0.3183,0.2273,0.2931,0.3333,0.2676,0.3684,0.3457,0.2973,0.2195,0.4000,0.5068,0.1905,-0.7603,0.1363,-0.4082,-0.4799,0.0018,0.1918,0.2729,0.4522,0.4192,0.3350,0.2590,0.2597,0.2193,0.2041,0.2405,0.2453,0.3670,0.3119,0.3389,0.3217
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,900000,1694409,3215257,2270880,1235252,1319345,1143412,859936,1312240,757852,737791,529406,825033,664696,630294,471106,492937,478267,464162,456377,505300,886129,624253
6,General and Administrative Exp.,610000,700000,1700000,2900000,1800000,1900000,2100000,2300000,2600000,1600000,1759886,2103517,2079994,1881313,1731713,1857332,1617721,2097959,1867093,1449270,1192800,958509,1187665,1261141,1503443,1545462,1551895,1313478,1374160,2101610,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",610000,700000,1700000,2900000,1800000,1900000,2100000,2300000,2600000,1600000,1759886,2103517,2079994,1881313,1731713,1857332,1617721,2097959,1867093,1449270,1192800,958509,1187665,1261141,1503443,1545462,1551895,1313478,1374160,2101610,3899430,3714915
9,Other Expenses,-10000,100000,100000,100000,100000,200000,300000,400000,400000,400000,481569,- -,4445021,195813,- -,- -,-165700,- -,-210549,-48752,-20826,-39518,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,600000,800000,1800000,3000000,1900000,2100000,2400000,2700000,3000000,2900000,3935864,5318774,8795895,3312378,3051058,3000744,2311957,3410199,2414396,2138309,1701380,1744024,1852361,1891435,1974549,2038399,2030162,1777640,1830537,2606910,4785559,4339168
11,COGS and Expenses,2570000,4200000,5900000,6200000,7100000,6900000,7700000,7900000,6200000,4700000,5420284,8757453,11919091,5384616,5113960,4998330,4592588,5412395,4524613,4071145,3498579,3237045,3447351,3756750,4824935,5152188,5004843,4158463,4386667,7288601,11346338,11580490
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5212,901,207,535,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),-90000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,453800,256729,60000,30208,1408,- -,- -,469,3144,1859,1416,1002,5302
14,Depreciation and Amortization,80000,60000,100000,100000,100000,200000,300000,400000,400000,400000,481569,730500,593491,265102,240846,241966,130110,120404,161169,62195,79039,57605,23368,20970,20020,21271,25856,33660,27216,38554,112219,146799
15,EBITDA,220000,260000,-100000,-1200000,100000,1000000,700000,100000,-1600000,-1300000,-1673409,-3010590,-9379039,-2661748,-3442318,-3445483,-2141451,-2768511,-1461273,-475228,-324202,-934096,1015460,-1764390,-1139706,-1156610,-1007528,-968741,-321403,-573989,-1310764,50178
16,EBITDA ratio,0.0761,0.0591,-0.0172,-0.2500,0.0141,0.1316,0.0864,0.0135,-0.3902,-0.4333,-0.5560,-0.7087,-5.2861,-1.1094,-2.3498,-2.5526,-0.9373,-1.1175,-0.5035,-0.1347,-0.1048,-0.4161,0.4718,-0.7002,-0.3121,-0.2957,-0.2572,-0.3071,-0.0796,-0.0844,-0.1321,0.0047
