,https://roic.ai/company/TIKK,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,2318088,3165674,3959242,3484499,5130782,7508901,9731081,11861387,10704029,10511284,11196059,7666587,11235524,13075942,8963349,13540600,16508678,7827258,15828291,18195972,24804825,18745456,10024588,12116050,15774943,11582520
2,COGS,1022942,1325659,1559542,1559992,2419466,3574685,4684147,5738729,4977537,5030088,5729736,3685528,6437754,6912597,4705309,7218765,10068236,6866036,9464404,12755280,16819235,12061341,6894779,6698830,8365042,6800021
3,Gross Profit,1295146,1840015,2399700,1924507,2711316,3934216,5046934,6122658,5726492,5481196,5466323,3981059,4797770,6163345,4258040,6321835,6440442,961222,6363887,5440692,7985590,6684115,3129809,5417220,7409901,4782499
4,Gross Profit Ratio,0.5587,0.5812,0.6061,0.5523,0.5284,0.5239,0.5186,0.5162,0.5350,0.5215,0.4882,0.5193,0.4270,0.4713,0.4751,0.4669,0.3901,0.1228,0.4021,0.2990,0.3219,0.3566,0.3122,0.4471,0.4697,0.4129
5,Research and Development Exp.,390399,486884,902250,1204077,1051833,1047305,1521219,1601493,2152515,2186828,2534497,2580381,2790961,2948356,3756023,3256306,2794478,2149591,1853338,1961275,2038126,2430322,2275508,2312043,2239811,2295901
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,739912,854093,909505,920547,1236147,1622881,1858843,2803498,2976137,3269773,3523624,2698829,2469585,2891363,2984858,2901758,2969956,2564637,3146647,3149031,3367544,2581085,2491816,2215521,2477548,2165190
10,Operating Expenses,1130311,1340977,1811755,2124624,2287980,2670186,3380062,4404991,5128652,5456601,6058121,5279210,5260546,5839719,6740881,6158064,5764434,4714228,4999985,5110306,5405670,5011407,4767324,4527564,4717359,4461091
11,COGS and Expenses,2153253,2666636,3371297,3684616,4707446,6244871,8064209,10143720,10106189,10486689,11787857,8964738,11698300,12752316,11446190,13376829,15832670,11580264,14464389,17865586,22224905,17072748,11662103,11226394,13082401,11261112
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4206,823,549,616,434,226,- -,- -,- -,866,4005,5819,7483
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46390,48529,276836,399374,638702,409965,268278,101129,59167,164352,412403,398101,261253
