,https://roic.ai/company/OEG,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,49176,1,- -,615475,308634,145988,133650,256688,157258,19555935,28851750,40932888,38938326,41084589,60651665,76045217,86667000,86461000,83275000,96789000,23492000,38414000,82948000
2,COGS,- -,- -,- -,187300,125021,- -,170533,1586823,2318602,11874250,18191840,25699712,24133073,25707893,36878895,47494283,54375000,54200000,55406000,67879000,17680000,31315000,85392000
3,Gross Profit,- -,1,- -,428175,183613,145988,-36883,-1330135,-2161344,7681685,10659910,15233176,14805253,15376696,23772770,28550934,32292000,32261000,27869000,28910000,5812000,7099000,-2444000
4,Gross Profit Ratio,- -,1.0000,- -,0.6957,0.5949,1.0000,-0.2760,-5.1819,-13.7439,0.3928,0.3695,0.3722,0.3802,0.3743,0.3920,0.3754,0.3726,0.3731,0.3347,0.2987,0.2474,0.1848,-0.0295
5,Research and Development Exp.,- -,- -,- -,- -,- -,1044686,1420069,2661965,1191854,513671,56042,740396,716321,791332,890461,1168858,1848000,2016000,2525000,2802000,139000,45000,- -
6,General and Administrative Exp.,141847,896532,1273350,3167060,3193401,6936155,4942320,7692439,1888098,7615737,10839425,13269741,13347853,16221373,19498526,26061667,33023000,34239000,33921000,36341000,20063000,29395000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",141847,896532,1273350,3167060,3193401,6936155,4942320,7692439,1888098,7615737,10839425,13269741,13347853,16221373,19498526,26061667,33023000,34239000,33921000,36341000,20063000,29395000,50024000
9,Other Expenses,353314,140894,-89218,-2437183,270355,213860,11780,-1219389,39441,148573,144834,72689,82192,65763,3490620,4157969,3115000,2516000,2197000,2198000,1655000,6412000,7085000
10,Operating Expenses,495161,1037426,1184132,729877,3463756,8194701,6374169,9135015,3119393,8277981,11040301,14082826,14146366,17078468,23879607,31388494,37986000,38771000,38643000,41341000,21857000,35852000,57109000
11,COGS and Expenses,495161,1037426,1184132,917177,3588777,8194701,6544702,10721838,5437995,20152231,29232141,39782538,38279439,42786361,60758502,78882777,92361000,92971000,94049000,109220000,39537000,67167000,142501000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,38000,16000,20000,35000,82000,293000,- -
13,Interest Expense (Gain),- -,63587,76791,264922,273549,64071,2012532,4042665,622019,3704790,4649060,5074872,1252936,648532,485626,508123,441000,467000,500000,502000,61000,1303000,8337000
14,Depreciation and Amortization,23072,140894,197793,173874,376081,2362798,639259,947631,299533,523706,685447,835567,770764,730293,3279074,4441813,3209000,2848000,2850000,3005000,2361000,5241000,5208000
15,EBITDA,-422913,-742132,-986339,-3004964,-2788877,-5477360,-5830334,-9491037,-4825116,2398129,1135806,-993516,2004747,-1113782,2423143,1422484,-2745000,-3913000,-10845000,-14024000,-1663000,-24449000,-58216000
16,EBITDA ratio,-8.6000,-742132.0000,-Infinity,-4.8823,-9.0362,-37.5192,-43.6239,-36.9750,-30.6828,0.1226,0.0394,-0.0243,0.0515,-0.0271,0.0400,0.0187,-0.0317,-0.0453,-0.1302,-0.1449,-0.0708,-0.6365,-0.7018
17,Operating Income,-445985,-1037425,-1184132,-301702,-3280143,-8048713,-6489853,-10479117,-5280737,-843913,-11215371,-2373791,658887,-1980200,-106837,-2896403,-5694000,-6510000,-13929000,-16778000,-16045000,-28753000,-52791000
18,Operating Income ratio,-9.0692,-1037425.0000,-Infinity,-0.4902,-10.6279,-55.1327,-48.5586,-40.8243,-33.5801,-0.0432,-0.3887,-0.0580,0.0169,-0.0482,-0.0018,-0.0381,-0.0657,-0.0753,-0.1673,-0.1733,-0.6830,-0.7485,-0.6364
19,Total Other Income Expenses (Gains),- -,154400,363802,-229663,-155170,-5305,-70321,1245871,116647,2470719,7005879,-4974784,-1052849,-512407,-1234720,-631049,-701000,-718000,-266000,-753000,-537000,-5150000,-7560000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4209492,-7348575,-393962,-2492607,-1341557,-3527452,-6395000,-7228000,-14195000,-17531000,-16582000,-33903000,-60351000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.1459,-0.1795,-0.0101,-0.0607,-0.0221,-0.0464,-0.0738,-0.0836,-0.1705,-0.1811,-0.7059,-0.8826,-0.7276
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111941,29810,33714,417118,-726174,-408000,38000,-1606000,-206000,-2956000,-3546000,-10508000
23,Net Income,-445985,-946613,-1184132,-3443760,-3438507,-7904229,-8482125,-14481333,-5746668,-1830367,-4198701,-7015896,-48763,-2526321,-1758675,-2801278,-5987000,-7266000,-12589000,-17325000,-1129000,-27447000,-61253000
24,Net Income ratio,-9.0692,-946613.0000,-Infinity,-5.5953,-11.1411,-54.1430,-63.4652,-56.4161,-36.5429,-0.0936,-0.1455,-0.1714,-0.0013,-0.0615,-0.0290,-0.0368,-0.0691,-0.0840,-0.1512,-0.1790,-0.0481,-0.7145,-0.7385
25,EPS,-4.50,-6.00,-5.10,-11.70,-11.10,-6.60,-3.60,-3.90,-1.20,-0.30,-0.60,-1.20,-0.01,-0.25,-0.10,-0.14,-0.29,-0.35,-0.56,-0.61,-0.04,-0.92,-2.05
