,https://roic.ai/company/APEN,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,743273,511862,372348,2861149,11909270,7835552,9386863,6688153,7986762,5080463,1599763,64868000,64310000,60854000,50713000,42048000,62989000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25255000,24578000,27660000,25038000,19806000,28030000
3,Gross Profit,743273,511862,372348,2861149,11909270,7835552,9386863,6688153,7986762,5080463,1599763,39613000,39732000,33194000,25675000,22242000,34959000
4,Gross Profit Ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6107,0.6178,0.5455,0.5063,0.5290,0.5550
5,Research and Development Exp.,1482410,4044947,12418554,10116124,6628200,7819545,9726794,8158632,11343448,18126701,8513974,7805000,8299000,12176000,10384000,7670000,9524000
6,General and Administrative Exp.,1664546,2232902,3429676,4480260,3479326,4504802,3370105,4091233,4234613,4758831,3946147,13625000,13722000,13436000,13588000,11062000,18448000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31751000,32910000,32831000,28730000,17355000,24311000
8,"Selling, General and Administrative Exp.",1664546,2232902,3429676,4480260,3479326,4504802,3370105,4091233,4234613,4758831,3946147,45376000,46632000,46267000,42318000,28417000,42759000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7193000,7240000,7074000,2095000,1949000,1875000
10,Operating Expenses,3146956,6277849,15848230,14596384,10107526,12324347,13096899,12249865,15578061,22885532,12460121,60374000,62171000,65517000,54797000,38036000,54158000
11,COGS and Expenses,3146956,6277849,15848230,14596384,10107526,12324347,13096899,12249865,15578061,22885532,12460121,85629000,86749000,93177000,79835000,57842000,82188000
12,Interest Income ,7951,161244,398020,124041,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),157125,- -,27951,12122,- -,- -,- -,- -,- -,- -,- -,18168000,4508000,4063000,4052000,5251000,8318000
14,Depreciation and Amortization,81176,49566,156435,215016,- -,165304,141993,187501,196224,216088,466988,9092000,9717000,9292000,4060000,3730000,3232000
15,EBITDA,-2558472,-5555177,-14907374,-11232847,3983010,-4436870,-2972134,-2564873,-6368467,-16338963,-9543318,-13520000,-12763000,-32241000,-19045000,-13488000,-12976000
16,EBITDA ratio,-3.4422,-10.8529,-40.0361,-3.9260,0.3344,-0.5662,-0.3166,-0.3835,-0.7974,-3.2160,-5.9655,-0.2084,-0.1985,-0.5298,-0.3755,-0.3208,-0.2060
17,Operating Income,-2403683,-5765987,-15475882,-11735235,1801744,-4488795,-3710036,-5561712,-7591299,-17805069,-10860358,-20761000,-22439000,-40093000,-23513000,-15794000,-19199000
18,Operating Income ratio,-3.2339,-11.2647,-41.5630,-4.1016,0.1513,-0.5729,-0.3952,-0.8316,-0.9505,-3.5046,-6.7887,-0.3200,-0.3489,-0.6588,-0.4636,-0.3756,-0.3048
19,Total Other Income Expenses (Gains),-243916,- -,14053,163331,2181266,-113379,595909,2809338,1026608,1250018,850052,-20019000,-4549000,-5503000,-3644000,-6675000,-5327000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,-2752374,-6564691,-16555051,-10010306,-40780000,-26988000,-45596000,-27157000,-22469000,-24526000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,-0.4115,-0.8219,-3.2586,-6.2574,-0.6287,-0.4197,-0.7493,-0.5355,-0.5344,-0.3894
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,387000,304000,191000,275000,142000,156000
23,Net Income,-2796773,-5604743,-15091760,-11459985,3983010,-4602174,-3114127,-2752374,-6564691,-16555051,-10010306,-41167000,-27292000,-45787000,-27432000,-22611000,-24682000
24,Net Income ratio,-3.7628,-10.9497,-40.5313,-4.0054,0.3344,-0.5873,-0.3318,-0.4115,-0.8219,-3.2586,-6.2574,-0.6346,-0.4244,-0.7524,-0.5409,-0.5377,-0.3918
25,EPS,-366.52,-123.97,-210.21,-129.36,37.73,-43.12,-26.95,-20.02,-37.73,-77.00,-30.03,-105.69,-2.01,-2.31,-1.27,-0.99,-1.08
26,EPS Diluted,-366.52,-123.97,-210.21,-129.36,37.73,-43.12,-26.95,-20.02,-37.73,-77.00,-30.03,-105.69,-2.01,-2.31,-1.27,-0.99,-1.08
27,Weighted Average Shares Outstanding,7648,45375,71931,89182,100515,103462,116834,139441,174527,215009,334220,389501,13565781,19789867,21542284,22756167,22756167
28,Weighted Average Shares Outstanding Diluted,7648,45375,71931,89182,105428,103462,116834,139441,174527,215009,334220,389501,13565781,19789867,21542284,22756167,22756167
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1251769/000110465907028619/0001104659-07-028619-index.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465908018847/a08-4923_110ksb.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465909019941/0001104659-09-019941-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000119312510070132/0001193125-10-070132-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000119312511075092/d10k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000104746912002823/0001047469-12-002823-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000110465913021284/0001104659-13-021284-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000110465914020679/a14-1302_110k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000110465915022093/a14-26926_110k.htm,https://www.sec.gov/Archives/edgar/data/1251769/000155837016004287/0001558370-16-004287-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176917000013/0001251769-17-000013-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176918000012/0001251769-18-000012-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176919000009/0001251769-19-000009-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176920000015/0001251769-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1251769/000125176921000013/0001251769-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1251769/000125176922000006/0001251769-22-000006-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,5190273,1361214,7521071,7775593,6171486,6803506,14410630,24621083,11851639,17282325,8889616,19111000,30513000,23996000,29905000,36235000,90691000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,5190273,1361214,7521071,7775593,6171486,6803506,14410630,24621083,11851639,17282325,8889616,19111000,30513000,23996000,29905000,36235000,90691000
34,Net Receivables,186728,118361,10502,656221,341451,15390277,1334583,233794,1310037,727178,6988,10509000,11729000,11391000,9232000,8218000,10078000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12163000,14343000,9932000,8865000,10306000,11966000
36,Other Current Assets,127076,201175,217581,204863,180652,166682,331828,307907,292477,413260,357281,1838000,1015000,2801000,2998000,3771000,1965000
37,Total Current Assets,5504077,1680750,7749154,8636677,6693589,22360465,16077041,25162784,13454153,18422763,9253885,43621000,57600000,48120000,51000000,58530000,114700000
38,PP&E,118385,259135,422484,285218,238753,111403,176067,253595,211362,221148,149271,6889000,6885000,5897000,6612000,6221000,5593000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6828000,6828000,5290000,5290000,5290000,5290000
40,Intangible Assets,220953,343747,442706,462785,901026,1331612,1610752,1689804,1926868,2236909,2132129,43315000,36421000,9859000,7831000,6017000,4400000
41,Intangible Assets,220953,343747,442706,462785,901026,1331612,1610752,1689804,1926868,2236909,2132129,50143000,43249000,15149000,13121000,11307000,9690000
