,https://roic.ai/company/UIHC,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , 
1,Revenue,268228,101062000,88469000,79991000,96418000,131234000,208080000,280230000,357569000,487117000,654420000,723942000,825116000,846656000,634527000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,846656000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1.0000,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,35136000,47473000,- -,- -,11734000,14552000,20007000,29852000,42956000,81762000,66112000,65989000,72057000,57212000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,35136000,47473000,7506000,14764000,11734000,14552000,20007000,29852000,42956000,81762000,66112000,65989000,72057000,57212000
9,Other Expenses,63000000,26864000,34527000,73494000,68236000,104266000,159448000,195993000,286148000,437044000,572238000,661888000,792011000,-19181000,- -
10,Operating Expenses,63000000,62000000,82000000,81000000,83000000,116000000,174000000,216000000,316000000,480000000,654000000,728000000,858000000,52876000,- -
11,COGS and Expenses,114266,59459000,82142000,81399000,83402000,115520000,173593000,215820000,315709000,480114000,653510000,728181000,857722000,978759000,718384000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,2811000,3177000,1767000,548000,355000,367000,410000,326000,723000,3247000,9866000,9781000,9582000,9391000
14,Depreciation and Amortization,- -,781000,1188000,1106000,1218000,1260000,697000,801000,3328000,11713000,37532000,18482000,11997000,11046000,- -
15,EBITDA,153962,45195000,10692000,1465000,14782000,17329000,35551000,65621000,45514000,19439000,41689000,24005000,-11215000,-112431000,-72517000
16,EBITDA ratio,0.5740,0.4472,0.1209,0.0183,0.1533,0.1320,0.1709,0.2342,0.1273,0.0399,0.0637,0.0332,-0.0136,-0.1328,-0.1143
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,9392000,440000,4911000,3388000,4023000,6960000,8605000,11572000,18960000,51051000,15110000,16582000,-925883000,- -
20,Income Before Tax,153962,41603000,6327000,-1408000,13016000,15714000,34487000,64410000,41860000,7003000,910000,-4239000,-32606000,-132103000,-83857000
21,Income Before Tax Ratio,0.5740,0.4117,0.0715,-0.0176,0.1350,0.1197,0.1657,0.2298,0.1171,0.0144,0.0014,-0.0059,-0.0395,-0.1560,-0.1322
22,Income Tax expense (Gain),71505,8184000,2270000,-483000,4928000,6009000,14145000,23397000,14502000,1305000,-9235000,-4633000,-3121000,-36605000,-23989000
23,Net Income,82457,33419000,4057000,-925000,8088000,9705000,20342000,41013000,27358000,5698000,10145000,290000,-29872000,-96454000,-57919000
24,Net Income ratio,0.3074,0.3307,0.0459,-0.0116,0.0839,0.0740,0.0978,0.1464,0.0765,0.0117,0.0155,0.0004,-0.0362,-0.1139,-0.0913
25,EPS,0.03,3.17,0.38,-0.09,0.77,0.91,1.26,2.06,1.29,0.27,0.27,0.01,-0.70,-2.25,-1.35
26,EPS Diluted,0.03,3.08,0.38,-0.09,0.77,0.91,1.26,2.05,1.28,0.26,0.27,0.01,-0.70,-2.25,-1.35
27,Weighted Average Shares Outstanding,2879226,10548932,10568247,10573932,10442034,10607751,16100882,19933652,21218233,21417486,37152768,42650629,42763423,42864166,42948850
28,Weighted Average Shares Outstanding Diluted,3258383,10854743,10568247,10573932,10442034,10655524,16183098,20045907,21452540,21614443,37375340,42838886,42763423,42864166,42948850
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1401521/000119312509067836/0001193125-09-067836-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000119312510067216/0001193125-10-067216-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152111000003/0001401521-11-000003-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152112000005/0001401521-12-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152113000012/0001401521-13-000012-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152114000008/0001401521-14-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152115000007/0001401521-15-000007-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152116000138/0001401521-16-000138-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152117000053/0001401521-17-000053-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152118000044/0001401521-18-000044-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152119000077/0001401521-19-000077-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152120000018/0001401521-20-000018-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152121000013/0001401521-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/1401521/000140152122000010/0001401521-22-000010-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,71274,31689000,27086000,71644000,41639000,71205000,34888000,61391000,84786000,150688000,276275000,112679000,215469000,239420000,212024000
32,Short-Term Investments,- -,- -,- -,- -,- -,151880000,288626000,381627000,452714000,528647000,834531000,862345000,884861000,940011000,663602000
33,Cash and Short-Term Investments,71274,31689000,27086000,71644000,41639000,223085000,323514000,443018000,537500000,679335000,1110806000,975024000,1100330000,1179431000,875626000
34,Net Receivables,- -,10216000,9149000,7825000,11205000,19426000,28502000,33437000,44131000,62911000,471049000,721814000,636704000,908495000,1076286000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,-10216000,-9149000,-79397356,-52802361,-242439795,-351981112,-476393609,-581546214,-742095312,-1305580000,-1584159000,-1521565000,-1848506000,-77880000
37,Total Current Assets,71274,31689000,27086000,71644,41639,71205,34888,61391,84786,150688,276275000,112679000,215469000,239420000,1874032000
38,PP&E,- -,294000,322000,- -,- -,548000,592000,8022000,17135000,17860000,17291000,17137000,32728000,34187000,31561000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,3413000,14254000,73045000,73045000,73045000,73045000,73045000
40,Intangible Assets,- -,1232000,1203000,- -,- -,553000,1816000,- -,- -,- -,45271000,31351000,26079000,21930000,18375000
41,Intangible Assets,- -,1232000,1203000,- -,- -,553000,1816000,- -,3413000,14254000,118316000,104396000,99124000,94975000,91420000
42,Investments,- -,125918000,132724000,54298000,123959000,151880000,288926000,381627000,452714000,528647000,834531000,943323000,1001471000,947456000,701560000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,-127150000,-133927000,- -,-60847000,-79906000,-199994000,-279867000,-311911000,-279293000,-116298000,96241000,-1001471000,-947456000,- -
45,Total Non-Current Assets,- -,294000,322000,- -,63112000,73075000,91340000,109782000,161351000,281468000,853840000,1161097000,131852000,129162000,824541000
46,Other Assets,37806764,- -,- -,213549356,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3523114000
