,https://roic.ai/company/SGH,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , 
1,Revenue,643469000,534423000,761291000,1288821000,1211999000,1122377000,1501142000
2,COGS,512032000,427491000,599041000,997235000,974472000,905981000,1192762000
3,Gross Profit,131437000,106932000,162250000,291586000,237527000,216396000,308380000
4,Gross Profit Ratio,0.2043,0.2001,0.2131,0.2262,0.1960,0.1928,0.2054
5,Research and Development Exp.,43741000,38116000,33263000,39824000,47920000,52056000,49274000
6,General and Administrative Exp.,93263000,61496000,62717000,84541000,98178000,119523000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",93263000,61496000,62717000,84541000,98178000,119523000,169455000
9,Other Expenses,- -,- -,35720000,- -,2348000,- -,2054000
10,Operating Expenses,137004000,99612000,131700000,124365000,148446000,171579000,220783000
11,COGS and Expenses,649036000,527103000,730741000,1121600000,1122918000,1077560000,1413545000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),27560000,25575000,29204000,19144000,20716000,15000000,17600000
14,Depreciation and Amortization,50145000,31480000,33238000,26182000,29206000,41490000,56648000
15,EBITDA,37903000,39539000,64561000,183104000,116126000,65850000,111024000
16,EBITDA ratio,0.0589,0.0740,0.0848,0.1421,0.0958,0.0587,0.0740
17,Operating Income,-6710000,6185000,53874000,170221000,89081000,41330000,55197000
18,Operating Income ratio,-0.0104,0.0116,0.0708,0.1321,0.0735,0.0368,0.0368
19,Total Other Income Expenses (Gains),-33092000,-23701000,-51755000,-32443000,-22877000,-31970000,-17225000
20,Income Before Tax,-39802000,-17516000,2119000,137778000,66204000,9360000,37972000
21,Income Before Tax Ratio,-0.0619,-0.0328,0.0028,0.1069,0.0546,0.0083,0.0253
22,Income Tax expense (Gain),6649000,2444000,9914000,18315000,14872000,10503000,15466000
23,Net Income,-46451000,-19960000,-7795000,119463000,51332000,-1143000,21310000
24,Net Income ratio,-0.0722,-0.0373,-0.0102,0.0927,0.0424,-0.0010,0.0142
25,EPS,-1.12,-0.48,-0.24,2.71,1.12,-0.03,0.44
26,EPS Diluted,-1.12,-0.48,-0.24,2.58,1.09,-0.03,0.41
27,Weighted Average Shares Outstanding,41414554,41414554,31570000,44102000,45918000,47988000,48558000
28,Weighted Average Shares Outstanding Diluted,41414554,41414554,31570000,46238000,46936000,47988000,51584000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1616533/000156459017019480/0001564590-17-019480-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459018025456/0001564590-18-025456-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459019041109/0001564590-19-041109-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459020047291/0001564590-20-047291-index.htm,https://www.sec.gov/Archives/edgar/data/1616533/000156459021051710/0001564590-21-051710-index.htm
30,BALANCE SHEET, , , , , , , 
31,Cash and Cash Equivalents,68094000,58634000,22436000,31375000,98139000,150811000,222986000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,68094000,58634000,22436000,31375000,98139000,150811000,222986000
34,Net Receivables,197044000,146028000,187583000,250573000,234748000,224370000,313393000
35,Inventory,132904000,103066000,127135000,221419000,118738000,162991000,363601000
36,Other Current Assets,13061000,11530000,9835000,18682000,20635000,18538000,50838000
37,Total Current Assets,411103000,319258000,346989000,522049000,472260000,556710000,950818000
38,PP&E,60311000,57600000,55182000,56615000,68345000,87888000,197135000
39,Goodwill,43594000,44976000,46022000,45394000,81423000,73955000,74255000
40,Intangible Assets,30240000,16884000,5107000,26255000,69325000,55671000,101073000
41,Intangible Assets,73834000,61860000,51129000,71649000,150748000,129626000,175328000
42,Investments,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,127000,290000,1439000,2430000,- -,3450000,- -
44,Other Non-Current Assets,19332000,19647000,25289000,20019000,12784000,8934000,21517000
45,Total Non-Current Assets,153604000,139397000,133039000,150713000,231877000,229898000,393980000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,564707000,458655000,480028000,672762000,704137000,786608000,1344798000
48,Accounts Payable,284180000,197976000,189717000,223186000,164866000,224660000,429640000
49,Short-Term Debt,12382000,17116000,- -,27409000,- -,5304000,25354000
50,Tax Payable,- -,- -,- -,- -,- -,7495000,14319000
51,Deferred Revenue,- -,- -,- -,8292000,- -,21181000,- -
52,Other Current Liabilities,16467000,14071000,50157000,36898000,73034000,31344000,128804000
53,Total Current Liabilities,313029000,229163000,239874000,295785000,237900000,282489000,583798000
54,Long-Term Debt,234617000,225587000,154450000,184190000,182450000,216402000,372903000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,4193000,2677000,1439000,- -,- -,- -,- -
