,https://roic.ai/company/KRNT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,39167000,49395000,66364000,86405000,108694000,114088000,142373000,179866000,193331000,322006000
2,COGS,22741000,27953000,37187000,45820000,59284000,59977000,72504000,97790000,105530000,170095000
3,Gross Profit,16426000,21442000,29177000,40585000,49410000,54111000,69869000,82076000,87801000,151911000
4,Gross Profit Ratio,0.4194,0.4341,0.4397,0.4697,0.4546,0.4743,0.4907,0.4563,0.4541,0.4718
5,Research and Development Exp.,4839000,7443000,9475000,11950000,17383000,20834000,21912000,22407000,31464000,43729000
6,General and Administrative Exp.,3092000,3278000,5266000,9500000,12259000,13578000,16436000,18498000,26661000,36637000
7,Selling and Marketing Exp.,4668000,7734000,10616000,13367000,18338000,21279000,25596000,33573000,36405000,58752000
8,"Selling, General and Administrative Exp.",7760000,11012000,15882000,22867000,30597000,34857000,42032000,52071000,63066000,95389000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12599000,18455000,25357000,34817000,47980000,55691000,63944000,74478000,94530000,139118000
11,COGS and Expenses,35340000,46408000,62544000,80637000,107264000,116171000,136769000,172268000,200060000,309213000
12,Interest Income ,60000,19000,8000,416000,1255000,1999000,2513000,4510000,5108000,- -
13,Interest Expense (Gain),- -,- -,- -,334000,-46000,-452000,-1433000,-3313000,- -,- -
14,Depreciation and Amortization,786000,1168000,1352000,1782000,2973000,4814000,4965000,4441000,4711000,6967000
15,EBITDA,4328000,3695000,5157000,7550000,4403000,2376000,10569000,12039000,1480000,22359000
16,EBITDA ratio,0.1105,0.0748,0.0777,0.0874,0.0405,0.0208,0.0742,0.0669,0.0077,0.0694
17,Operating Income,3827000,2987000,3820000,5768000,1430000,-2083000,5604000,7598000,-6729000,12793000
18,Operating Income ratio,0.0977,0.0605,0.0576,0.0668,0.0132,-0.0183,0.0394,0.0422,-0.0348,0.0397
19,Total Other Income Expenses (Gains),-285000,-460000,-15000,-334000,46000,452000,1433000,3313000,3498000,2599000
20,Income Before Tax,3542000,2527000,3805000,5434000,1476000,-1631000,7037000,10911000,-3231000,15392000
21,Income Before Tax Ratio,0.0904,0.0512,0.0573,0.0629,0.0136,-0.0143,0.0494,0.0607,-0.0167,0.0478
22,Income Tax expense (Gain),1228000,1393000,782000,709000,648000,29000,-5392000,744000,1552000,-135000
23,Net Income,2314000,1134000,3023000,4725000,828000,-2015000,12429000,10167000,-4783000,15527000
