,https://roic.ai/company/MNTX,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , 
1,Revenue,6263000,967000,7929000,7641367,45768000,106946000,106341000,55887000,95875000,142291000,205249000,245072000,264081000,386737000,288959000,213112000,242107000,224776000,167498000,211539000
2,COGS,2281000,702000,6460000,7405416,41646000,87027000,88876000,44730000,72541000,113041000,164785000,198596000,215817000,317231000,240375000,176266000,198060000,184320000,136632000,178603000
3,Gross Profit,3982000,265000,1469000,235951,4122000,19919000,17465000,11157000,23334000,29250000,40464000,46476000,48264000,69506000,48584000,36846000,44047000,40456000,30866000,32936000
4,Gross Profit Ratio,0.6358,0.2740,0.1853,0.0309,0.0901,0.1863,0.1642,0.1996,0.2434,0.2056,0.1971,0.1896,0.1828,0.1797,0.1681,0.1729,0.1819,0.1800,0.1843,0.1557
5,Research and Development Exp.,1843000,394000,1572000,456447,209000,808000,819000,836000,1173000,1571000,2457000,2912000,2552000,5829000,4877000,2564000,2839000,2714000,3227000,3332000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23548000,26026000,- -,- -,- -,- -,- -,- -,28743000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23548000,26026000,31776000,55256000,45422000,34547000,35707000,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47096000,52052000,31776000,55256000,45422000,34547000,35707000,- -,28743000,31948000
9,Other Expenses,1855000,324000,3786000,3212401,12183000,12758000,12909000,6722000,16448000,19826000,-23548000,-26026000,- -,- -,- -,- -,- -,35615000,- -,2078000
10,Operating Expenses,3698000,718000,5358000,3668848,12392000,13566000,13728000,7558000,17621000,21397000,26005000,28938000,34328000,61085000,50299000,37111000,38546000,38329000,31970000,37358000
11,COGS and Expenses,5979000,1420000,11818000,11074264,54038000,100593000,102604000,52288000,90162000,134438000,190790000,227534000,250145000,378316000,290674000,213377000,236606000,222649000,168602000,215961000
12,Interest Income ,- -,- -,- -,155211,39000,6000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,168000,229000,97000,43000
13,Interest Expense (Gain),- -,232000,1335000,53766,1969000,3438000,1961000,1864000,2450000,2540000,2457000,2946000,3150000,12984000,14635000,6498000,5508000,4603000,3595000,-2084000
14,Depreciation and Amortization,- -,52000,361000,448740,1643000,2108000,2008000,2453000,3139000,3336000,3498000,3945000,4572000,12082000,11241000,5107000,4989000,4702000,4354000,1004000
15,EBITDA,49000,-401000,-3528000,-2833779,-6603000,6665000,7559000,5859000,8724000,10089000,17853000,21338000,18501000,18969000,-9829000,3409000,-2169000,3576000,-4987000,-4436000
16,EBITDA ratio,0.0078,-0.4147,-0.4449,-0.3708,-0.1443,0.0623,0.0711,0.1048,0.0910,0.0709,0.0870,0.0871,0.0701,0.0490,-0.0340,0.0160,-0.0090,0.0159,-0.0298,-0.0210
17,Operating Income,284000,-453000,-3889000,-3432897,-8270000,6353000,3408000,3344000,5537000,6601000,14459000,17538000,13936000,8421000,-1715000,-265000,-235000,-5985000,-7826000,-4422000
18,Operating Income ratio,0.0453,-0.4685,-0.4905,-0.4493,-0.1807,0.0594,0.0320,0.0598,0.0578,0.0464,0.0704,0.0716,0.0528,0.0218,-0.0059,-0.0012,-0.0010,-0.0266,-0.0467,-0.0209
19,Total Other Income Expenses (Gains),-235000,-232000,-1335000,96612,-1945000,-4064000,-2016000,-1802000,-2402000,-2388000,-2561000,-3091000,-3293000,-12931000,-14853000,-7280000,-12022000,256000,-4219000,1066000
20,Income Before Tax,49000,-685000,-5224000,-3336285,-10215000,2289000,1392000,1542000,3135000,4213000,11898000,14447000,10643000,-4510000,-16568000,-7545000,-12257000,-5729000,-12045000,-3356000
21,Income Before Tax Ratio,0.0078,-0.7084,-0.6588,-0.4366,-0.2232,0.0214,0.0131,0.0276,0.0327,0.0296,0.0580,0.0590,0.0403,-0.0117,-0.0573,-0.0354,-0.0506,-0.0255,-0.0719,-0.0159
22,Income Tax expense (Gain),- -,-232000,-1770000,-1083600,-1326000,163000,-407000,-2097000,1026000,1433000,3821000,4269000,3676000,-725000,-545000,-118000,511000,2763000,674000,1217000
23,Net Income,49000,-453000,-3454000,-2252685,-8889000,956000,3997000,3639000,2109000,2780000,8077000,10178000,7103000,-5372000,-35160000,-8078000,-13177000,-8492000,-13610000,-4573000
24,Net Income ratio,0.0078,-0.4685,-0.4356,-0.2948,-0.1942,0.0089,0.0376,0.0651,0.0220,0.0195,0.0394,0.0415,0.0269,-0.0139,-0.1217,-0.0379,-0.0544,-0.0378,-0.0813,-0.0216
25,EPS,0.06,3.11,-4.30,-0.52,-1.66,0.11,0.22,0.33,0.19,0.24,0.68,0.80,0.51,-0.34,-2.18,-0.49,-0.72,-0.43,-0.69,-0.23
26,EPS Diluted,0.06,3.11,-4.30,-0.52,-1.66,0.10,0.21,0.33,0.19,0.24,0.68,0.80,0.51,-0.34,-2.18,-0.49,-0.72,-0.43,-0.69,-0.23
27,Weighted Average Shares Outstanding,804100,134100,804100,4339649,5346225,8557095,10071585,10957646,11362361,11441914,11948356,12671205,13858189,15970074,16133284,16548444,18409296,19687414,19773081,19900117
28,Weighted Average Shares Outstanding Diluted,804100,134100,1003963,4365932,5346225,9214407,10375062,10965444,11380966,11548158,11957458,12717565,13904289,15970074,16133284,16548444,18409296,19687414,19773081,19900117
