,https://roic.ai/company/ORMP,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,641000,2456000,2449000,2703000,2710000,2703000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,490000,187000,-86000,90000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,151000,2269000,2535000,2613000,2710000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2356,0.9239,1.0351,0.9667,1.0000,- -
5,Research and Development Exp.,10000,- -,- -,197748,2214000,1175657,1522188,1463886,1159309,1680845,2271794,3277000,4781000,7709000,10281000,11979000,13522000,10235000,20989000
6,General and Administrative Exp.,50000,280000,44808,215135,918000,1504354,1261930,1508667,1275960,1203164,2032129,2629000,2602000,2452000,2759000,4083000,3722000,4232000,5937000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",50000,280000,44808,215135,918000,1504354,1261930,1508667,1275960,1203164,2032129,2629000,2602000,2452000,2759000,4083000,3722000,4232000,5937000
9,Other Expenses,-10000,440000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,50000,720000,44808,412883,3132000,2680011,2784118,2972553,2435269,2884009,4303923,5906000,7383000,10161000,13040000,16062000,17244000,14467000,26926000
11,COGS and Expenses,50000,720000,44808,412883,3132000,2680011,2784118,2972553,2435269,2884009,4303923,5906000,7383000,10651000,13227000,15976000,17334000,14467000,26926000
12,Interest Income ,- -,- -,- -,- -,- -,- -,38602,24692,33232,13126,18728,225000,168000,474000,785000,903000,1061000,690000,347000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,17555,14544,18780,199123,313446,11000,- -,- -,- -,- -,- -,- -,- -
14,Depreciation and Amortization,- -,- -,- -,- -,108000,15454,30488,31862,28303,14737,5379,6000,4000,4000,5000,6000,8000,7000,77000
15,EBITDA,-50000,-720000,-44808,-412883,-3024000,-2664557,-2753630,-2940691,-2406966,-2869272,-4298544,-5900000,-7379000,-9625000,-10075000,-12721000,-14047000,-11504000,-22161000
16,EBITDA ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.0156,-4.1022,-5.1944,-5.1968,-4.2450,-8.1987
17,Operating Income,-50000,-720000,-44808,-412883,-3132000,-2680011,-2784118,-2972553,-2435269,2884009,-4303923,-5906000,-7383000,-10010000,-10771000,-13527000,-14631000,-11757000,-24223000
18,Operating Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-15.6162,-4.3856,-5.5235,-5.4129,-4.3384,-8.9615
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,5287118,21047,10148,850044,-6138269,-132951,214000,150000,381000,691000,800000,576000,246000,1234000
20,Income Before Tax,-50000,-720000,- -,- -,- -,2607107,-2763071,-2962405,-1585225,-3254260,-4436874,-5692000,-7233000,-9629000,-10080000,-12727000,-14055000,-11511000,-22989000
21,Income Before Tax Ratio,-Infinity,-Infinity,- -,- -,- -,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-15.0218,-4.1042,-5.1968,-5.1998,-4.2476,-8.5050
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,162164,-2597,14971,-23980,90218,-205062,4000,-1000,1335000,400000,- -,300000,- -,- -
23,Net Income,-50000,-720000,-45781,-414576,-3236000,-2769271,-2760474,-2977376,-1561245,-3344478,-4231812,-5696000,-7232000,-10964000,-10480000,-12727000,-14355000,-11511000,-22238000
24,Net Income ratio,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-17.1045,-4.2671,-5.1968,-5.3108,-4.2476,-8.2272
25,EPS,-0.02,-0.28,-0.03,-0.12,-0.96,-0.72,-0.60,-0.60,-0.24,-0.60,-0.59,-0.62,-0.67,-0.87,-0.79,-0.86,-0.82,-0.56,-0.78
26,EPS Diluted,-0.02,-0.28,-0.03,-0.12,-0.96,-0.72,-0.60,-0.60,-0.24,-0.60,-0.59,-0.62,-0.67,-0.87,-0.79,-0.86,-0.82,-0.56,-0.78
27,Weighted Average Shares Outstanding,2900000,2540000,1539623,2783122,3524825,4050391,4720466,4782480,5416563,5883794,7209283,9244059,10820465,12624356,13309372,14882356,17454489,20532347,28469068
28,Weighted Average Shares Outstanding Diluted,2900000,2540000,1539623,2783122,3524825,4050391,4720466,4782480,5416563,5883794,7209283,9244059,10820465,12624356,13309372,14882356,17454489,20532347,28469068
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1176309/000106299303001291/form10ksb.htm,- -,https://www.sec.gov/Archives/edgar/data/1176309/000108503706000360/form10ksba.htm,https://www.sec.gov/Archives/edgar/data/1176309/000108503706002490/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000106299307004951/form10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000114420408066960/v133559_10ksb.htm,https://www.sec.gov/Archives/edgar/data/1176309/000114420409062083/0001144204-09-062083-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000114420410063863/0001144204-10-063863-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891311003216/0001178913-11-003216-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891312003413/zk1212365.htm,https://www.sec.gov/Archives/edgar/data/1176309/000117891313003442/0001178913-13-003442-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000117891314003555/0001178913-14-003555-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390015009096/0001213900-15-009096-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390016018954/0001213900-16-018954-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390017012754/0001213900-17-012754-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390018016666/0001213900-18-016666-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390019024940/0001213900-19-024940-index.html,https://www.sec.gov/Archives/edgar/data/1176309/000121390020038924/0001213900-20-038924-index.htm,https://www.sec.gov/Archives/edgar/data/1176309/000121390021062009/0001213900-21-062009-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,176190,1918000,2267320,1716866,1199638,1513365,4430740,2272228,1762000,3213000,3907000,3969000,4996000,3329000,19296000,77245000
32,Short-Term Investments,- -,- -,- -,- -,- -,2728000,1000000,100000,384565,200311,956376,1047000,2088000,2855000,2860000,4592000,3701000,9544000,16895000
33,Cash and Short-Term Investments,- -,- -,- -,176190,1918000,4995320,2716866,1299638,1897930,4631051,3228604,2809000,5301000,6762000,6829000,9588000,7030000,28840000,94140000
34,Net Receivables,- -,- -,- -,- -,- -,- -,437344,71613,567082,88095,62942,408000,- -,- -,- -,- -,- -,- -,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,1260,- -,12000,402574,20119,25556,1819070,557330,5352730,18561000,12071000,24468000,13468000,21449000,26294000,11671000,1197000
37,Total Current Assets,- -,- -,1260,176190,1930000,5397894,3174329,1396807,4284082,5276476,8644276,21778000,17372000,31230000,20297000,31037000,33324000,40511000,95337000
38,PP&E,- -,- -,- -,- -,2000,98296,75361,43499,17376,4768,5768,14000,11000,16000,18000,17000,24000,174000,932000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,10186,8867,4593,- -,8958000,11569000,18382000,16326000,1295000,3928000,6692000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
