,https://roic.ai/company/CWH,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , 
1,Revenue,2356595000,2634998000,3333261000,3526706000,4285255000,4792017000,4892019000,5446591000,6913754000
2,COGS,1693932000,1888803000,2419299000,2528105000,3038916000,3429085000,3604621000,3744112000,4457426000
3,Gross Profit,662663000,746195000,913962000,998601000,1246339000,1362932000,1287398000,1702479000,2456328000
4,Gross Profit Ratio,0.2812,0.2832,0.2742,0.2832,0.2908,0.2844,0.2632,0.3126,0.3553
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,482655000,536485000,644409000,691884000,853160000,1069359000,1141643000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",482655000,536485000,644409000,691884000,853160000,1069359000,1141643000,- -,1573609000
9,Other Expenses,21183000,24601000,24101000,24695000,31545000,49322000,59932000,1208052000,66418000
10,Operating Expenses,503838000,561086000,668510000,716579000,884705000,1118681000,1201575000,1208052000,1640027000
11,COGS and Expenses,2197770000,2449889000,3087809000,3244684000,3923621000,4547766000,4806196000,4952164000,6097453000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),84708000,57444000,65804000,67172000,70649000,101644000,109471000,74378000,61020000
14,Depreciation and Amortization,21183000,24601000,24101000,24695000,31545000,49322000,59932000,51981000,66418000
15,EBITDA,128696000,207811000,269791000,289435000,287538000,192154000,138394000,306447000,498023000
16,EBITDA ratio,0.0546,0.0789,0.0809,0.0821,0.0671,0.0401,0.0283,0.0563,0.0720
17,Operating Income,157022000,185076000,245689000,281368000,361380000,201015000,8747000,476195000,799544000
18,Operating Income ratio,0.0666,0.0702,0.0737,0.0798,0.0843,0.0419,0.0018,0.0874,0.1156
19,Total Other Income Expenses (Gains),-134217000,-59310000,-65803000,-72224000,28576000,-104644000,-99466000,-74237000,-65345000
20,Income Before Tax,22805000,125766000,179886000,209144000,389956000,96371000,-90719000,401958000,734199000
21,Income Before Tax Ratio,0.0097,0.0477,0.0540,0.0593,0.0910,0.0201,-0.0185,0.0738,0.1062
22,Income Tax expense (Gain),1988000,2140000,1356000,5907000,156982000,30790000,29582000,57743000,92124000
23,Net Income,20817000,123626000,178530000,191661000,28362000,10398000,-60591000,122345000,278461000
24,Net Income ratio,0.0088,0.0469,0.0536,0.0543,0.0066,0.0022,-0.0124,0.0225,0.0403
25,EPS,1.13,7.23,9.69,0.11,-0.70,0.28,-1.62,3.11,7.07
26,EPS Diluted,1.13,1.51,9.69,0.09,-0.70,0.28,-1.62,3.09,7.07
27,Weighted Average Shares Outstanding,18427352,17106889,18427352,18766000,26622000,36985000,37310000,39383000,39383000
28,Weighted Average Shares Outstanding Diluted,18427352,82062775,18427352,83602000,26622000,88878000,37350000,40009000,39383000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1669779/000155837017001687/0001558370-17-001687-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837018001998/0001558370-18-001998-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837019002047/0001558370-19-002047-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837020001794/0001558370-20-001794-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837021002004/0001558370-21-002004-index.htm,https://www.sec.gov/Archives/edgar/data/1669779/000155837022001817/0001558370-22-001817-index.htm
30,BALANCE SHEET, , , , , , , , , 
31,Cash and Cash Equivalents,- -,110710000,92025000,114196000,224163000,138557000,147521000,166072000,267332000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,110710000,92025000,114196000,224163000,138557000,147521000,166072000,267332000
34,Net Receivables,- -,71589000,78248000,87500000,126108000,138925000,126794000,131597000,159385000
35,Inventory,- -,676806000,868939000,909254000,1415915000,1558970000,1358539000,1136345000,1792865000
36,Other Current Assets,- -,18780000,18984000,21755000,32721000,51710000,57827000,60211000,64295000
37,Total Current Assets,- -,877885000,1058196000,1132705000,1798907000,1888162000,1690681000,1494225000,2283877000
38,PP&E,- -,201812000,149725000,130760000,198022000,359855000,1121911000,1137385000,1350200000
39,Goodwill,- -,61053000,112940000,153105000,348387000,359117000,386941000,413123000,483634000
40,Intangible Assets,- -,2441000,1652000,3386000,38707000,35284000,29707000,30122000,30970000
41,Intangible Assets,- -,63494000,114592000,156491000,387094000,394401000,416648000,443245000,514604000
