,https://roic.ai/company/SRGA,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,33025987,122503000,140726000,118490000,75510000,92703000,75199000,73970000,94207000,146635000,164527000,166171000,169316000,178113000,197979000,262810000,282293000,272865000,279563000,280855000,308384000,101749000,90500000
2,COGS,18596304,91282000,112631000,94309000,42766000,55526000,55457000,54647000,56557000,77821000,87034000,90168000,92102000,92896000,117874000,129013000,132551000,140516000,137042000,140732000,137259000,44002000,- -
3,Gross Profit,14429683,31221000,28095000,24181000,32744000,37177000,19742000,19323000,37650000,68814000,77493000,76003000,77214000,85217000,80105000,133797000,149742000,132349000,142521000,140123000,171125000,57747000,- -
4,Gross Profit Ratio,0.4369,0.2549,0.1996,0.2041,0.4336,0.4010,0.2625,0.2612,0.3997,0.4693,0.4710,0.4574,0.4560,0.4784,0.4046,0.5091,0.5304,0.4850,0.5098,0.4989,0.5549,0.5675,- -
5,Research and Development Exp.,1675019,2392000,2631000,2460000,2441000,3838000,5003000,5403000,5190000,8143000,8899000,9435000,9806000,12231000,15241000,15536000,15065000,16090000,13375000,14410000,16836000,11947000,13888000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000,- -,4798000,- -,- -,- -,- -,157675000,124390000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,58376000,81635000,107653000,107439000,116125000,115103000,119217000,- -,- -,- -
8,"Selling, General and Administrative Exp.",9739790,20578000,35962000,29236000,23515000,23224000,23350000,27252000,31040000,54168000,59325000,59232000,55637000,58396000,81635000,112451000,107439000,116125000,115103000,119217000,157675000,124390000,- -
9,Other Expenses,576094,1449000,- -,5098000,169000,136000,336000,4202000,4185000,104409000,- -,- -,- -,-20000,- -,-4798000,- -,3830000,- -,- -,- -,- -,- -
10,Operating Expenses,11990903,24419000,38593000,36794000,26125000,27198000,28689000,36857000,40415000,166720000,68224000,68667000,65443000,70607000,96876000,123189000,122504000,136045000,128478000,133627000,174511000,136337000,- -
11,COGS and Expenses,30587207,115701000,151224000,131103000,68891000,82724000,84146000,91504000,96972000,244541000,155258000,158835000,157545000,163503000,214750000,252202000,255055000,276561000,265520000,274359000,311770000,180339000,- -
12,Interest Income ,- -,1207000,1313000,186000,235000,96000,361000,934000,849000,567000,273000,114000,193000,185000,23000,9000,3000,8000,8000,35000,161000,92000,- -
13,Interest Expense (Gain),- -,434000,106000,2758000,981000,967000,862000,898000,753000,797000,544000,537000,201000,- -,542000,1357000,1492000,1655000,3180000,2771000,12571000,31000,- -
14,Depreciation and Amortization,576094,1449000,2344000,2887000,4413000,4057000,4326000,5334000,5423000,6160000,7139000,7498000,8026000,7993000,12202000,15395000,16522000,16510000,14226000,14569000,22675000,6581000,2479000
15,EBITDA,2916725,9459000,-6841000,-10892000,11267000,14132000,-4260000,-11266000,3704000,-91630000,16138000,-119759000,19831000,20437000,-16180000,20941000,41228000,705000,43131000,11759000,-159159000,-30657000,-83058000
16,EBITDA ratio,0.0883,0.0772,-0.0486,-0.0919,0.1492,0.1524,-0.0566,-0.1523,0.0393,-0.6249,0.0981,-0.7207,0.1171,0.1147,-0.0817,0.0797,0.1460,0.0026,0.1543,0.0419,-0.5161,-0.3013,-0.9178
17,Operating Income,2438780,6802000,-10498000,-13965000,6619000,9979000,-8947000,-17534000,-2568000,-98357000,9019000,-127375000,11771000,12240000,-28656000,5625000,24625000,-15681000,28810000,-2501000,-181856000,-198021000,-137283000
18,Operating Income ratio,0.0738,0.0555,-0.0746,-0.1179,0.0877,0.1076,-0.1190,-0.2370,-0.0273,-0.6708,0.0548,-0.7665,0.0695,0.0687,-0.1447,0.0214,0.0872,-0.0575,0.1031,-0.0089,-0.5897,-1.9462,-1.5169
19,Total Other Income Expenses (Gains),-98149,774000,1207000,-2572000,-746000,-871000,-501000,36000,96000,-230000,-564000,-419000,-167000,204000,-268000,-1436000,-1411000,-1779000,-3085000,-3080000,-12549000,340000,- -
20,Income Before Tax,2340631,7576000,-9291000,-16537000,5873000,9108000,-9448000,-17498000,-2472000,-98587000,8455000,-127794000,11604000,12444000,-28924000,4189000,23214000,-17460000,25725000,-5581000,-194405000,-197681000,- -
21,Income Before Tax Ratio,0.0709,0.0618,-0.0660,-0.1396,0.0778,0.0982,-0.1256,-0.2366,-0.0262,-0.6723,0.0514,-0.7691,0.0685,0.0699,-0.1461,0.0159,0.0822,-0.0640,0.0920,-0.0199,-0.6304,-1.9428,- -
22,Income Tax expense (Gain),-618862,3117000,-3786000,-3032000,-483000,2953000,-3897000,-6373000,-376000,1391000,2600000,1605000,3226000,4042000,-11110000,1493000,8299000,-3061000,19453000,-4331000,17237000,-3486000,-886000
23,Net Income,2959493,4459000,-5505000,-13505000,6356000,6155000,-5551000,-11125000,-2096000,-99978000,5855000,-129399000,8378000,8402000,-17814000,2696000,14915000,-14399000,6272000,-1250000,-211642000,-33783000,-84651000
24,Net Income ratio,0.0896,0.0364,-0.0391,-0.1140,0.0842,0.0664,-0.0738,-0.1504,-0.0222,-0.6818,0.0356,-0.7787,0.0495,0.0472,-0.0900,0.0103,0.0528,-0.0528,0.0224,-0.0045,-0.6863,-0.3320,-0.9354
25,EPS,0.81,0.42,-0.25,-0.60,0.24,0.23,-0.20,-0.37,-0.07,-2.00,0.11,-2.36,0.15,0.15,-0.34,-0.01,0.20,-0.31,0.04,-0.05,-3.02,-0.45,-0.69
26,EPS Diluted,0.18,0.22,-0.25,-0.60,0.24,0.23,-0.20,-0.37,-0.07,-2.00,0.11,-2.36,0.15,0.15,-0.34,-0.01,0.20,-0.31,0.04,-0.05,-3.02,-0.45,-0.69
27,Weighted Average Shares Outstanding,3669970,10639884,21760596,22434436,26365348,26593030,27754003,29753166,29824816,49912154,54349391,54729608,55150886,55861957,56258624,56735924,57611231,58236745,59684289,63521703,70150492,74403155,122592569
28,Weighted Average Shares Outstanding Diluted,16636791,20343214,21760596,22434436,26999175,27063283,27754003,29753166,29824816,49912154,54772489,54729608,55354675,56068795,56258624,56735924,58590494,58236745,60599952,63521703,70150492,74403155,122592569
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1760173/000119312520162640/0001193125-20-162640-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000119312520162650/0001193125-20-162650-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000156459021013644/0001564590-21-013644-index.htm,https://www.sec.gov/Archives/edgar/data/1760173/000162828022006258/0001628280-22-006258-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,7536287,34944000,13504000,9811000,10051000,11484000,25559000,15509000,18560000,20076000,17382000,28212000,46178000,49696000,18721000,15703000,12614000,13849000,22381000,10949000,5608000,43962000,51287000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,7536287,34944000,13504000,9811000,10051000,11484000,25559000,15509000,18560000,20076000,17382000,28212000,46178000,49696000,18721000,15703000,12614000,13849000,22381000,10949000,5608000,43962000,51287000
34,Net Receivables,15506750,27631000,21695000,14082000,5942000,9544000,9021000,9337000,13754000,14668000,22228000,20126000,20674000,21694000,31752000,38833000,47243000,41488000,46140000,52271000,62091000,35726000,25628000
35,Inventory,16232109,23442000,29283000,28626000,41655000,40431000,38534000,37026000,39847000,75182000,93935000,87278000,76598000,76509000,106126000,113464000,118673000,119743000,111927000,107471000,124149000,22841000,26204000
36,Other Current Assets,1922641,3367000,8939000,24293000,20934000,7655000,12181000,11429000,16281000,21784000,19397000,23456000,16231000,18673000,30060000,29496000,13184000,5213000,5226000,4871000,3966000,1653000,2553000
37,Total Current Assets,41197787,89384000,73421000,76812000,78582000,69114000,85295000,73301000,88442000,131710000,152942000,159072000,159681000,166572000,186659000,197496000,191714000,180293000,185674000,175562000,195814000,104182000,105672000
38,PP&E,5812783,14787000,36122000,50575000,43689000,44424000,44527000,41047000,35549000,47622000,46562000,43346000,44532000,49644000,74738000,77028000,84992000,83298000,79564000,77954000,69890000,521000,- -
39,Goodwill,- -,- -,2613000,- -,- -,- -,- -,2863000,151000,134432000,134681000,- -,- -,2062000,54887000,54887000,54887000,54887000,46242000,59798000,55384000,- -,- -
40,Intangible Assets,- -,2810000,- -,- -,- -,2863000,2863000,5515000,8461000,12675000,12301000,15611000,13654000,13766000,33786000,30261000,26213000,23994000,23070000,26359000,10492000,- -,- -
41,Intangible Assets,- -,2810000,2613000,- -,- -,2863000,2863000,8378000,8612000,147107000,146982000,15611000,13654000,15828000,88673000,85148000,81100000,78881000,69312000,86157000,65876000,- -,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,2789000,2466000,- -,- -,4893000,1782000,7348000,7007000,7099000,11700000,8652000,5452000,6193000,22385000,24968000,9575000,17510000,- -,- -,- -
44,Other Non-Current Assets,1527744,1930000,6544000,11014000,11679000,8329000,9577000,2189000,1581000,293000,1014000,630000,460000,713000,14332000,12270000,874000,591000,1781000,4003000,12929000,18001000,18127000
45,Total Non-Current Assets,7340527,19527000,45279000,64378000,57834000,55616000,56967000,56507000,47524000,202370000,201565000,66686000,70346000,74837000,183195000,180639000,189351000,187738000,160232000,185624000,148695000,18522000,18127000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,48538314,108911000,118700000,141190000,136416000,124730000,142262000,129808000,135966000,334080000,354507000,225758000,230027000,241409000,369854000,378135000,381065000,368031000,345906000,361186000,344509000,122704000,123799000
48,Accounts Payable,21056808,22436000,22038000,26526000,18919000,7797000,7123000,7949000,7631000,16915000,19844000,12570000,11141000,11949000,23231000,26834000,20446000,26112000,18252000,26309000,30126000,13418000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6009000,6080000,4268000,- -,174177000,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,484000
51,Deferred Revenue,- -,- -,297000,447000,364000,- -,89000,- -,500000,2264000,1645000,4474000,4650000,4803000,5109000,5984000,4865000,4742000,4868000,4908000,2748000,- -,- -
52,Other Current Liabilities,6089401,6612000,23398000,24087000,19603000,7125000,8486000,8568000,9690000,22342000,16509000,16399000,19826000,20710000,24017000,31168000,28609000,22030000,25610000,24683000,33337000,33405000,- -
53,Total Current Liabilities,27146209,29048000,45733000,51060000,38886000,14922000,15698000,16517000,17821000,41521000,37998000,33443000,35617000,37462000,52357000,63986000,59929000,58964000,52998000,55900000,240388000,46823000,- -
