,https://roic.ai/company/POWW,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,20207460,17438305,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1162567,- -,4159397,14780365,62482330
2,COGS,17522097,16891498,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1171292,- -,4389091,18455904,51095679
3,Gross Profit,2685363,546807,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8725,- -,-229694,-3675539,11386651
4,Gross Profit Ratio,0.1329,0.0314,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.0075,- -,-0.0552,-0.2487,0.1822
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,1715652,2906734,- -,- -,- -,- -,- -,- -,- -,- -,- -,21237,12607,16339,6768,4963,3370,11040,3201165,- -,7240263,7370453,12228265
7,Selling and Marketing Exp.,729189,794954,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,759053,- -,1414399,1192010,1879128
8,"Selling, General and Administrative Exp.",2444841,3701688,- -,- -,- -,- -,708,25640,43655,27044,17454,21237,12607,16339,6768,4963,3370,11040,3960218,- -,8654662,8562463,14107393
9,Other Expenses,- -,357235,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2050,7285,- -,96302,1599491,1659243
10,Operating Expenses,2444841,4058923,- -,- -,- -,- -,708,25640,43655,27044,17454,21237,12607,16339,6768,4963,3370,13090,3967503,- -,8750964,10161954,15766636
11,COGS and Expenses,19966938,20950421,- -,- -,- -,- -,708,25640,43655,27044,17454,21237,12607,16339,6768,4963,3370,13090,5138795,- -,13140055,28617858,66862315
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11212,11488,12837,14160,15011,16158,15861,14094,532752,- -,610600,- -,3009094
14,Depreciation and Amortization,136907,143535,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,148860,- -,599863,4455962,4876756
15,EBITDA,278853,-3772337,- -,- -,- -,- -,-708,-25640,-180965,-27044,-17454,-21237,-12607,-16339,-6768,-4963,-3370,-319394,-5107289,- -,-10498949,-10100718,73556
16,EBITDA ratio,0.0138,-0.2163,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.3931,- -,-2.5242,-0.6834,0.0012
17,Operating Income,240522,-3512116,- -,- -,- -,- -,-708,-25640,-43655,-27044,-17454,-21237,-12607,-16339,-6768,-4963,-3370,-11040,-3976228,- -,-8980658,-13837493,-5379985
18,Operating Income ratio,0.0119,-0.2014,- -,- -,- -,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-3.4202,- -,-2.1591,-0.9362,-0.0861
19,Total Other Income Expenses (Gains),-98576,-403756,- -,- -,- -,- -,- -,- -,136344,-8563,-11212,-11488,-12836,-14160,-15011,-16158,-15861,-322448,-1812673,- -,-2728754,-719187,-2432309
20,Income Before Tax,141946,-3915872,- -,- -,- -,- -,-708,-25640,92689,-35607,-28666,-32725,-25443,-30499,-21779,-21121,-19231,-333488,-5788901,- -,-11709412,-14556680,-7812294
21,Income Before Tax Ratio,0.0070,-0.2246,- -,- -,- -,- -,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.9794,- -,-2.8152,-0.9849,-0.1250
22,Income Tax expense (Gain),46000,-836000,- -,- -,- -,- -,800,800,800,590,800,1128,800,800,800,800,800,- -,- -,- -,- -,- -,- -
23,Net Income,95946,-3079872,- -,- -,- -,- -,-1508,-26440,91889,-36277,-29466,-33853,-26243,-31299,-22579,-21921,-20031,-333488,-5788901,- -,-11709412,-14556680,-7812294
24,Net Income ratio,0.0047,-0.1766,- -,- -,- -,- -,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-4.9794,- -,-2.8152,-0.9849,-0.1250
25,EPS,0.75,-23.75,- -,- -,- -,- -,-0.01,-0.25,0.50,-0.06,-0.05,-0.06,-0.05,-0.05,-0.04,-0.04,-0.03,-0.58,-0.30,- -,-0.35,-0.32,-0.14
26,EPS Diluted,0.75,-23.75,- -,- -,- -,- -,-0.01,-0.25,0.50,-0.06,-0.05,-0.06,-0.05,-0.05,-0.04,-0.04,-0.03,-0.58,-0.30,- -,-0.35,-0.32,-0.14
27,Weighted Average Shares Outstanding,124127,129657,- -,- -,- -,- -,139196,139196,209571,577036,577036,577036,577036,577036,577036,577036,577036,577056,19279601,- -,33601569,45607937,55041502
28,Weighted Average Shares Outstanding Diluted,145926,129657,- -,- -,- -,- -,139196,139196,209571,577036,577036,577036,577036,577036,577036,577036,577036,577056,19279601,- -,33601569,45607937,55041502
29,SEC Link,- -,- -,undefined,undefined,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1015383/000110465908023877/0001104659-08-023877-index.htm,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1015383/000107997313000222/0001079973-13-000222-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997314000149/0001079973-14-000149-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000107997315000227/0001079973-15-000227-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000107997316000881/0001079973-16-000881-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997317000151/0001079973-17-000151-index.html,https://www.sec.gov/Archives/edgar/data/1015383/000107997318000247/0001079973-18-000247-index.htm,undefined,- -,https://www.sec.gov/Archives/edgar/data/1015383/000149315220016303/0001493152-20-016303-index.htm,https://www.sec.gov/Archives/edgar/data/1015383/000149315221015547/0001493152-21-015547-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,85857,26069,- -,- -,- -,- -,- -,- -,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,786823,- -,2181246,884274,118341471
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,85857,26069,- -,- -,- -,- -,- -,- -,500,- -,- -,- -,- -,- -,- -,- -,- -,- -,786823,- -,2181246,884274,118341471
