,https://roic.ai/company/MXCT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,5059500,6805000,7164400,9290300,12269500,13985000,16667000,21620700,26168900,33894100
2,COGS,830400,808600,957500,1031800,1307600,1453100,1840000,2499200,2767000,3647400
3,Gross Profit,4229100,5996400,6206900,8258500,10961900,12531900,14827000,19121500,23401900,30246700
4,Gross Profit Ratio,0.8359,0.8812,0.8664,0.8889,0.8934,0.8961,0.8896,0.8844,0.8943,0.8924
5,Research and Development Exp.,2206800,2215500,2490200,3008100,4696400,11284800,11244000,17601200,17744300,15407300
6,General and Administrative Exp.,2021600,2211600,2468200,2667100,4204700,4522100,5284200,6088200,8385600,18676000
7,Selling and Marketing Exp.,1963200,2374000,2524200,3344400,4784200,6016700,6723700,7852100,8328700,13002900
8,"Selling, General and Administrative Exp.",3984800,4585600,4992400,6011500,8988900,10538800,12007900,13940300,16714300,31678900
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,1349100
10,Operating Expenses,6191600,6801100,7482600,9019600,13685300,21823600,23251900,31541500,34458600,48435300
11,COGS and Expenses,7022000,7609700,8440100,10051400,14992900,23276700,25091900,34040700,37225600,52082700
12,Interest Income ,35800,- -,- -,- -,- -,- -,170300,206100,65900,150800
13,Interest Expense (Gain),61700,153500,561300,704400,637800,625300,614600,681100,825600,-1044400
14,Depreciation and Amortization,115200,116400,92000,93300,105700,142900,344000,613500,1047700,1423900
15,EBITDA,-1811500,-688300,-1183700,-647800,-2602000,-9148800,-7910600,-11600400,-9943100,-18702700
16,EBITDA ratio,-0.3580,-0.1011,-0.1652,-0.0697,-0.2121,-0.6542,-0.4746,-0.5365,-0.3800,-0.5518
17,Operating Income,-1962500,-804700,-1275700,-761100,-2723400,-9291700,-8424900,-12420000,-11056700,-18188600
18,Operating Income ratio,-0.3879,-0.1183,-0.1781,-0.0819,-0.2220,-0.6644,-0.5055,-0.5744,-0.4225,-0.5366
19,Total Other Income Expenses (Gains),-25900,-153500,-561300,-684400,-622100,-625300,-444300,-475000,-759700,-893600
20,Income Before Tax,-1988400,-958200,-1837000,-1445500,-3345500,-9917000,-8869200,-12895000,-11816400,-19082200
21,Income Before Tax Ratio,-0.3930,-0.1408,-0.2564,-0.1556,-0.2727,-0.7091,-0.5321,-0.5964,-0.4515,-0.5630
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-1988400,-958200,-1837000,-1445500,-3345500,-9917000,-8869200,-12895000,-11816400,-19082200
24,Net Income ratio,-0.3930,-0.1408,-0.2564,-0.1556,-0.2727,-0.7091,-0.5321,-0.5964,-0.4515,-0.5630
25,EPS,-0.09,-0.07,-0.15,-0.08,-0.11,-0.20,-0.17,-0.23,-0.17,-0.21
26,EPS Diluted,-0.09,-0.07,-0.15,-0.08,-0.11,-0.20,-0.17,-0.23,-0.17,-0.21
27,Weighted Average Shares Outstanding,43470461,43470461,43470461,43470461,33515664,48642926,51182402,56397524,69464751,90619057
28,Weighted Average Shares Outstanding Diluted,43470461,43470461,43470461,43470461,33515664,48642926,51182402,56397524,69464751,90619057
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1287098/000155837022004081/0001558370-22-004081-index.htm
30,BALANCE SHEET, , , , , , , , , , 
31,Cash and Cash Equivalents,1418500,764900,3409000,2411900,11727000,25341700,11248000,15210800,18755200,47782400
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,3191000,1497800,16007500,207261400
33,Cash and Short-Term Investments,1418500,764900,3409000,2411900,11727000,25341700,14439000,16708600,34762700,255043800
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,6877000
35,Inventory,514900,726800,941100,1085900,1334600,1347000,2242800,3701800,4315800,5204600
36,Other Current Assets,672900,831500,1677900,2695900,2729100,3861400,5768200,4041600,6174900,3307400
37,Total Current Assets,2606300,2323200,6028000,6193700,15790700,30550100,22450000,24452000,45253400,270432800
38,PP&E,204000,181200,236200,207300,281500,847600,1817900,5533400,6492800,13370500
