,https://roic.ai/company/EPAY,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,29000000,39300000,49134000,77068000,73986000,71265000,82132000,96505000,101665000,118335000,131241000,138014000,157990000,189381000,224284000,254774000,300585000,330889000,343274000,349412000,394096000,421962000,442221000,471403000
2,COGS,10200000,12700000,15993000,33965000,34418000,35909000,36446000,40931000,45782000,53059000,59409000,60841000,68921000,86142000,101885000,119286000,130668000,139441000,147100000,161826000,173130000,182719000,189086000,196452000
3,Gross Profit,18800000,26600000,33141000,43103000,39568000,35356000,45686000,55574000,55883000,65276000,71832000,77173000,89069000,103239000,122399000,135488000,169917000,191448000,196174000,187586000,220966000,239243000,253135000,274951000
4,Gross Profit Ratio,0.6483,0.6768,0.6745,0.5593,0.5348,0.4961,0.5563,0.5759,0.5497,0.5516,0.5473,0.5592,0.5638,0.5451,0.5457,0.5318,0.5653,0.5786,0.5715,0.5369,0.5607,0.5670,0.5724,0.5833
5,Research and Development Exp.,3200000,4000000,8580000,13437000,14206000,12124000,11054000,9433000,12417000,16069000,17376000,20096000,18858000,21862000,28687000,32974000,39725000,47185000,47355000,53002000,57310000,67364000,73019000,78090000
6,General and Administrative Exp.,12000000,15800000,34292000,37716000,30520000,28243000,32892000,37123000,43401000,50974000,50936000,20915000,16383000,19502000,21495000,27076000,33721000,34492000,39324000,46527000,49837000,52199000,56749000,63353000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32517000,34013000,39345000,49204000,62825000,72707000,80151000,84068000,77470000,85912000,95265000,106429000,119883000
8,"Selling, General and Administrative Exp.",12000000,15800000,34292000,37716000,30520000,28243000,32892000,37123000,43401000,50974000,50936000,53432000,50396000,58847000,70699000,89901000,106428000,114643000,123392000,123997000,135749000,147464000,163178000,183236000
9,Other Expenses,800000,900000,3864000,30501000,33634000,8830000,4277000,3217000,4491000,9324000,11399000,15563000,13214000,12662000,15753000,19549000,26242000,30383000,28978000,24246000,22076000,21336000,20370000,21173000
10,Operating Expenses,16000000,20700000,46736000,81654000,78360000,49197000,48223000,49773000,60309000,76367000,79711000,89091000,82468000,93371000,115139000,142424000,172395000,192211000,199725000,201245000,215135000,236164000,256567000,282499000
11,COGS and Expenses,26200000,33400000,62729000,115619000,112778000,85106000,84669000,90704000,106091000,129426000,139120000,149932000,151389000,179513000,217024000,261710000,303063000,331652000,346825000,363071000,388265000,418883000,445653000,478951000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,635000,246000,437000,453000,629000,667000,499000,533000,451000,273000,670000,658000,274000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,106000,74000,79000,23000,7550000,14222000,14765000,15539000,17059000,11170000,3783000,3856000,4607000
14,Depreciation and Amortization,800000,900000,3864000,34085000,36669000,11353000,6530000,5662000,7158000,12507000,14910000,19477000,17779000,17802000,21477000,26410000,34492000,40890000,42467000,43774000,42070000,44247000,47602000,54351000
15,EBITDA,3600000,7700000,-11801000,-5200000,-2060000,-16441000,4281000,11907000,5984000,4593000,10113000,8108000,24361000,28307000,28801000,15667000,31692000,39339000,39143000,22559000,54365000,54924000,44057000,48496000
16,EBITDA ratio,0.1241,0.1959,-0.2402,-0.0675,-0.0278,-0.2307,0.0521,0.1234,0.0589,0.0388,0.0771,0.0587,0.1542,0.1495,0.1284,0.0615,0.1054,0.1189,0.1140,0.0646,0.1379,0.1302,0.0996,0.1029
17,Operating Income,2800000,5900000,-13595000,-38551000,-38792000,-13841000,-2537000,5801000,-4426000,-11091000,-7879000,-11918000,6601000,9868000,7260000,-6936000,-2478000,-763000,-3551000,-21188000,5831000,3079000,-3432000,-7548000
18,Operating Income ratio,0.0966,0.1501,-0.2767,-0.5002,-0.5243,-0.1942,-0.0309,0.0601,-0.0435,-0.0937,-0.0600,-0.0864,0.0418,0.0521,0.0324,-0.0272,-0.0082,-0.0023,-0.0103,-0.0606,0.0148,0.0073,-0.0078,-0.0160
19,Total Other Income Expenses (Gains),- -,900000,-2070000,-734000,63000,-189000,288000,444000,3252000,3177000,3082000,443000,-93000,558000,41000,-11357000,-14544000,-15553000,-15312000,-17086000,-4706000,3815000,-3969000,-2914000
20,Income Before Tax,2800000,6800000,-15665000,-39285000,-38729000,-14030000,-2249000,6245000,-1174000,-7914000,-4797000,-11475000,6508000,10426000,7301000,-18293000,-17022000,-16316000,-18863000,-38274000,1125000,6894000,-7401000,-10462000
21,Income Before Tax Ratio,0.0966,0.1730,-0.3188,-0.5097,-0.5235,-0.1969,-0.0274,0.0647,-0.0115,-0.0669,-0.0366,-0.0831,0.0412,0.0551,0.0326,-0.0718,-0.0566,-0.0493,-0.0550,-0.1095,0.0029,0.0163,-0.0167,-0.0222
22,Income Tax expense (Gain),1200000,2700000,-1400000,714000,60000,60000,169000,357000,660000,-884000,464000,813000,2554000,-25467000,5596000,-3898000,2082000,18364000,785000,-5137000,-8203000,-2538000,1828000,5826000
23,Net Income,1600000,4100000,-14265000,-39999000,-38789000,-27854000,-2418000,5888000,-1834000,-7030000,-5261000,-12288000,3954000,35893000,1705000,-14395000,-19104000,-34680000,-19648000,-33137000,9328000,9432000,-9229000,-16288000
24,Net Income ratio,0.0552,0.1043,-0.2903,-0.5190,-0.5243,-0.3909,-0.0294,0.0610,-0.0180,-0.0594,-0.0401,-0.0890,0.0250,0.1895,0.0076,-0.0565,-0.0636,-0.1048,-0.0572,-0.0948,0.0237,0.0224,-0.0209,-0.0346
25,EPS,0.24,0.50,-1.33,-3.12,-2.63,-1.78,-0.15,0.33,-0.08,-0.30,-0.22,-0.51,0.15,1.13,0.05,-0.41,-0.52,-0.92,-0.52,-0.88,0.28,0.23,-0.22,-0.38
26,EPS Diluted,0.20,0.43,-1.33,-3.12,-2.63,-1.78,-0.15,0.31,-0.08,-0.30,-0.22,-0.51,0.15,1.07,0.05,-0.41,-0.52,-0.92,-0.52,-0.88,0.27,0.23,-0.22,-0.38
27,Weighted Average Shares Outstanding,6666667,7988000,10744000,12827000,14725000,15667000,16514000,18030000,22838000,23539000,23825000,24044000,25552000,31660000,34268000,35444000,36834000,37806000,37957000,37842000,38227000,40612000,41770000,42793000
28,Weighted Average Shares Outstanding Diluted,8000000,9170000,10744000,12827000,14725000,15667000,16514000,19119000,22838000,23539000,23825000,24044000,26696000,33453000,35244000,35444000,36834000,37806000,37957000,37842000,39326000,41691000,41770000,42793000
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1073349/000119312503054386/0001193125-03-054386-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312504155863/0001193125-04-155863-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312505183839/0001193125-05-183839-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000119312506189496/0001193125-06-189496-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000119312507199767/0001193125-07-199767-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312508195286/0001193125-08-195286-index.html,- -,https://www.sec.gov/Archives/edgar/data/1073349/000119312510207831/0001193125-10-207831-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312511244233/0001193125-11-244233-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312512369412/0001193125-12-369412-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312513351488/0001193125-13-351488-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312514324477/0001193125-14-324477-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312515306606/0001193125-15-306606-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312516694935/0001193125-16-694935-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312517269991/0001193125-17-269991-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000119312518261251/0001193125-18-261251-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000107334919000054/0001073349-19-000054-index.html,https://www.sec.gov/Archives/edgar/data/1073349/000107334920000095/0001073349-20-000095-index.htm,https://www.sec.gov/Archives/edgar/data/1073349/000107334921000114/0001073349-21-000114-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1400000,39700000,27292000,13247000,25931000,25802000,20724000,20789000,38752000,38997000,35316000,50255000,122758000,111953000,124801000,283552000,167673000,121163000,97174000,124569000,121860000,92164000,194832000,133932000
32,Short-Term Investments,- -,- -,11222000,- -,- -,- -,4291000,15127000,41745000,26876000,57000,48000,51000,64000,61000,9525000,23805000,23225000,35209000,1973000,10012000,7541000,10209000,10216000
33,Cash and Short-Term Investments,1400000,39700000,38514000,13247000,25931000,25802000,25015000,35916000,80497000,65873000,35373000,50303000,122809000,112017000,124862000,293077000,191478000,144388000,132383000,126542000,131872000,99705000,205041000,144148000
34,Net Receivables,7000000,11600000,14571000,18871000,15242000,13281000,18530000,22956000,21043000,24359000,28747000,23118000,26019000,41535000,45344000,44430000,61064000,65140000,61773000,64244000,74305000,77285000,69970000,72978000
35,Inventory,200000,300000,168000,1207000,812000,1036000,1124000,954000,700000,657000,516000,397000,317000,365000,480000,416000,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,700000,1100000,1592000,3723000,3148000,3112000,3409000,3939000,4164000,4745000,5641000,5134000,8593000,14943000,14985000,14827000,28238000,19713000,22385000,16807000,22534000,36071000,34632000,44489000
37,Total Current Assets,9300000,52700000,54845000,37048000,45133000,43231000,48078000,63765000,106404000,95634000,70277000,78952000,157738000,168860000,185671000,352750000,280780000,229241000,216541000,207593000,228711000,213061000,309643000,261615000
38,PP&E,1900000,2400000,5172000,6316000,6955000,6447000,6468000,6940000,7106000,8270000,11840000,10106000,14561000,16098000,19756000,23631000,35901000,47579000,51029000,55307000,28895000,54541000,91867000,96041000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,41190000,53485000,72187000,64569000,64294000,98524000,98974000,109196000,208991000,215360000,202028000,194700000,200024000,206101000,205713000,246698000
40,Intangible Assets,- -,- -,8416000,71766000,43540000,22660000,34686000,38695000,19887000,30811000,43227000,25020000,31172000,74549000,78967000,82872000,163504000,185290000,164930000,142168000,161785000,168349000,154111000,162691000
41,Intangible Assets,- -,- -,8416000,71766000,43540000,22660000,34686000,38695000,61077000,84296000,115414000,89589000,95466000,173073000,177941000,192068000,372495000,400650000,366958000,336868000,361809000,374450000,359824000,409389000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,100000,- -,2847000,1319000,1689000,1024000,835000,1041000,1247000,1784000,3915000,4504000,1617000,5303000,9003000,17073000,11167000,11014000,18359000,17671000,16553000,27177000,31803000,48683000
45,Total Non-Current Assets,2000000,2400000,16435000,79401000,52184000,30131000,41989000,46676000,69430000,94350000,131169000,104199000,111644000,194474000,206700000,232772000,419563000,459243000,436346000,409846000,407257000,456168000,483494000,554113000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,11300000,55100000,71280000,116449000,97317000,73362000,90067000,110441000,175834000,189984000,201446000,183151000,269382000,363334000,392371000,585522000,700343000,688484000,652887000,617439000,635968000,669229000,793137000,815728000
48,Accounts Payable,1200000,1400000,2004000,6408000,5154000,5712000,5327000,6094000,5990000,6650000,8856000,5955000,5857000,8971000,8841000,8933000,16283000,11623000,10218000,9013000,10251000,10947000,13422000,11428000
