,https://roic.ai/company/HUT,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,49439100,81990119,40710527,173773979
2,COGS,- -,- -,- -,- -,- -,- -,72922758,79858982,61810464,89021838
3,Gross Profit,- -,- -,- -,- -,- -,- -,-23483658,2131137,-21099937,84752141
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-0.4750,0.0260,-0.5183,0.4877
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,168873,225219,57107,105438,105959,7760865,4763511,2567467,25524885
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,168873,225219,57107,105438,105959,7760865,4763511,2567467,25524885
9,Other Expenses,- -,- -,- -,- -,- -,- -,17862687,- -,- -,10693703
10,Operating Expenses,- -,168873,225219,57107,105438,105959,25623552,4763511,2567467,36218588
11,COGS and Expenses,- -,168873,225219,57107,105438,105959,98546310,84622493,64377931,125240426
12,Interest Income ,- -,- -,- -,- -,- -,- -,32408,41244,8301,2853716
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,904511,4826061,2449167,1355346
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,47018781,33053597,21264918,23287650
15,EBITDA,- -,-168873,-225219,-32107,-105438,-105959,-88842245,40010228,27705532,-42447142
16,EBITDA ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-1.7970,0.4880,0.6805,-0.2443
17,Operating Income,- -,-166873,-225219,-57107,-105438,-105959,-49107210,5784623,-7138100,48715766
18,Operating Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-0.9933,0.0706,-0.1753,0.2803
19,Total Other Income Expenses (Gains),- -,-2000,- -,-25000,- -,- -,-87658327,-3654053,11129547,-115805904
20,Income Before Tax,- -,-168873,-225219,-82107,-105438,-105959,-136765537,2130570,3991447,-67090138
21,Income Before Tax Ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.7663,0.0260,0.0980,-0.3861
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,-15048707,5620296
23,Net Income,- -,-168873,-225219,-82107,-105438,-105959,-136765537,2130570,19040154,-72710434
24,Net Income ratio,- -,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-2.7663,0.0260,0.4677,-0.4184
