,https://roic.ai/company/ITOX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , 
1,Revenue,110000,140000,130000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39800,224640,147151,36771
2,COGS,90000,100000,100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47890,135010,38960,15044
3,Gross Profit,20000,40000,30000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8090,89630,108191,21727
4,Gross Profit Ratio,0.1818,0.2857,0.2308,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-0.2033,0.3990,0.7352,0.5909
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,80000,120000,110000,30000,30000,30000,20000,30000,30000,30000,29110,50540,30520,1487960,1254170,34650,993257
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",80000,120000,110000,30000,30000,30000,20000,30000,30000,30000,29110,50540,30520,1487960,1254170,34650,993257
9,Other Expenses,11316,23028,26464,-1937,-1814,-245,2060,1331,-170,2537,797,-2,3,34388,157502,1933668,49636
10,Operating Expenses,91316,143028,136464,28063,28186,29755,22060,31331,29830,32537,29907,50538,30523,1522348,1411672,1968318,1042893
11,COGS and Expenses,180000,240000,240000,30000,30000,30000,20000,30000,30000,30000,29910,51670,32120,1570880,1547400,2010747,1057937
12,Interest Income ,3355,3928,11125,10361,6641,3154,1076,694,531,247,155,81,23,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12,291729,173183,737541
14,Depreciation and Amortization,974,1299,1300,1300,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48220,49500,49636
15,EBITDA,-59026,-298701,-88700,-40000,-40000,-30000,-20000,70000,-30000,-30000,-29590,-51510,-12070,-1531088,-1273351,-1664604,-1447934
16,EBITDA ratio,-0.5366,-2.1336,-0.6823,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-38.4695,-5.6684,-11.3122,-39.3771
17,Operating Income,67953,105487,103383,28063,28186,29755,22060,-30000,29830,32537,29907,51673,32116,-1531080,-1322760,-1887287,-1021166
18,Operating Income ratio,0.6178,0.7535,0.7953,Infinity,Infinity,Infinity,Infinity,-Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,-38.4693,-5.8884,-12.8255,-27.7710
19,Total Other Income Expenses (Gains),-127953,-405487,-193383,-8063,-48186,-59755,-42060,50000,-59830,-62537,-59657,-103263,-44206,-20,-290540,- -,-1213945
20,Income Before Tax,-60000,-300000,-90000,20000,-20000,-30000,-20000,20000,-30000,-30000,-29750,-51590,-12090,-1531100,-1613300,-1887287,-2235111
21,Income Before Tax Ratio,-0.5455,-2.1429,-0.6923,Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-38.4698,-7.1817,-12.8255,-60.7846
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
23,Net Income,-60000,-300000,-90000,-80000,-50000,-30000,-20000,20000,-30000,-30000,-29750,-51590,-12090,-1531100,-1613300,-1887287,-2235111
24,Net Income ratio,-0.5455,-2.1429,-0.6923,-Infinity,-Infinity,-Infinity,-Infinity,Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-38.4698,-7.1817,-12.8255,-60.7846
25,EPS,-0.04,-0.14,-0.02,-0.02,-0.01,-0.01,-0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.00,-0.04,-0.04,-0.04,-0.02
26,EPS Diluted,-0.04,-0.14,-0.02,-0.02,-0.01,-0.01,-0.00,0.00,-0.01,-0.01,-0.01,-0.01,-0.00,-0.04,-0.04,-0.04,-0.02
27,Weighted Average Shares Outstanding,1747325,2136897,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,36241821,40601683,42334210,110119684
28,Weighted Average Shares Outstanding Diluted,1747325,2136897,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,5266075,36241821,40601683,42334210,110119684
