,https://roic.ai/company/STX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,6073000000,5966000000,6087000000,6486000000,6224000000,7553000000,9206000000,11360000000,12708000000,9805000000,11395000000,10971000000,14939000000,14351000000,13724000000,13739000000,11160000000,10771000000,11184000000,10390000000,10509000000,10681000000
2,COGS,- -,4959000000,4494000000,4759000000,4765000000,5880000000,7069000000,9175000000,9503000000,8395000000,8191000000,8825000000,10255000000,10411000000,9878000000,9929000000,8545000000,7597000000,7820000000,7458000000,7667000000,7764000000
3,Gross Profit,- -,1007000000,1593000000,1727000000,1459000000,1673000000,2137000000,2185000000,3205000000,1410000000,3204000000,2146000000,4684000000,3940000000,3846000000,3810000000,2615000000,3174000000,3364000000,2932000000,2842000000,2917000000
4,Gross Profit Ratio,- -,0.1688,0.2617,0.2663,0.2344,0.2215,0.2321,0.1923,0.2522,0.1438,0.2812,0.1956,0.3135,0.2745,0.2802,0.2773,0.2343,0.2947,0.3008,0.2822,0.2704,0.2731
5,Research and Development Exp.,- -,797000000,698000000,670000000,666000000,645000000,805000000,904000000,1028000000,953000000,877000000,875000000,1006000000,1133000000,1226000000,1353000000,1237000000,1232000000,1026000000,991000000,973000000,903000000
6,General and Administrative Exp.,- -,738000000,498000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,357000000,290000000,306000000,447000000,589000000,659000000,537000000,437000000,445000000,- -,635000000,722000000,857000000,635000000,606000000,562000000,453000000,473000000,- -
8,"Selling, General and Administrative Exp.",- -,738000000,498000000,357000000,290000000,306000000,447000000,589000000,659000000,537000000,437000000,445000000,- -,635000000,722000000,857000000,635000000,606000000,562000000,453000000,473000000,- -
9,Other Expenses,- -,169000000,23000000,9000000,59000000,- -,7000000,78000000,142000000,2585000000,150000000,20000000,566000000,81000000,122000000,-458000000,298000000,104000000,142000000,1000000,96000000,514000000
10,Operating Expenses,- -,1704000000,1219000000,1036000000,1015000000,951000000,1259000000,1571000000,1829000000,4075000000,1464000000,1340000000,1572000000,1849000000,2070000000,1752000000,2170000000,1942000000,1730000000,1445000000,1542000000,1417000000
11,COGS and Expenses,- -,6663000000,5713000000,5795000000,5780000000,6831000000,8332000000,10746000000,11332000000,12470000000,9655000000,10165000000,11827000000,12260000000,11948000000,11681000000,10715000000,9717000000,9550000000,8903000000,9209000000,9181000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,17000000,6000000,7000000,8000000,8000000,8000000,6000000,3000000,12000000,38000000,84000000,20000000,2000000
13,Interest Expense (Gain),- -,-6000000,-52000000,47000000,45000000,48000000,41000000,141000000,126000000,134000000,174000000,214000000,241000000,214000000,195000000,207000000,193000000,222000000,236000000,224000000,201000000,220000000
14,Depreciation and Amortization,- -,443000000,405000000,443000000,422000000,466000000,612000000,851000000,844000000,931000000,780000000,754000000,814000000,873000000,879000000,841000000,815000000,749000000,598000000,541000000,379000000,397000000
15,EBITDA,366000000,-282000000,592000000,1150000000,895000000,1246000000,1577000000,1553000000,2288000000,-1749000000,2523000000,1547000000,3937000000,2918000000,2630000000,3018000000,1282000000,1786000000,2252000000,2137000000,1612000000,1965000000
16,EBITDA ratio,0.0603,-0.0473,0.0973,0.1773,0.1438,0.1650,0.1713,0.1367,0.1800,-0.1784,0.2214,0.1410,0.2635,0.2033,0.1916,0.2197,0.1149,0.1658,0.2014,0.2057,0.1534,0.1840
